Time,X,Y,Z
150.339,0.1229,-0.23391,0.22501
0.006,0.10979,-0.21238,0.20285
0.015,0.12099,-0.23336,0.22272
0.025,0.12211,-0.23505,0.22521
0.034,0.12222,-0.23546,0.22529
0.044,0.12255,-0.23467,0.22513
0.053,0.12237,-0.23484,0.22511
0.062,0.12235,-0.23461,0.2252
0.072,0.12224,-0.23433,0.22529
0.081,0.12234,-0.23481,0.22488
0.09,0.12213,-0.23452,0.22458
0.1,0.122,-0.23483,0.22439
0.109,0.12253,-0.23536,0.22495
0.118,0.12215,-0.23483,0.22476
0.128,0.12308,-0.23469,0.22466
0.137,0.12285,-0.23459,0.22481
0.147,0.12251,-0.23408,0.225
0.156,0.12237,-0.23411,0.22476
0.165,0.12235,-0.23412,0.22482
0.175,0.12267,-0.23395,0.22458
0.184,0.12227,-0.23435,0.22489
0.193,0.12223,-0.23414,0.22442
0.203,0.12169,-0.23412,0.22487
0.212,0.12185,-0.23437,0.22441
0.221,0.12208,-0.23414,0.22428
0.231,0.12232,-0.23437,0.22444
0.24,0.12192,-0.23473,0.22479
0.249,0.12263,-0.23435,0.22508
0.259,0.12238,-0.23364,0.22502
0.268,0.12214,-0.23424,0.2246
0.278,0.12157,-0.23405,0.22464
0.287,0.12163,-0.23436,0.2249
0.296,0.12217,-0.23414,0.22484
0.306,0.12276,-0.23429,0.22458
0.315,0.12239,-0.23355,0.22472
0.324,0.12332,-0.23364,0.22482
0.334,0.12299,-0.23365,0.22466
0.343,0.12306,-0.2339,0.2249
0.352,0.12318,-0.2341,0.22459
0.362,0.12265,-0.23395,0.22514
0.371,0.1227,-0.23435,0.22478
0.381,0.12249,-0.23414,0.22483
0.39,0.12247,-0.23395,0.22466
0.399,0.12279,-0.23393,0.2249
0.409,0.1225,-0.23393,0.22509
0.418,0.12226,-0.2341,0.22469
0.427,0.12212,-0.23428,0.22524
0.437,0.12254,-0.23422,0.22496
0.446,0.12237,-0.23421,0.22518
0.455,0.12214,-0.23363,0.22478
0.465,0.12222,-0.23399,0.22466
0.474,0.12191,-0.23369,0.22448
0.484,0.12209,-0.23366,0.22454
0.493,0.12178,-0.2339,0.22505
0.502,0.12186,-0.23393,0.22477
0.512,0.12198,-0.23376,0.22457
0.521,0.12145,-0.23392,0.22455
0.53,0.12194,-0.2336,0.22463
0.54,0.12188,-0.23398,0.22456
0.549,0.12209,-0.23419,0.22464
0.558,0.12146,-0.23421,0.2249
0.568,0.12172,-0.23421,0.22475
0.577,0.12132,-0.23413,0.22508
0.587,0.1216,-0.23378,0.22502
0.596,0.12152,-0.23358,0.22527
0.605,0.12194,-0.2334,0.22546
0.615,0.12209,-0.23346,0.22498
0.624,0.12146,-0.23338,0.22451
0.633,0.12161,-0.23354,0.22455
0.643,0.12217,-0.23339,0.2243
0.652,0.1219,-0.23371,0.22419
0.661,0.12177,-0.23408,0.22502
0.671,0.12175,-0.23361,0.22527
0.68,0.12218,-0.23365,0.22513
0.689,0.12244,-0.23382,0.22528
0.699,0.12247,-0.2335,0.22513
0.708,0.12279,-0.23406,0.22511
0.718,0.12186,-0.23344,0.22536
0.727,0.12241,-0.23363,0.22547
0.736,0.12246,-0.23348,0.22565
0.746,0.12204,-0.23347,0.22533
0.755,0.1221,-0.23364,0.2253
0.764,0.122,-0.23357,0.22496
0.774,0.12199,-0.23423,0.2251
0.783,0.1221,-0.23396,0.22503
0.792,0.12232,-0.23352,0.22485
0.802,0.1217,-0.23339,0.22483
0.811,0.12218,-0.23338,0.22466
0.82,0.12179,-0.23321,0.22515
0.83,0.12219,-0.23311,0.22495
0.839,0.12223,-0.23352,0.22535
0.849,0.12212,-0.23372,0.22581
0.858,0.12179,-0.23383,0.22543
0.867,0.12219,-0.23392,0.22514
0.877,0.12201,-0.23376,0.22537
t,x,y,z
