Time,X,Y,Z
0.006,0.11055,-0.20987,0.20184
0.015,0.1216,-0.23119,0.22194
0.025,0.12163,-0.23374,0.22429
0.034,0.12325,-0.23375,0.22452
0.044,0.12287,-0.234,0.22463
0.053,0.12283,-0.23394,0.22464
0.062,0.12283,-0.23435,0.22439
0.072,0.12294,-0.23439,0.22462
0.081,0.12219,-0.23431,0.22489
0.09,0.12244,-0.23422,0.22475
0.1,0.12225,-0.23413,0.22524
0.109,0.12202,-0.23412,0.22479
0.118,0.12264,-0.23378,0.22474
0.128,0.12249,-0.23408,0.22465
0.137,0.12258,-0.23403,0.22439
0.147,0.1228,-0.23419,0.22411
0.156,0.12315,-0.23429,0.22451
0.165,0.12362,-0.2338,0.22446
0.175,0.12334,-0.23358,0.22454
0.184,0.12277,-0.2339,0.22472
0.193,0.12325,-0.23376,0.22448
0.203,0.12276,-0.2335,0.22446
0.212,0.12261,-0.23406,0.22496
0.221,0.12313,-0.23394,0.22451
0.231,0.12264,-0.2341,0.22471
0.24,0.12281,-0.23387,0.22524
0.249,0.1224,-0.23351,0.2247
0.259,0.12257,-0.23406,0.22457
0.268,0.12216,-0.23403,0.22438
0.277,0.12255,-0.23394,0.22479
0.287,0.12194,-0.2336,0.22432
0.296,0.12231,-0.23382,0.22428
0.306,0.12213,-0.23359,0.22469
0.315,0.12168,-0.23365,0.2249
0.324,0.12228,-0.23357,0.22492
0.334,0.1218,-0.23298,0.22501
0.343,0.12219,-0.23359,0.2251
0.352,0.12233,-0.23331,0.22528
0.362,0.12278,-0.23337,0.22513
0.371,0.1225,-0.23346,0.22494
0.38,0.1229,-0.23313,0.2256
0.39,0.12284,-0.23318,0.2255
0.399,0.12283,-0.23302,0.22498
0.409,0.12261,-0.23334,0.22476
0.418,0.12324,-0.23295,0.22533
0.427,0.12287,-0.23283,0.22497
0.437,0.12305,-0.23315,0.22518
0.446,0.12231,-0.23302,0.22495
0.455,0.12235,-0.23275,0.22442
0.465,0.12235,-0.23264,0.22479
0.474,0.12267,-0.23288,0.22474
0.483,0.12303,-0.23324,0.22457
0.493,0.12253,-0.23294,0.22506
0.502,0.12291,-0.23283,0.22511
0.511,0.12262,-0.23299,0.22477
0.521,0.1227,-0.23283,0.22474
0.53,0.12303,-0.23332,0.22491
0.54,0.12274,-0.23329,0.22442
0.549,0.12228,-0.23295,0.22496
0.558,0.12245,-0.23333,0.22459
0.568,0.12225,-0.23354,0.22489
0.577,0.12256,-0.23339,0.22492
0.586,0.12248,-0.23329,0.22467
0.596,0.12247,-0.2332,0.22473
0.605,0.12279,-0.23327,0.22482
0.614,0.12261,-0.23303,0.225
0.624,0.12248,-0.23367,0.22485
0.633,0.12193,-0.23366,0.225
0.643,0.12263,-0.2339,0.2246
0.652,0.12249,-0.23351,0.22489
0.661,0.12333,-0.23356,0.22492
0.671,0.12299,-0.23339,0.22425
0.68,0.12284,-0.23363,0.22469
0.689,0.12294,-0.2334,0.22499
0.699,0.12316,-0.23354,0.22518
0.708,0.12265,-0.23331,0.22478
0.717,0.12281,-0.2332,0.22499
0.727,0.12304,-0.23294,0.22468
0.736,0.12285,-0.2335,0.22456
0.746,0.1224,-0.2333,0.22472
0.755,0.12311,-0.2332,0.22457
0.764,0.1221,-0.23311,0.22472
0.774,0.12232,-0.23326,0.22457
0.783,0.12278,-0.23311,0.22447
0.792,0.12293,-0.23335,0.22471
0.802,0.12273,-0.23362,0.22499
0.811,0.12303,-0.23323,0.22476
0.82,0.1235,-0.23336,0.22474
0.83,0.123,-0.23321,0.22507
0.839,0.12231,-0.23336,0.22486
0.849,0.12181,-0.23337,0.22467
0.858,0.12186,-0.23354,0.22439
0.867,0.1223,-0.23381,0.22453
0.877,0.12256,-0.2335,0.22446
0.886,0.12259,-0.23372,0.22454
0.895,0.12302,-0.23333,0.22472
0.905,0.12306,-0.23337,0.22457
0.914,0.12307,-0.23329,0.22472
0.923,0.12264,-0.2332,0.22465
0.933,0.12227,-0.23327,0.22481
0.942,0.12277,-0.23345,0.22475
0.951,0.12304,-0.23355,0.22465
0.961,0.12285,-0.23306,0.22507
0.97,0.12251,-0.23309,0.22485
0.98,0.12334,-0.23301,0.22483
0.989,0.12223,-0.233,0.22492
0.998,0.12298,-0.23317,0.22492
