Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,0.11087,-0.20937,0.20302,0.312002,0.312002
0.015,0.12206,-0.23072,0.22282,0.34319,0.327596
0.025,0.12286,-0.23261,0.22488,0.346082,0.333758
0.034,0.12359,-0.23296,0.22475,0.346493,0.336942
0.044,0.1229,-0.23308,0.22491,0.346432,0.33884
0.053,0.12316,-0.23301,0.22501,0.346542,0.340124
0.062,0.12351,-0.23259,0.2251,0.346443,0.341026
0.072,0.12387,-0.23254,0.22511,0.346545,0.341716
0.081,0.12369,-0.23254,0.22528,0.346591,0.342258
0.09,0.12324,-0.23271,0.22504,0.346389,0.342671
0.1,0.12362,-0.23256,0.22536,0.346631,0.346134
0.109,0.12355,-0.23237,0.2253,0.34644,0.346459
0.118,0.12409,-0.23286,0.22488,0.346689,0.346519
0.128,0.12425,-0.23282,0.22509,0.346855,0.346556
0.137,0.12416,-0.23324,0.22553,0.347391,0.346652
0.146,0.12328,-0.23286,0.22549,0.346796,0.346677
0.156,0.12309,-0.23249,0.22507,0.346207,0.346653
0.165,0.12318,-0.23228,0.22553,0.346397,0.346639
0.175,0.1234,-0.2331,0.22541,0.346948,0.346674
0.184,0.12321,-0.23293,0.22565,0.346922,0.346728
0.193,0.12373,-0.23266,0.22575,0.346991,0.346764
0.203,0.12324,-0.23238,0.22551,0.346473,0.346767
0.212,0.12362,-0.23311,0.22566,0.347195,0.346818
0.221,0.12302,-0.2331,0.22517,0.346657,0.346798
0.231,0.12328,-0.23301,0.22529,0.346767,0.346735
0.24,0.12309,-0.23317,0.22488,0.346541,0.34671
0.249,0.12329,-0.23302,0.22484,0.346485,0.346738
0.259,0.12309,-0.23275,0.22466,0.346115,0.346709
0.268,0.12275,-0.23281,0.22473,0.34608,0.346623
0.277,0.12293,-0.23265,0.22516,0.346316,0.346562
0.287,0.12295,-0.23314,0.22512,0.346627,0.346526
0.296,0.12306,-0.2326,0.22511,0.346296,0.346508
0.306,0.12264,-0.23288,0.22553,0.346608,0.346449
0.315,0.12302,-0.23316,0.22549,0.346905,0.346474
0.324,0.12231,-0.23294,0.22574,0.346669,0.346464
0.334,0.12267,-0.233,0.22543,0.346635,0.346474
0.343,0.1226,-0.23317,0.22506,0.346484,0.346474
0.352,0.12302,-0.23352,0.22561,0.347225,0.346585
0.362,0.12328,-0.23372,0.22583,0.347595,0.346736
0.371,0.1233,-0.23349,0.22603,0.347577,0.346862
0.38,0.12352,-0.23305,0.22571,0.347152,0.346915
0.39,0.12387,-0.23318,0.22551,0.347234,0.347008
0.399,0.12358,-0.23294,0.2254,0.346898,0.347037
0.409,0.12355,-0.23308,0.22539,0.346975,0.347044
0.418,0.12398,-0.23301,0.22531,0.347029,0.34708
0.427,0.12381,-0.23284,0.22538,0.3469,0.347107
0.437,0.12357,-0.23265,0.22564,0.346856,0.347144
0.446,0.12301,-0.23263,0.22559,0.346611,0.347083
0.455,0.12328,-0.2333,0.22583,0.347313,0.347054
0.465,0.12287,-0.2332,0.22569,0.347009,0.346998
0.474,0.12337,-0.23327,0.22542,0.347058,0.346988
0.483,0.12245,-0.23311,0.22582,0.346885,0.346953
0.493,0.12268,-0.23293,0.22543,0.346591,0.346923
0.502,0.12292,-0.23249,0.22556,0.346465,0.346872
0.512,0.12295,-0.23262,0.22541,0.346466,0.346815
0.521,0.12273,-0.23263,0.22514,0.346219,0.346747
0.53,0.12239,-0.23322,0.22528,0.346586,0.34672
0.54,0.12278,-0.23294,0.2253,0.346549,0.346714
0.549,0.12272,-0.23308,0.2253,0.346622,0.346645
0.558,0.12314,-0.23343,0.22547,0.347116,0.346656
0.568,0.12264,-0.23355,0.22506,0.346754,0.346625
0.577,0.12324,-0.23314,0.22502,0.346665,0.346603
0.586,0.12362,-0.23302,0.22519,0.34683,0.346627
0.596,0.12366,-0.23292,0.22529,0.346842,0.346665
0.605,0.12399,-0.23291,0.22563,0.347174,0.346735
0.614,0.1237,-0.23333,0.2255,0.347268,0.34684
0.624,0.12378,-0.23337,0.22532,0.347206,0.346902
0.633,0.12357,-0.23337,0.22513,0.347008,0.346948
0.643,0.12366,-0.23304,0.22528,0.346916,0.346978
0.652,0.12345,-0.23309,0.22521,0.346829,0.346949
0.661,0.12365,-0.2331,0.22512,0.346849,0.346958
0.671,0.12313,-0.23326,0.22494,0.346654,0.346957
0.68,0.12329,-0.23295,0.22509,0.3466,0.346934
0.689,0.12309,-0.233,0.22561,0.346901,0.34694
0.699,0.12318,-0.23309,0.22533,0.346811,0.346904
0.708,0.12297,-0.23251,0.2253,0.346327,0.34681
0.717,0.1236,-0.23321,0.22488,0.346749,0.346764
0.727,0.12377,-0.23336,0.22509,0.347047,0.346768
0.736,0.12368,-0.23337,0.22494,0.346924,0.346769
0.746,0.12313,-0.23346,0.22467,0.346614,0.346748
0.755,0.12297,-0.23338,0.22507,0.346763,0.346739
0.764,0.12295,-0.23338,0.22511,0.346782,0.346752
0.774,0.1237,-0.23354,0.22511,0.347156,0.346807
0.783,0.12335,-0.23306,0.22562,0.34704,0.346821
0.792,0.12288,-0.23301,0.22567,0.346872,0.346827
0.802,0.12326,-0.23284,0.22592,0.347055,0.3469
0.811,0.1233,-0.23282,0.22578,0.346965,0.346922
0.82,0.12298,-0.23307,0.2256,0.346902,0.346907
0.83,0.12338,-0.23318,0.22575,0.347215,0.346936
0.839,0.12267,-0.23336,0.22585,0.34715,0.34699
0.848,0.12303,-0.23329,0.22552,0.347016,0.347015
0.858,0.12306,-0.23287,0.22583,0.346946,0.347032
0.867,0.12328,-0.23324,0.22569,0.347181,0.347034
0.877,0.12363,-0.23303,0.22542,0.346989,0.347029
0.886,0.12312,-0.23301,0.22565,0.346944,0.347036
0.895,0.12307,-0.23317,0.22491,0.346553,0.346986
