Time,X,Y,Z
0.006,0.11044,-0.2102,0.20268
0.015,0.12137,-0.23156,0.22321
0.025,0.12214,-0.23361,0.22458
0.034,0.12168,-0.23365,0.22472
0.044,0.12142,-0.2339,0.22499
0.053,0.12193,-0.2336,0.22518
0.062,0.12155,-0.23323,0.22503
0.072,0.12173,-0.23361,0.22519
0.081,0.12164,-0.23365,0.22453
0.09,0.12196,-0.23357,0.22472
0.1,0.12166,-0.23348,0.2249
0.109,0.12163,-0.23339,0.22518
0.118,0.12174,-0.23354,0.22512
0.128,0.12175,-0.23322,0.22511
0.137,0.12175,-0.23328,0.2257
0.147,0.12175,-0.23311,0.22525
0.156,0.12229,-0.23293,0.22487
0.165,0.12202,-0.23325,0.22484
0.175,0.12275,-0.23353,0.22492
0.184,0.12196,-0.23372,0.22509
0.193,0.12242,-0.23391,0.22477
0.203,0.12225,-0.23368,0.22499
0.212,0.12277,-0.23349,0.22527
0.221,0.1225,-0.23355,0.2253
0.231,0.12226,-0.23348,0.22505
0.24,0.12202,-0.23347,0.22494
0.249,0.12232,-0.23372,0.22509
0.259,0.12245,-0.23349,0.22528
0.268,0.12214,-0.23364,0.22546
0.278,0.12201,-0.23357,0.22548
0.287,0.12221,-0.23373,0.22523
0.296,0.12244,-0.23366,0.22479
0.306,0.12193,-0.23365,0.22525
0.315,0.12188,-0.2339,0.22496
0.324,0.12166,-0.23343,0.2251
0.334,0.12185,-0.2333,0.22503
0.343,0.12155,-0.2337,0.22493
0.352,0.12184,-0.23374,0.22442
0.362,0.12165,-0.23383,0.22445
0.371,0.12185,-0.23384,0.22488
0.381,0.12176,-0.23376,0.22492
0.39,0.12186,-0.23341,0.22442
0.399,0.12252,-0.23363,0.22462
0.409,0.12226,-0.23399,0.22464
0.418,0.12191,-0.23427,0.2249
0.427,0.12241,-0.23413,0.22475
0.437,0.12214,-0.2337,0.22474
0.446,0.12211,-0.23408,0.22507
0.455,0.12233,-0.23395,0.2246
0.465,0.12159,-0.23377,0.22472
0.474,0.12206,-0.23383,0.22448
0.483,0.1221,-0.23376,0.2248
0.493,0.12243,-0.23375,0.22474
0.502,0.12225,-0.23408,0.22474
0.512,0.12256,-0.23428,0.22491
0.521,0.12194,-0.23388,0.22509
0.53,0.12166,-0.23409,0.22519
0.54,0.12196,-0.23336,0.22478
0.549,0.12209,-0.23396,0.22424
0.558,0.122,-0.23368,0.22494
0.568,0.1221,-0.23391,0.22493
0.577,0.12222,-0.23368,0.22509
0.586,0.12169,-0.23307,0.22503
0.596,0.12196,-0.23343,0.22493
0.605,0.1222,-0.23305,0.22493
0.615,0.12244,-0.23326,0.22476
0.624,0.12225,-0.23361,0.22482
0.633,0.12202,-0.2339,0.22449
0.643,0.1221,-0.2341,0.22412
0.652,0.12146,-0.23387,0.22409
0.661,0.12151,-0.23367,0.2245
0.671,0.12194,-0.23399,0.22505
0.68,0.12242,-0.23427,0.2246
0.689,0.12203,-0.23413,0.22481
0.699,0.12189,-0.23395,0.22458
0.708,0.1223,-0.23385,0.22514
0.717,0.12235,-0.23401,0.22469
0.727,0.12235,-0.23377,0.22482
0.736,0.12278,-0.23358,0.22475
0.746,0.12261,-0.23381,0.22524
0.755,0.1227,-0.23342,0.2247
0.764,0.1226,-0.23346,0.2249
0.774,0.12216,-0.23372,0.22509
0.783,0.12233,-0.23358,0.22477
0.792,0.12256,-0.2339,0.22466
0.802,0.12248,-0.23368,0.22507
0.811,0.12269,-0.23382,0.2246
0.82,0.12249,-0.23409,0.22472
0.83,0.12193,-0.23345,0.2244
0.839,0.12155,-0.23347,0.22462
0.849,0.12173,-0.23347,0.22422
0.858,0.12175,-0.2333,0.2246
0.867,0.12175,-0.23337,0.22413
0.877,0.12154,-0.23337,0.22476
t,x,y,z
