Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,0.11087,-0.20945,0.20218,0.31151,0.31151
0.015,0.12163,-0.23082,0.22282,0.343104,0.327307
0.025,0.12292,-0.23312,0.22463,0.346284,0.333633
0.034,0.12273,-0.23302,0.22464,0.346156,0.336764
0.044,0.12336,-0.23267,0.22473,0.346203,0.338651
0.053,0.12299,-0.2328,0.22516,0.346438,0.339949
0.062,0.12381,-0.23257,0.22512,0.34655,0.340892
0.072,0.12325,-0.23279,0.22503,0.346439,0.341586
0.081,0.1233,-0.23273,0.22527,0.346573,0.34214
0.09,0.1232,-0.23298,0.22521,0.346666,0.342592
0.1,0.12319,-0.23275,0.22537,0.346612,0.346103
0.109,0.12243,-0.23231,0.22531,0.346008,0.346393
0.118,0.1229,-0.2326,0.22547,0.346474,0.346412
0.128,0.12262,-0.23271,0.22498,0.346129,0.346409
0.137,0.12356,-0.23289,0.22527,0.346773,0.346466
0.146,0.12312,-0.23299,0.22513,0.346593,0.346482
0.156,0.12318,-0.23258,0.22486,0.346163,0.346443
0.165,0.12297,-0.23305,0.225,0.346495,0.346449
0.175,0.12371,-0.23276,0.22518,0.346681,0.346459
0.184,0.12346,-0.23189,0.22512,0.345969,0.34639
0.193,0.12343,-0.23256,0.22486,0.346239,0.346352
0.203,0.12343,-0.23271,0.22467,0.346216,0.346373
0.212,0.1231,-0.23239,0.22456,0.345812,0.346307
0.221,0.1235,-0.23177,0.2248,0.345694,0.346263
0.231,0.12333,-0.23188,0.22458,0.345564,0.346143
0.24,0.1232,-0.23189,0.22481,0.345674,0.346051
0.249,0.12308,-0.23256,0.22483,0.346094,0.346044
0.259,0.12318,-0.23254,0.22491,0.346169,0.346011
0.268,0.12308,-0.23262,0.22425,0.345758,0.345919
0.278,0.12328,-0.23238,0.22477,0.346006,0.345923
0.287,0.12298,-0.23269,0.22491,0.346198,0.345919
0.296,0.12241,-0.23222,0.22475,0.345576,0.345855
0.306,0.12257,-0.23192,0.22457,0.345314,0.345805
0.315,0.12291,-0.23198,0.22472,0.345573,0.345793
0.324,0.12327,-0.23223,0.22474,0.345882,0.345825
0.334,0.12341,-0.23217,0.22474,0.345892,0.345846
0.343,0.12332,-0.23234,0.22474,0.345974,0.345834
0.352,0.12352,-0.23244,0.22482,0.346164,0.345834
0.362,0.12322,-0.23261,0.22458,0.346016,0.345859
0.371,0.12362,-0.23255,0.22472,0.346209,0.34588
0.38,0.12377,-0.23279,0.22474,0.346437,0.345904
0.39,0.12282,-0.23231,0.22448,0.345607,0.345907
0.399,0.12315,-0.23243,0.22438,0.34574,0.345949
0.409,0.12275,-0.23278,0.22453,0.34593,0.345985
0.418,0.12314,-0.23265,0.2243,0.345832,0.34598
0.427,0.12308,-0.23263,0.22444,0.345888,0.34598
0.437,0.12307,-0.23297,0.22454,0.346178,0.346
0.446,0.12318,-0.2325,0.2248,0.34607,0.345991
0.455,0.1234,-0.23237,0.22474,0.346022,0.345991
0.465,0.12353,-0.23202,0.22423,0.345503,0.345921
0.474,0.12333,-0.2319,0.22511,0.345923,0.345869
0.483,0.12363,-0.23231,0.22494,0.346194,0.345928
0.493,0.12312,-0.23277,0.22467,0.346146,0.345969
0.502,0.12394,-0.23281,0.2249,0.346615,0.346037
0.512,0.12326,-0.23248,0.22526,0.346384,0.346092
0.521,0.12363,-0.23237,0.22487,0.346189,0.346122
0.53,0.12323,-0.23252,0.22433,0.345796,0.346084
0.54,0.1233,-0.23262,0.22503,0.346343,0.346111
0.549,0.12288,-0.23238,0.22494,0.345974,0.346107
0.558,0.12316,-0.23269,0.22493,0.346275,0.346184
0.568,0.12415,-0.23239,0.22476,0.346317,0.346223
0.577,0.12372,-0.23294,0.22499,0.346682,0.346272
0.586,0.12378,-0.23275,0.2251,0.346647,0.346322
0.596,0.12346,-0.23298,0.22528,0.346804,0.346341
0.605,0.123,-0.23267,0.22521,0.346387,0.346341
0.615,0.12349,-0.23264,0.22495,0.346372,0.34636
0.624,0.12354,-0.23263,0.22459,0.34615,0.346395
0.633,0.12279,-0.23272,0.22455,0.345917,0.346352
0.643,0.12261,-0.23247,0.22447,0.345633,0.346318
0.652,0.12216,-0.2322,0.22488,0.345559,0.346247
0.661,0.12287,-0.23259,0.22475,0.345988,0.346214
