Time,X,Y,Z
0.006,0.1099,-0.2102,0.20243
0.015,0.12089,-0.23114,0.22293
0.025,0.12156,-0.23298,0.22481
0.034,0.12205,-0.23309,0.22483
0.044,0.122,-0.23351,0.22491
0.053,0.12253,-0.23356,0.22551
0.062,0.12226,-0.23323,0.22482
0.072,0.12256,-0.23336,0.22525
0.081,0.12259,-0.23296,0.22555
0.09,0.1227,-0.23308,0.22541
0.1,0.1226,-0.23335,0.22531
0.109,0.12227,-0.2332,0.22488
0.118,0.12245,-0.23319,0.22509
0.128,0.12225,-0.23319,0.22511
0.137,0.12245,-0.23302,0.22494
0.147,0.12193,-0.23309,0.22484
0.156,0.12263,-0.2331,0.22483
0.165,0.12195,-0.23293,0.22525
0.175,0.12134,-0.23325,0.22504
0.184,0.12139,-0.23336,0.22443
0.193,0.12258,-0.23304,0.22471
0.203,0.12205,-0.23351,0.2249
0.212,0.12264,-0.2333,0.22526
0.221,0.12249,-0.23312,0.22496
0.231,0.12226,-0.23285,0.22526
0.24,0.12234,-0.23332,0.2253
0.249,0.12203,-0.2327,0.22505
0.259,0.12189,-0.23331,0.22553
0.268,0.12176,-0.23337,0.22507
0.278,0.12208,-0.23321,0.22528
0.287,0.12189,-0.23277,0.22513
0.296,0.12155,-0.23265,0.22478
0.306,0.12259,-0.23297,0.22491
0.315,0.12248,-0.233,0.22459
0.324,0.12269,-0.23317,0.22455
0.334,0.12206,-0.23294,0.22506
0.343,0.12221,-0.23258,0.22485
0.352,0.12255,-0.23238,0.22475
0.362,0.12259,-0.23311,0.22457
0.371,0.12248,-0.23318,0.22506
0.38,0.12355,-0.23327,0.22519
0.39,0.12366,-0.23353,0.22504
0.399,0.12334,-0.23322,0.22435
0.409,0.12342,-0.23269,0.22478
0.418,0.12246,-0.23264,0.22542
0.427,0.12236,-0.2328,0.22481
0.437,0.12267,-0.23282,0.22508
0.446,0.12227,-0.23282,0.22494
0.455,0.12213,-0.23298,0.22442
0.465,0.12211,-0.23258,0.22471
0.474,0.12222,-0.23338,0.2249
0.483,0.12137,-0.23354,0.2245
0.493,0.12171,-0.23348,0.22455
0.502,0.12185,-0.23305,0.22472
0.512,0.12198,-0.23334,0.22507
0.521,0.12253,-0.23329,0.22494
0.53,0.12237,-0.23328,0.22476
0.54,0.12257,-0.23303,0.22457
0.549,0.12269,-0.23292,0.22497
0.558,0.12249,-0.233,0.22485
0.568,0.12226,-0.23267,0.22492
0.577,0.12223,-0.23289,0.22467
0.586,0.12234,-0.23282,0.22482
0.596,0.12213,-0.23273,0.225
0.605,0.12254,-0.23256,0.22544
0.615,0.12226,-0.23262,0.22498
0.624,0.1218,-0.23313,0.22543
0.633,0.12262,-0.2331,0.22531
0.643,0.12227,-0.2331,0.22522
0.652,0.12234,-0.23318,0.22495
0.661,0.12235,-0.23302,0.22468
0.671,0.12278,-0.23309,0.22439
0.68,0.12293,-0.23318,0.22437
0.689,0.12219,-0.23294,0.22453
0.699,0.12298,-0.233,0.22463
0.708,0.12252,-0.23317,0.22439
0.717,0.12258,-0.23327,0.2242
0.727,0.1227,-0.2332,0.22477
0.736,0.1226,-0.23319,0.22491
0.746,0.12291,-0.23344,0.22475
0.755,0.12294,-0.23321,0.22466
0.764,0.12273,-0.23311,0.22439
0.774,0.12228,-0.23285,0.22437
0.783,0.12277,-0.23316,0.22453
0.792,0.12261,-0.23327,0.22472
0.802,0.12227,-0.23336,0.22465
0.811,0.12256,-0.23346,0.22498
0.821,0.12194,-0.23313,0.22485
0.83,0.12231,-0.23277,0.22509
0.839,0.12256,-0.23265,0.22511
0.849,0.12269,-0.23288,0.22511
0.858,0.1226,-0.23324,0.22528
0.867,0.12227,-0.23303,0.22496
0.877,0.12299,-0.23301,0.22417
t,x,y,z
