Time,X,Y,Z
0.006,0.10979,-0.2102,0.2021
0.015,0.12109,-0.23114,0.22231
0.025,0.12147,-0.23349,0.22458
0.034,0.12205,-0.23389,0.22506
0.044,0.12189,-0.23418,0.22527
0.053,0.12209,-0.23354,0.22538
0.062,0.12178,-0.23364,0.22548
0.072,0.12219,-0.23365,0.22498
0.081,0.12179,-0.23365,0.22501
0.09,0.12208,-0.23399,0.2251
0.1,0.12243,-0.2336,0.22486
0.109,0.12257,-0.23348,0.22458
0.118,0.1228,-0.2333,0.22497
0.128,0.12283,-0.23353,0.22485
0.137,0.12207,-0.23381,0.22483
0.147,0.12189,-0.23392,0.22492
0.156,0.12166,-0.23351,0.22526
0.165,0.12163,-0.23339,0.22546
0.175,0.12217,-0.23346,0.22515
0.184,0.12222,-0.23355,0.22545
0.193,0.12223,-0.23389,0.22531
0.203,0.12169,-0.23368,0.2248
0.212,0.12207,-0.23407,0.225
0.221,0.12157,-0.23395,0.2246
0.231,0.12184,-0.23385,0.22481
0.24,0.12198,-0.23392,0.22508
0.249,0.12199,-0.23401,0.22519
0.259,0.12177,-0.23394,0.22529
0.268,0.12208,-0.23368,0.22471
0.278,0.12221,-0.23382,0.2249
0.287,0.12277,-0.23384,0.22501
0.296,0.12196,-0.23376,0.22535
0.306,0.12242,-0.23375,0.22522
0.315,0.12257,-0.23408,0.22512
0.324,0.12216,-0.23386,0.22528
0.334,0.12211,-0.23409,0.22496
0.343,0.12222,-0.23412,0.2251
0.352,0.12126,-0.23362,0.22536
0.362,0.12149,-0.23382,0.22472
0.371,0.12183,-0.23392,0.22524
0.381,0.12165,-0.23343,0.22521
0.39,0.12196,-0.2338,0.22537
0.399,0.12166,-0.23392,0.22514
0.409,0.12185,-0.23393,0.22478
0.418,0.12155,-0.2341,0.22491
0.427,0.12227,-0.23403,0.22442
0.437,0.12148,-0.23394,0.22529
0.446,0.12205,-0.23385,0.22521
0.455,0.12178,-0.23359,0.22479
0.465,0.12143,-0.23365,0.22432
0.474,0.12215,-0.23357,0.22453
0.483,0.12168,-0.23381,0.22455
0.493,0.12218,-0.234,0.22472
0.502,0.12255,-0.23361,0.22482
0.512,0.12237,-0.23398,0.225
0.521,0.12235,-0.23352,0.22485
0.53,0.12224,-0.23381,0.22525
0.54,0.12212,-0.23384,0.22521
0.549,0.12211,-0.23367,0.22462
0.558,0.12125,-0.23374,0.22473
0.568,0.12213,-0.234,0.22474
0.577,0.12244,-0.23369,0.22474
0.586,0.12214,-0.23391,0.22482
0.596,0.1219,-0.23426,0.22508
0.605,0.12198,-0.23405,0.22494
0.615,0.12242,-0.2347,0.22467
0.624,0.12225,-0.23476,0.22498
0.633,0.1218,-0.23402,0.22468
0.643,0.12251,-0.23411,0.22482
0.652,0.12204,-0.23378,0.22491
0.661,0.12189,-0.23425,0.22492
0.671,0.1222,-0.23396,0.22509
0.68,0.1218,-0.2346,0.22469
0.689,0.12219,-0.2345,0.22465
0.699,0.12158,-0.23407,0.22464
0.708,0.1213,-0.23428,0.22456
0.718,0.12181,-0.23455,0.22514
0.727,0.12176,-0.23433,0.22469
0.736,0.12186,-0.23422,0.22473
0.746,0.12176,-0.23363,0.22507
0.755,0.12154,-0.23357,0.2246
0.764,0.12151,-0.23398,0.22439
0.774,0.12162,-0.23394,0.22521
0.783,0.12163,-0.23418,0.22495
0.792,0.12185,-0.23387,0.2251
0.802,0.12111,-0.23401,0.22461
0.811,0.1219,-0.23427,0.22439
0.821,0.12144,-0.23438,0.22487
0.83,0.1214,-0.23406,0.225
0.839,0.12182,-0.23411,0.22485
0.849,0.1223,-0.2342,0.22509
0.858,0.12159,-0.23421,0.22477
0.867,0.12217,-0.23421,0.22516
0.877,0.12168,-0.23413,0.22503
0.886,0.12218,-0.23429,0.2251
0.895,0.12201,-0.23405,0.22477
0.905,0.12264,-0.23369,0.22491
0.914,0.12216,-0.23408,0.22518
0.923,0.1219,-0.23378,0.22495
0.933,0.1223,-0.23375,0.22484
0.942,0.12191,-0.23383,0.22525
0.952,0.12241,-0.23375,0.22538
0.961,0.1216,-0.23383,0.22463
0.97,0.12174,-0.23384,0.2249
0.98,0.12175,-0.23359,0.22492
0.989,0.12164,-0.23365,0.22492
0.998,0.12228,-0.23382,0.22476
1.008,0.1217,-0.23342,0.22491
1.017,0.12261,-0.23405,0.22492
1.026,0.12248,-0.23394,0.2245
1.036,0.12247,-0.2336,0.22471
1.045,0.12258,-0.23365,0.22507
1.055,0.12259,-0.23424,0.22477
1.064,0.12237,-0.23446,0.22457
1.073,0.12235,-0.23407,0.22455
1.083,0.12149,-0.23378,0.22438
1.092,0.12226,-0.23367,0.22495
1.101,0.1218,-0.23432,0.22518
1.111,0.12176,-0.23372,0.22461
1.12,0.12164,-0.23349,0.22464
1.129,0.12185,-0.23389,0.22473
1.139,0.12198,-0.23326,0.22507
1.148,0.1221,-0.23336,0.22511
1.158,0.12222,-0.23379,0.22494
1.167,0.12244,-0.23342,0.22509
1.176,0.12257,-0.23346,0.22503
1.186,0.12226,-0.23355,0.22527
1.195,0.1218,-0.23364,0.22471
1.204,0.12208,-0.23332,0.22482
1.214,0.122,-0.23329,0.22458
1.223,0.12221,-0.23337,0.22438
1.232,0.12244,-0.23371,0.22479
1.242,0.12225,-0.23358,0.22491
1.251,0.12256,-0.23381,0.22442
1.26,0.12194,-0.23367,0.22445
1.27,0.12274,-0.2334,0.2242
1.279,0.1226,-0.23371,0.2246
1.289,0.12248,-0.23408,0.22489
1.298,0.12172,-0.23361,0.22475
1.307,0.12186,-0.23373,0.22474
1.317,0.12241,-0.23349,0.22524
1.326,0.12225,-0.23372,0.22496
1.335,0.12202,-0.23349,0.22493
1.345,0.12178,-0.23347,0.22492
1.354,0.12251,-0.23389,0.22526
1.363,0.12204,-0.23393,0.22479
1.373,0.12243,-0.23376,0.22508
1.382,0.12268,-0.23341,0.22528
1.391,0.12249,-0.23363,0.22479
1.401,0.1229,-0.2339,0.22457
1.41,0.1224,-0.2341,0.22464
1.42,0.12171,-0.23403,0.22481
1.429,0.12239,-0.23369,0.22491
1.438,0.12214,-0.23408,0.22492
1.448,0.12276,-0.23428,0.22476
1.457,0.12261,-0.23397,0.22482
1.466,0.12248,-0.23402,0.22491
1.476,0.12258,-0.23411,0.22442
1.485,0.1227,-0.23412,0.22428
1.494,0.12271,-0.23403,0.22469
1.504,0.12282,-0.23394,0.22456
1.513,0.12261,-0.23402,0.22438
1.523,0.12259,-0.23336,0.2247
1.532,0.12194,-0.23354,0.2244
1.541,0.12209,-0.23364,0.22504
1.551,0.12135,-0.23399,0.22494
1.56,0.1216,-0.23385,0.22518
1.569,0.12249,-0.23384,0.22487
1.579,0.12204,-0.23417,0.2245
1.588,0.12221,-0.23379,0.22429
1.597,0.12212,-0.234,0.22419
1.607,0.12211,-0.23411,0.22485
1.616,0.12243,-0.23403,0.22509
1.626,0.12203,-0.23394,0.22477
1.635,0.12199,-0.23352,0.22474
1.644,0.12178,-0.23381,0.22524
1.654,0.12272,-0.234,0.2247
1.663,0.12249,-0.23411,0.22465
1.672,0.12226,-0.23378,0.22498
1.682,0.12169,-0.23392,0.22501
1.691,0.12185,-0.23368,0.22493
1.7,0.12252,-0.23349,0.22459
1.71,0.12237,-0.23364,0.22489
1.719,0.12192,-0.23407,0.22492
1.729,0.12252,-0.23353,0.22484
1.738,0.12194,-0.23364,0.22433
1.747,0.12263,-0.23382,0.22461
1.757,0.12162,-0.23375,0.22481
1.766,0.12238,-0.23341,0.22432
1.775,0.12225,-0.23363,0.22461
1.785,0.12191,-0.23298,0.22456
1.794,0.12231,-0.2335,0.22506
1.803,0.12202,-0.23372,0.22527
1.813,0.12253,-0.23391,0.22513
1.822,0.12258,-0.2341,0.22478
1.831,0.12259,-0.23412,0.22483
1.841,0.1228,-0.23387,0.22517
1.85,0.1224,-0.23376,0.22512
1.86,0.12268,-0.23383,0.22511
1.869,0.12249,-0.23375,0.22528
1.878,0.12193,-0.23383,0.2253
1.888,0.12188,-0.23384,0.22513
1.897,0.12187,-0.23384,0.22469
1.906,0.12241,-0.23401,0.22507
1.916,0.12279,-0.23411,0.22502
1.925,0.12218,-0.23428,0.22485
1.934,0.12222,-0.2343,0.2245
1.944,0.1218,-0.23405,0.22471
1.953,0.12197,-0.23428,0.22474
1.963,0.12231,-0.23413,0.22482
1.972,0.12267,-0.23395,0.22458
1.981,0.12195,-0.2336,0.22472
1.991,0.12274,-0.23365,0.22507
2.0,0.12207,-0.23365,0.22502
2.009,0.12178,-0.23407,0.22502
2.019,0.12175,-0.23487,0.22544
2.028,0.12207,-0.23478,0.22481
2.037,0.12157,-0.23477,0.22474
2.047,0.12173,-0.23452,0.22465
2.056,0.12186,-0.23441,0.2249
2.066,0.12198,-0.23448,0.22459
2.075,0.12296,-0.23474,0.22506
2.084,0.1223,-0.23426,0.2246
2.094,0.12224,-0.23438,0.22472
2.103,0.12158,-0.23448,0.22457
2.112,0.12152,-0.23424,0.22438
2.122,0.12162,-0.2343,0.22453
2.131,0.12228,-0.2348,0.22472
2.141,0.12234,-0.23469,0.22448
2.15,0.12203,-0.23409,0.22438
2.159,0.12167,-0.23428,0.22487
2.169,0.12153,-0.23472,0.22492
2.178,0.12238,-0.23468,0.22467
2.187,0.12224,-0.23459,0.2249
2.197,0.12245,-0.23391,0.22501
2.206,0.12214,-0.23385,0.22493
2.215,0.12233,-0.23426,0.22501
2.225,0.12278,-0.2343,0.22476
2.234,0.12282,-0.2343,0.22474
2.244,0.1224,-0.23414,0.22474
2.253,0.12257,-0.2342,0.22465
2.262,0.1228,-0.23413,0.22465
2.272,0.12239,-0.23395,0.22498
2.281,0.12214,-0.23393,0.22485
2.29,0.12179,-0.23443,0.22525
2.3,0.12229,-0.23465,0.22529
2.309,0.12234,-0.23425,0.22496
2.319,0.12159,-0.2343,0.22468
2.328,0.12152,-0.23389,0.22473
2.337,0.12259,-0.23401,0.22448
2.347,0.12237,-0.23361,0.22421
2.356,0.12214,-0.23432,0.22477
2.365,0.12265,-0.23397,0.22516
2.375,0.1227,-0.23402,0.22478
2.384,0.12238,-0.23411,0.22508
2.394,0.123,-0.23395,0.22511
2.403,0.12274,-0.23402,0.22427
2.412,0.12282,-0.23411,0.22452
2.422,0.12304,-0.23412,0.22455
2.431,0.12317,-0.23462,0.22438
2.44,0.12265,-0.23442,0.22487
2.45,0.12281,-0.2344,0.22475
2.459,0.12293,-0.23406,0.22508
2.468,0.12252,-0.23395,0.22477
2.478,0.12226,-0.23418,0.22525
2.487,0.12223,-0.23404,0.22504
2.497,0.12191,-0.23444,0.22494
2.506,0.12231,-0.23449,0.22526
2.515,0.12213,-0.23424,0.22513
2.525,0.12179,-0.2343,0.22537
2.534,0.1224,-0.2343,0.22547
2.543,0.12246,-0.23389,0.22498
2.553,0.1229,-0.23384,0.22476
2.562,0.12187,-0.23392,0.22524
2.572,0.12219,-0.23368,0.22546
2.581,0.12223,-0.23391,0.22523
2.59,0.12277,-0.23368,0.22538
2.6,0.12239,-0.23341,0.22505
2.609,0.12257,-0.23321,0.22494
2.618,0.12291,-0.23353,0.22476
2.628,0.12284,-0.23356,0.22457
2.637,0.12261,-0.23339,0.22489
2.647,0.12205,-0.23388,0.22492
2.656,0.12189,-0.23343,0.22459
2.665,0.12252,-0.23321,0.22455
2.675,0.12247,-0.23386,0.2248
2.684,0.12279,-0.23359,0.22474
2.693,0.12239,-0.23356,0.22516
2.703,0.12225,-0.23356,0.2252
2.712,0.12255,-0.23381,0.22512
2.722,0.12172,-0.234,0.2252
2.731,0.12218,-0.23369,0.22478
2.74,0.12255,-0.23366,0.22441
2.75,0.12269,-0.23399,0.22445
2.759,0.12238,-0.23352,0.22462
2.768,0.12214,-0.23397,0.22523
2.778,0.12222,-0.2341,0.22479
2.787,0.12266,-0.23387,0.22449
2.796,0.12217,-0.23359,0.2248
2.806,0.12244,-0.23348,0.22483
2.815,0.12257,-0.23422,0.22491
