Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2024-11-15 10:46:39.990	-0.0015	-0.0024	0.3706	0.0	0.0	0.0	None	None	None	25.12	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.0	0.0	0.0	0.3687	0.0	0.0	0.0	None	None	None	25.25	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.10	0.0	-0.0029	0.3672	0.0	0.0	0.0	None	None	None	25.12	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.20	-0.0015	-0.0024	0.3667	0.0	0.0	0.0	None	None	None	25.06	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.30	-0.0015	-0.0015	0.3662	0.0	0.0	0.0	None	None	None	25.12	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.40	-0.001	-0.0015	0.3643	0.0	0.0	0.0	None	None	None	25.25	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.50	-0.001	-0.0015	0.3682	0.0	0.0	0.0	None	None	None	25.18	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.60	-0.0024	-0.001	0.3716	0.0	0.0	0.0	None	None	None	25.06	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.70	-0.002	0.0005	0.3687	0.0	0.0	0.0	None	None	None	25.25	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.80	-0.002	0.0005	0.3662	0.0	0.0	0.0	None	None	None	25.06	None	None	None	108.83208317	34.12588367	None	None	None	None	None	None
 2024-11-15 10:46:40.54	0.0	-0.0005	0.3647	0.0	0.0	0.0	None	None	None	25.18	None	None	None	108.83208317	34.125884	None	None	None	None	None	None
 2024-11-15 10:46:40.99	0.0	-0.001	0.3662	0.0	0.0	0.0	None	None	None	25.12	None	None	None	108.83208317	34.125884	None	None	None	None	None	None
