Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2076-28-187 8:0:2.10	0.0	0.0	1.0146	0.0	0.0	0.0	0.253	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.10	0.0	0.0	1.0146	0.0	0.0	0.0	0.253	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.114	0.0	-0.001	1.0146	0.0	0.0	0.0	0.253	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.114	0.0	-0.001	1.0146	0.0	0.0	0.0	0.253	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.230	-0.0005	0.0	1.0151	0.0	0.0	0.0	0.253	-1.637	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.230	-0.0005	0.0	1.0151	0.0	0.0	0.0	0.253	-1.637	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.330	0.0	0.0	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.330	0.0	0.0	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.420	-0.0005	0.0	1.0166	0.0	0.0	0.0	0.258	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.420	-0.0005	0.0	1.0166	0.0	0.0	0.0	0.258	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.509	0.0005	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.509	0.0005	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.625	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.625	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.725	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.725	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.815	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.815	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.929	0.0	0.0	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:2.929	0.0	0.0	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.20	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.20	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
