Time,X,Y,Z
1.509,0.41642,0.02469,-0.09879
1.519,0.4143,0.02153,-0.10234
1.528,0.41204,0.01703,-0.10589
1.538,0.40945,0.01383,-0.11012
1.547,0.40628,0.01016,-0.11475
1.556,0.40381,0.00712,-0.11959
1.566,0.40097,0.00339,-0.12428
1.575,0.39853,1e-05,-0.12904
1.584,0.39721,-0.00317,-0.13356
1.594,0.39514,-0.00566,-0.13814
1.603,0.39396,-0.00825,-0.14196
1.613,0.39115,-0.0101,-0.14588
1.622,0.39065,-0.0107,-0.15031
1.631,0.38909,-0.01026,-0.1553
1.641,0.38743,-0.00729,-0.16135
1.65,0.38565,-0.00206,-0.16768
1.66,0.38288,0.00657,-0.17496
1.669,0.3811,0.01545,-0.18166
1.678,0.37844,0.02353,-0.18974
1.688,0.37472,0.02969,-0.19728
1.697,0.37133,0.03532,-0.20468
1.716,0.36211,0.04369,-0.22122
1.725,0.35671,0.0465,-0.22938
1.735,0.35132,0.04853,-0.23726
1.744,0.34528,0.04999,-0.24605
1.753,0.33875,0.05164,-0.25458
1.763,0.33109,0.05365,-0.26284
1.772,0.32246,0.05568,-0.27133
1.781,0.31502,0.05798,-0.27983
1.791,0.3062,0.05837,-0.2875
1.8,0.29766,0.05825,-0.29458
1.81,0.28872,0.05656,-0.30135
1.819,0.27813,0.05414,-0.30783
1.828,0.26759,0.05047,-0.31429
1.838,0.25586,0.04609,-0.32032
1.847,0.24434,0.04122,-0.32631
1.856,0.23349,0.03555,-0.33137
1.866,0.22206,0.02897,-0.33608
1.875,0.2096,0.02162,-0.3395
1.884,0.1979,0.01345,-0.3416
1.894,0.18595,0.0036,-0.34316
1.903,0.17419,-0.01033,-0.34441
1.913,0.1617,-0.02819,-0.34437
1.922,0.14946,-0.04661,-0.34327
1.932,0.13713,-0.06617,-0.34089
1.941,0.1248,-0.08493,-0.33779
1.95,0.11139,-0.10227,-0.3342
1.96,0.09495,-0.11754,-0.32938
1.969,0.07348,-0.13069,-0.32343
1.979,0.04805,-0.14136,-0.3177
1.988,0.0218,-0.15054,-0.31157
1.998,-0.00303,-0.15756,-0.30507
2.007,-0.02437,-0.1616,-0.30012
2.017,-0.04095,-0.16418,-0.29651
2.027,-0.0522,-0.16502,-0.29456
2.036,-0.05979,-0.16494,-0.29411
2.046,-0.06529,-0.1636,-0.29373
2.055,-0.068,-0.1612,-0.29503
2.065,-0.07086,-0.15846,-0.29626
2.074,-0.07201,-0.15559,-0.29857
2.084,-0.07287,-0.1523,-0.30048
2.094,-0.07426,-0.14879,-0.30244
2.103,-0.07493,-0.14568,-0.30382
2.113,-0.07511,-0.14295,-0.30547
2.122,-0.07631,-0.14025,-0.30664
2.132,-0.07762,-0.13722,-0.30861
2.141,-0.07829,-0.13541,-0.30957
2.151,-0.07835,-0.13339,-0.31059
2.161,-0.07858,-0.13202,-0.31162
2.17,-0.07903,-0.13147,-0.31239
2.18,-0.07843,-0.13116,-0.31339
2.189,-0.07837,-0.13055,-0.31459
2.199,-0.07771,-0.12998,-0.31622
2.218,-0.07237,-0.13065,-0.31894
2.228,-0.06979,-0.131,-0.31994
2.237,-0.06705,-0.13128,-0.32189
2.247,-0.06376,-0.13332,-0.32343
2.256,-0.05987,-0.1367,-0.32409
2.266,-0.05517,-0.13904,-0.32483
2.275,-0.04985,-0.14053,-0.32642
2.285,-0.04447,-0.14126,-0.32843
2.295,-0.03779,-0.141,-0.33074
2.304,-0.03162,-0.14031,-0.33307
2.314,-0.02378,-0.13915,-0.33566
2.323,-0.01621,-0.1387,-0.33794
2.333,-0.00845,-0.1384,-0.33977
2.343,-0.00088,-0.13929,-0.3413
2.352,0.00623,-0.14156,-0.34229
2.362,0.01255,-0.14613,-0.3418
2.371,0.01685,-0.15428,-0.34015
2.381,0.01965,-0.16387,-0.33746
2.39,0.02101,-0.17502,-0.33332
2.399,0.02103,-0.18801,-0.32786
2.418,0.01997,-0.20904,-0.31661
2.428,0.02028,-0.21782,-0.31197
2.437,0.02096,-0.22455,-0.30788
2.447,0.02211,-0.22973,-0.30428
2.456,0.02351,-0.23401,-0.30139
2.466,0.02603,-0.23795,-0.29933
2.475,0.03037,-0.24119,-0.29787
2.485,0.03393,-0.24586,-0.29511
2.494,0.03806,-0.25025,-0.29307
2.504,0.04279,-0.25512,-0.29101
2.513,0.04703,-0.26113,-0.28744
2.523,0.05306,-0.26975,-0.28245
2.532,0.06035,-0.27897,-0.27649
2.542,0.07013,-0.28833,-0.27008
2.551,0.0821,-0.29713,-0.2638
2.561,0.09763,-0.30511,-0.25653
2.57,0.11697,-0.31209,-0.25058
2.58,0.13313,-0.3168,-0.24561
2.589,0.14714,-0.31987,-0.24133
2.599,0.15889,-0.32201,-0.2377
2.608,0.17009,-0.32256,-0.23473
2.617,0.17961,-0.3227,-0.23157
2.627,0.18843,-0.32254,-0.22848
2.636,0.19761,-0.32194,-0.22413
2.646,0.20694,-0.32096,-0.21873
2.655,0.21606,-0.32028,-0.21314
2.665,0.2257,-0.31879,-0.20627
2.674,0.23518,-0.31789,-0.19885
2.684,0.24443,-0.3173,-0.18893
2.693,0.2529,-0.31666,-0.17666
2.703,0.25989,-0.31659,-0.16349
2.712,0.26695,-0.31725,-0.14828
2.722,0.27283,-0.31749,-0.13271
2.731,0.27945,-0.31584,-0.11709
2.741,0.28626,-0.31383,-0.10198
2.75,0.29524,-0.30904,-0.08962
2.76,0.30454,-0.30221,-0.07862
2.769,0.31355,-0.29542,-0.06624
2.779,0.31984,-0.28914,-0.05053
2.788,0.32478,-0.28383,-0.03541
2.798,0.32851,-0.27929,-0.02169
2.807,0.33061,-0.27508,-0.00837
2.817,0.33384,-0.26981,0.00517
2.826,0.33653,-0.26376,0.01889
2.835,0.33928,-0.25672,0.03264
2.845,0.34279,-0.24917,0.04748
2.854,0.34518,-0.24064,0.06419
2.863,0.34715,-0.23109,0.08362
2.873,0.34864,-0.22278,0.10551
2.882,0.34782,-0.21501,0.12925
2.892,0.34655,-0.20906,0.15013
2.901,0.34384,-0.2037,0.16754
2.91,0.34098,-0.19848,0.18131
2.92,0.33886,-0.19436,0.19203
2.929,0.33682,-0.19011,0.19975
2.938,0.33607,-0.18559,0.20734
2.948,0.33406,-0.17987,0.21509
2.957,0.33073,-0.17303,0.22394
2.967,0.3262,-0.16775,0.23265
2.976,0.32208,-0.16287,0.23975
2.985,0.31908,-0.15804,0.24467
2.995,0.31824,-0.15388,0.24844
3.004,0.31848,-0.14937,0.25118
3.023,0.3203,-0.13954,0.25442
3.032,0.32149,-0.13473,0.25598
3.042,0.32376,-0.12881,0.25715
3.051,0.3269,-0.1212,0.25735
3.06,0.33131,-0.11325,0.25745
3.07,0.33541,-0.10418,0.25847
3.079,0.3396,-0.09383,0.25883
3.088,0.34508,-0.08243,0.25802
3.098,0.35145,-0.06942,0.25643
3.107,0.35834,-0.0545,0.25315
