Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2044-28-222 7:59:46.639	-0.001	0.0	1.0161	0.0	0.0	0.0	0.181	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:46.639	-0.001	0.0	1.0161	0.0	0.0	0.0	0.181	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:46.729	0.0	0.0	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.13	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:46.729	0.0	0.0	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.13	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:46.819	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.14	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:46.819	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.14	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:46.945	0.0	0.0	1.0161	0.0	0.0	0.0	0.187	1.868	-19.869	24.14	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:46.945	0.0	0.0	1.0161	0.0	0.0	0.0	0.187	1.868	-19.869	24.14	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.45	0.0	0.0	1.0156	0.0	0.0	0.0	0.181	1.868	-19.869	24.13	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.45	0.0	0.0	1.0156	0.0	0.0	0.0	0.181	1.868	-19.869	24.13	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.175	0.0	0.0	1.0166	0.0	0.0	0.0	0.181	1.862	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.175	0.0	0.0	1.0166	0.0	0.0	0.0	0.181	1.862	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.265	0.0	0.0005	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.265	0.0	0.0005	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.389	0.0	0.0	1.0146	0.0	0.0	0.0	0.187	1.868	-19.869	24.14	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.389	0.0	0.0	1.0146	0.0	0.0	0.0	0.187	1.868	-19.869	24.14	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.479	0.0	0.0005	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.479	0.0	0.0005	1.0156	0.0	0.0	0.0	0.187	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.569	0.0	0.0	1.0166	0.0	0.0	0.0	0.187	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2044-28-222 7:59:47.569	0.0	0.0	1.0166	0.0	0.0	0.0	0.187	1.868	-19.869	24.16	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
