,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Time,X,Y,Z,Magnitude,Filtered Magnitude
2025-02-05 05:00:28.790,0.001,-0.001,0.0259,0.0,0.0,0.0,28.15,106.60250017,35.20446917,,,,,,
2025-02-05 05:00:28.800,0.0009107142857142857,-0.0009642857142857143,0.025828571428571426,0.0,0.0,0.0,28.156785714285714,106.60250016392857,35.20446916392857,,,,,,
2025-02-05 05:00:28.810,0.0008214285714285715,-0.0009285714285714286,0.025757142857142857,0.0,0.0,0.0,28.163571428571426,106.60250015785714,35.20446915785715,,,,,,
2025-02-05 05:00:28.820,0.0007321428571428572,-0.0008928571428571428,0.025685714285714284,0.0,0.0,0.0,28.170357142857142,106.60250015178572,35.204469151785716,,,,,,
2025-02-05 05:00:28.830,0.0006428571428571429,-0.0008571428571428571,0.025614285714285714,0.0,0.0,0.0,28.177142857142854,106.60250014571429,35.20446914571429,,,,,,
2025-02-05 05:00:28.840,0.0005535714285714287,-0.0008214285714285715,0.02554285714285714,0.0,0.0,0.0,28.18392857142857,106.60250013964286,35.20446913964286,,,,,,
2025-02-05 05:00:28.850,0.0004642857142857143,-0.0007857142857142857,0.025471428571428572,0.0,0.0,0.0,28.190714285714286,106.60250013357143,35.20446913357143,,,,,,
2025-02-05 05:00:28.860,0.000375,-0.00075,0.0254,0.0,0.0,0.0,28.197499999999998,106.60250012750001,35.204469127500005,,,,,,
2025-02-05 05:00:28.870,0.00028571428571428574,-0.0007142857142857143,0.02532857142857143,0.0,0.0,0.0,28.204285714285714,106.60250012142858,35.20446912142857,,,,,,
2025-02-05 05:00:28.880,0.00019642857142857146,-0.0006785714285714286,0.025257142857142856,0.0,0.0,0.0,28.211071428571426,106.60250011535715,35.20446911535715,,,,,,
2025-02-05 05:00:28.890,0.00010714285714285719,-0.0006428571428571428,0.025185714285714287,0.0,0.0,0.0,28.21785714285714,106.60250010928571,35.20446910928572,,,,,,
2025-02-05 05:00:28.900,1.785714285714281e-05,-0.0006071428571428571,0.025114285714285714,0.0,0.0,0.0,28.224642857142857,106.60250010321428,35.20446910321429,,,,,,
2025-02-05 05:00:28.910,-7.142857142857146e-05,-0.0005714285714285715,0.025042857142857144,0.0,0.0,0.0,28.23142857142857,106.60250009714287,35.20446909714286,,,,,,
2025-02-05 05:00:28.920,-0.00016071428571428573,-0.0005357142857142856,0.02497142857142857,0.0,0.0,0.0,28.238214285714285,106.60250009107143,35.20446909107143,,,,,,
2025-02-05 05:00:28.930,-0.00025,-0.0005,0.0249,0.0,0.0,0.0,28.244999999999997,106.602500085,35.204469085,,,,,,
2025-02-05 05:00:28.940,-0.0003392857142857143,-0.0004642857142857143,0.02482857142857143,0.0,0.0,0.0,28.251785714285713,106.60250007892857,35.204469078928575,,,,,,
2025-02-05 05:00:28.950,-0.00042857142857142855,-0.00042857142857142855,0.024757142857142856,0.0,0.0,0.0,28.25857142857143,106.60250007285714,35.204469072857144,,,,,,
2025-02-05 05:00:28.960,-0.0005178571428571428,-0.0003928571428571428,0.024685714285714287,0.0,0.0,0.0,28.26535714285714,106.60250006678572,35.20446906678572,,,,,,
2025-02-05 05:00:28.970,-0.0006071428571428571,-0.0003571428571428571,0.024614285714285714,0.0,0.0,0.0,28.272142857142857,106.60250006071429,35.20446906071429,,,,,,
2025-02-05 05:00:28.980,-0.0006964285714285714,-0.00032142857142857136,0.024542857142857144,0.0,0.0,0.0,28.278928571428573,106.60250005464286,35.20446905464286,,,,,,
2025-02-05 05:00:28.990,-0.0007857142857142856,-0.00028571428571428563,0.02447142857142857,0.0,0.0,0.0,28.285714285714285,106.60250004857143,35.20446904857143,,,,,,
2025-02-05 05:00:29.000,-0.0008749999999999999,-0.00025,0.0244,0.0,0.0,0.0,28.2925,106.6025000425,35.2044690425,,,,,,
2025-02-05 05:00:29.010,-0.0009642857142857144,-0.00021428571428571427,0.02432857142857143,0.0,0.0,0.0,28.299285714285713,106.60250003642858,35.20446903642858,,,,,,
2025-02-05 05:00:29.020,-0.0010535714285714285,-0.00017857142857142854,0.02425714285714286,0.0,0.0,0.0,28.30607142857143,106.60250003035715,35.204469030357146,,,,,,
2025-02-05 05:00:29.030,-0.001142857142857143,-0.00014285714285714281,0.024185714285714286,0.0,0.0,0.0,28.312857142857144,106.60250002428572,35.204469024285714,,,,,,
2025-02-05 05:00:29.040,-0.001232142857142857,-0.00010714285714285708,0.024114285714285717,0.0,0.0,0.0,28.319642857142856,106.60250001821429,35.20446901821429,,,,,,
2025-02-05 05:00:29.050,-0.0013214285714285715,-7.142857142857135e-05,0.024042857142857144,0.0,0.0,0.0,28.326428571428572,106.60250001214287,35.20446901214286,,,,,,
2025-02-05 05:00:29.060,-0.0014107142857142855,-3.571428571428562e-05,0.023971428571428574,0.0,0.0,0.0,28.333214285714284,106.60250000607144,35.204469006071434,,,,,,
2025-02-05 05:00:29.070,-0.0015,0.0,0.0239,0.0,0.0,0.0,28.34,106.6025,35.204469,,,,,,
2025-02-05 05:00:29.080,0.001,0.0005,0.0234,0.0,0.0,0.0,28.34,106.6025,35.204469,,,,,,
2025-02-05 05:00:29.090,0.0015,0.0,0.0234,0.0,0.0,0.0,28.47,106.6025,35.204469,,,,,,
2025-02-05 05:00:29.100,0.0,-0.001,0.0249,0.0,0.0,0.0,28.15,106.6025,35.204469,,,,,,
