Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2076-28-187 8:3:49.855	-0.0005	-0.0005	1.0156	0.0	0.0	0.0	0.17	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:49.855	-0.0005	-0.0005	1.0156	0.0	0.0	0.0	0.17	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:49.959	0.0	0.0	1.0161	0.0	0.0	0.0	0.17	1.873	-19.891	24.4	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:49.959	0.0	0.0	1.0161	0.0	0.0	0.0	0.17	1.873	-19.891	24.4	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.59	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.17	1.873	-19.891	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.59	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.17	1.873	-19.891	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.115	0.0	0.0	1.0151	0.0	0.0	0.0	0.17	1.873	-19.891	24.36	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.115	0.0	0.0	1.0151	0.0	0.0	0.0	0.17	1.873	-19.891	24.36	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.214	0.0	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.214	0.0	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.294	0.0	0.0	1.0146	0.0	0.0	0.0	0.176	1.873	-19.891	24.36	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.294	0.0	0.0	1.0146	0.0	0.0	0.0	0.176	1.873	-19.891	24.36	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.385	0.0	0.0	1.0151	0.0	0.0	0.0	0.17	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.385	0.0	0.0	1.0151	0.0	0.0	0.0	0.17	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.509	0.0	0.0	1.0151	0.0	0.0	0.0	0.17	1.873	-19.891	24.36	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.509	0.0	0.0	1.0151	0.0	0.0	0.0	0.17	1.873	-19.891	24.36	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.615	0.0005	-0.0005	1.0146	0.0	0.0	0.0	0.17	1.879	-19.891	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.615	0.0005	-0.0005	1.0146	0.0	0.0	0.0	0.17	1.879	-19.891	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.690	0.0	0.0	1.0146	0.0	0.0	0.0	0.17	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:3:50.690	0.0	0.0	1.0146	0.0	0.0	0.0	0.17	1.873	-19.891	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
