Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.006000,0.356500,0.427260,0.501600,0.749163,0.749163,2025-02-05 04:21:36.399
0.015000,0.391390,0.470160,0.551930,0.823932,0.786548,2025-02-05 04:21:36.399
0.025000,0.394990,0.474360,0.557130,0.831522,0.801539,2025-02-05 04:21:36.399
0.034000,0.395240,0.475450,0.557570,0.832557,0.809294,2025-02-05 04:21:36.427
0.043000,0.395700,0.475390,0.557780,0.832882,0.814011,2025-02-05 04:21:36.427
0.053000,0.396280,0.475640,0.557890,0.833374,0.817238,2025-02-05 04:21:36.427
0.062000,0.396020,0.475750,0.557640,0.833146,0.819511,2025-02-05 04:21:36.455
0.071000,0.395560,0.475840,0.557450,0.832852,0.821179,2025-02-05 04:21:36.455
0.081000,0.395400,0.476100,0.557850,0.833192,0.822513,2025-02-05 04:21:36.455
0.090000,0.396140,0.476460,0.557640,0.833609,0.823623,2025-02-05 04:21:36.483
0.099000,0.396110,0.476160,0.557620,0.833410,0.832047,2025-02-05 04:21:36.483
0.108000,0.396430,0.475800,0.557950,0.833577,0.833012,2025-02-05 04:21:36.483
0.118000,0.396790,0.475510,0.558320,0.833830,0.833243,2025-02-05 04:21:36.511
0.127000,0.396280,0.475740,0.557600,0.833237,0.833311,2025-02-05 04:21:36.511
0.136000,0.396120,0.475760,0.557530,0.833126,0.833335,2025-02-05 04:21:36.511
0.146000,0.396320,0.476180,0.557780,0.833628,0.833361,2025-02-05 04:21:36.539
0.155000,0.395800,0.476050,0.557470,0.833099,0.833356,2025-02-05 04:21:36.539
0.164000,0.395750,0.475450,0.557520,0.832766,0.833347,2025-02-05 04:21:36.539
0.174000,0.395750,0.475480,0.557520,0.832783,0.833306,2025-02-05 04:21:36.567
0.183000,0.395420,0.475900,0.557690,0.832980,0.833244,2025-02-05 04:21:36.567
0.192000,0.395820,0.476110,0.557370,0.833076,0.833210,2025-02-05 04:21:36.567
0.202000,0.395860,0.476380,0.557090,0.833062,0.833159,2025-02-05 04:21:36.595
0.211000,0.395870,0.475650,0.557140,0.832683,0.833044,2025-02-05 04:21:36.595
0.220000,0.395970,0.475830,0.557070,0.832787,0.832999,2025-02-05 04:21:36.595
0.229000,0.395880,0.475350,0.557230,0.832577,0.832944,2025-02-05 04:21:36.623
0.239000,0.395760,0.475720,0.557410,0.832851,0.832866,2025-02-05 04:21:36.623
0.248000,0.395530,0.475590,0.557340,0.832621,0.832819,2025-02-05 04:21:36.623
0.257000,0.395510,0.474990,0.557590,0.832436,0.832786,2025-02-05 04:21:36.651
0.267000,0.395620,0.475350,0.557780,0.832821,0.832789,2025-02-05 04:21:36.651
0.276000,0.395520,0.475470,0.557800,0.832856,0.832777,2025-02-05 04:21:36.651
0.285000,0.395190,0.475560,0.557800,0.832750,0.832744,2025-02-05 04:21:36.678
0.295000,0.395260,0.475740,0.557470,0.832665,0.832705,2025-02-05 04:21:36.678
0.304000,0.395590,0.475760,0.557520,0.832867,0.832723,2025-02-05 04:21:36.678
0.313000,0.395840,0.475760,0.557440,0.832932,0.832738,2025-02-05 04:21:36.706
0.323000,0.395970,0.475930,0.557600,0.833198,0.832800,2025-02-05 04:21:36.706
0.332000,0.395880,0.475780,0.557700,0.833137,0.832828,2025-02-05 04:21:36.706
0.341000,0.395330,0.475680,0.557960,0.832993,0.832866,2025-02-05 04:21:36.734
0.350000,0.395380,0.475500,0.557990,0.832934,0.832915,2025-02-05 04:21:36.734
0.360000,0.395600,0.475400,0.557820,0.832867,0.832920,2025-02-05 04:21:36.734
0.369000,0.395950,0.475810,0.557470,0.833033,0.832938,2025-02-05 04:21:36.762
0.378000,0.395980,0.475680,0.557520,0.833007,0.832963,2025-02-05 04:21:36.762
0.388000,0.395880,0.475250,0.557020,0.832379,0.832935,2025-02-05 04:21:36.762
0.397000,0.396080,0.475370,0.557220,0.832676,0.832916,2025-02-05 04:21:36.790
0.406000,0.396320,0.475220,0.557160,0.832665,0.832889,2025-02-05 04:21:36.790
0.416000,0.395590,0.475200,0.557230,0.832353,0.832804,2025-02-05 04:21:36.790
0.425000,0.395950,0.475120,0.557070,0.832372,0.832728,2025-02-05 04:21:36.818
0.434000,0.395340,0.475110,0.557730,0.832518,0.832680,2025-02-05 04:21:36.818
0.444000,0.396140,0.475360,0.557290,0.832746,0.832662,2025-02-05 04:21:36.818
0.453000,0.395460,0.475220,0.557580,0.832537,0.832629,2025-02-05 04:21:36.846
0.462000,0.395930,0.475200,0.557780,0.832883,0.832614,2025-02-05 04:21:36.846
0.471000,0.395980,0.475040,0.557550,0.832661,0.832579,2025-02-05 04:21:36.846
0.481000,0.395660,0.475600,0.557440,0.832755,0.832617,2025-02-05 04:21:36.874
0.490000,0.395950,0.475410,0.557100,0.832557,0.832605,2025-02-05 04:21:36.874
0.499000,0.395980,0.475390,0.557230,0.832647,0.832603,2025-02-05 04:21:36.874
0.509000,0.396200,0.475390,0.557240,0.832758,0.832644,2025-02-05 04:21:36.902
0.518000,0.396550,0.474890,0.557240,0.832640,0.832670,2025-02-05 04:21:36.902
0.527000,0.396260,0.474670,0.557500,0.832550,0.832674,2025-02-05 04:21:36.902
0.537000,0.396230,0.475070,0.557270,0.832610,0.832660,2025-02-05 04:21:36.930
0.546000,0.396550,0.475110,0.557410,0.832879,0.832694,2025-02-05 04:21:36.930
0.555000,0.396150,0.475360,0.557180,0.832677,0.832674,2025-02-05 04:21:36.930
0.565000,0.396650,0.475640,0.557830,0.833510,0.832758,2025-02-05 04:21:36.958
0.574000,0.396380,0.475410,0.557810,0.833237,0.832807,2025-02-05 04:21:36.958
0.583000,0.396130,0.474720,0.557470,0.832497,0.832801,2025-02-05 04:21:36.958
0.592000,0.396320,0.474650,0.557770,0.832748,0.832811,2025-02-05 04:21:36.986
0.602000,0.395700,0.474900,0.557890,0.832676,0.832802,2025-02-05 04:21:36.986
0.611000,0.395530,0.475170,0.558150,0.832924,0.832831,2025-02-05 04:21:36.986
0.620000,0.395290,0.475280,0.557920,0.832718,0.832848,2025-02-05 04:21:37.014
0.630000,0.395490,0.475540,0.557310,0.832553,0.832842,2025-02-05 04:21:37.014
0.639000,0.395400,0.475570,0.557420,0.832601,0.832814,2025-02-05 04:21:37.014
0.648000,0.395820,0.475410,0.557930,0.833051,0.832852,2025-02-05 04:21:37.041
0.658000,0.396080,0.475310,0.557900,0.833097,0.832810,2025-02-05 04:21:37.042
0.667000,0.395560,0.474880,0.557390,0.832263,0.832713,2025-02-05 04:21:37.042
0.676000,0.395620,0.474840,0.557930,0.832631,0.832726,2025-02-05 04:21:37.069
0.686000,0.396060,0.475000,0.557650,0.832744,0.832726,2025-02-05 04:21:37.070
0.695000,0.395450,0.474930,0.557450,0.832280,0.832686,2025-02-05 04:21:37.070
0.704000,0.395390,0.475180,0.557600,0.832494,0.832643,2025-02-05 04:21:37.097
0.713000,0.395820,0.474950,0.557870,0.832748,0.832646,2025-02-05 04:21:37.098
0.723000,0.396190,0.475430,0.557980,0.833272,0.832718,2025-02-05 04:21:37.098
0.732000,0.395470,0.475140,0.557990,0.832771,0.832735,2025-02-05 04:21:37.125
0.741000,0.396040,0.475280,0.558160,0.833235,0.832754,2025-02-05 04:21:37.126
