Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.656000,0.487030,0.440910,0.359230,0.748763,0.748967,2025-02-05 05:00:31.545
0.665000,0.487000,0.440770,0.359200,0.748647,0.748899,2025-02-05 05:00:31.545
0.674000,0.487210,0.441250,0.359370,0.749147,0.748916,2025-02-05 05:00:31.573
0.684000,0.487130,0.440970,0.359050,0.748777,0.748948,2025-02-05 05:00:31.573
0.693000,0.487120,0.441020,0.359020,0.748786,0.748932,2025-02-05 05:00:31.573
0.702000,0.487440,0.440860,0.358760,0.748775,0.748903,2025-02-05 05:00:31.601
0.712000,0.487260,0.440680,0.358910,0.748624,0.748872,2025-02-05 05:00:31.601
0.721000,0.487450,0.440990,0.359170,0.749055,0.748873,2025-02-05 05:00:31.601
0.730000,0.487580,0.440860,0.359370,0.749159,0.748864,2025-02-05 05:00:31.629
0.739000,0.487160,0.440510,0.359130,0.748564,0.748830,2025-02-05 05:00:31.629
0.749000,0.487980,0.440810,0.358690,0.749064,0.748860,2025-02-05 05:00:31.629
0.758000,0.487530,0.441090,0.358730,0.748955,0.748890,2025-02-05 05:00:31.657
0.767000,0.488020,0.440370,0.358820,0.748893,0.748865,2025-02-05 05:00:31.657
0.776000,0.487530,0.440630,0.358910,0.748770,0.748864,2025-02-05 05:00:31.657
0.786000,0.487160,0.440570,0.358840,0.748460,0.748832,2025-02-05 05:00:31.685
0.795000,0.487440,0.440480,0.358910,0.748623,0.748817,2025-02-05 05:00:31.685
0.804000,0.487800,0.440220,0.359170,0.748829,0.748837,2025-02-05 05:00:31.685
0.814000,0.487620,0.440450,0.359200,0.748862,0.748818,2025-02-05 05:00:31.712
0.823000,0.486950,0.440800,0.359200,0.748632,0.748765,2025-02-05 05:00:31.712
0.832000,0.486990,0.440250,0.359370,0.748416,0.748750,2025-02-05 05:00:31.712
0.841000,0.487100,0.440950,0.359390,0.748909,0.748735,2025-02-05 05:00:31.740
0.851000,0.487650,0.440520,0.359810,0.749215,0.748761,2025-02-05 05:00:31.740
0.860000,0.487710,0.440640,0.359260,0.749061,0.748778,2025-02-05 05:00:31.740
0.869000,0.487710,0.440570,0.359540,0.749154,0.748816,2025-02-05 05:00:31.768
0.879000,0.487280,0.440480,0.359150,0.748634,0.748834,2025-02-05 05:00:31.768
0.888000,0.487350,0.440890,0.358780,0.748744,0.748846,2025-02-05 05:00:31.768
0.897000,0.488110,0.440260,0.358820,0.748887,0.748851,2025-02-05 05:00:31.796
0.906000,0.488190,0.440530,0.358830,0.749103,0.748875,2025-02-05 05:00:31.796
0.916000,0.487550,0.440650,0.358740,0.748713,0.748884,2025-02-05 05:00:31.796
0.925000,0.487910,0.440490,0.358990,0.748974,0.748939,2025-02-05 05:00:31.824
0.934000,0.487200,0.440720,0.359180,0.748738,0.748922,2025-02-05 05:00:31.824
0.944000,0.487230,0.440250,0.358780,0.748289,0.748830,2025-02-05 05:00:31.824
0.953000,0.487670,0.440620,0.358910,0.748855,0.748809,2025-02-05 05:00:31.852
0.962000,0.487820,0.440570,0.358500,0.748727,0.748766,2025-02-05 05:00:31.852
0.971000,0.486970,0.440900,0.358540,0.748387,0.748742,2025-02-05 05:00:31.852
0.981000,0.486890,0.440600,0.358800,0.748283,0.748696,2025-02-05 05:00:31.880
0.990000,0.487420,0.440740,0.358910,0.748763,0.748683,2025-02-05 05:00:31.880
0.999000,0.487250,0.440500,0.359170,0.748636,0.748637,2025-02-05 05:00:31.880
1.009000,0.487450,0.440140,0.359200,0.748569,0.748622,2025-02-05 05:00:31.907
1.018000,0.486610,0.440270,0.359200,0.748099,0.748535,2025-02-05 05:00:31.907
1.027000,0.486740,0.440950,0.359450,0.748704,0.748531,2025-02-05 05:00:31.907
1.036000,0.486860,0.440690,0.359560,0.748681,0.748570,2025-02-05 05:00:31.935
1.046000,0.487090,0.440410,0.359410,0.748594,0.748544,2025-02-05 05:00:31.935
1.055000,0.487330,0.440300,0.359640,0.748796,0.748551,2025-02-05 05:00:31.935
1.064000,0.487460,0.440710,0.359580,0.749093,0.748622,2025-02-05 05:00:31.963
1.074000,0.488120,0.440910,0.359660,0.749679,0.748761,2025-02-05 05:00:31.963
1.083000,0.487760,0.440600,0.359250,0.749065,0.748792,2025-02-05 05:00:31.963
1.092000,0.487070,0.440740,0.359290,0.748718,0.748800,2025-02-05 05:00:31.991
1.101000,0.487760,0.440250,0.359210,0.748840,0.748827,2025-02-05 05:00:31.991
1.111000,0.488040,0.440280,0.359290,0.749079,0.748925,2025-02-05 05:00:31.991
1.120000,0.486990,0.440120,0.359290,0.748301,0.748885,2025-02-05 05:00:32.019
1.129000,0.487100,0.440600,0.359040,0.748535,0.748870,2025-02-05 05:00:32.019
1.139000,0.487760,0.440650,0.359190,0.749066,0.748917,2025-02-05 05:00:32.019
1.148000,0.487180,0.440570,0.359030,0.748565,0.748894,2025-02-05 05:00:32.047
1.157000,0.487230,0.440230,0.359190,0.748474,0.748832,2025-02-05 05:00:32.047
1.166000,0.487340,0.440870,0.359280,0.748965,0.748761,2025-02-05 05:00:32.047
1.176000,0.487790,0.440340,0.359130,0.748874,0.748742,2025-02-05 05:00:32.075
1.185000,0.487720,0.440710,0.359450,0.749200,0.748790,2025-02-05 05:00:32.075
1.194000,0.487930,0.440250,0.359310,0.748999,0.748806,2025-02-05 05:00:32.075
1.203000,0.487630,0.440450,0.359210,0.748873,0.748785,2025-02-05 05:00:32.102
1.213000,0.487490,0.440300,0.359290,0.748732,0.748828,2025-02-05 05:00:32.102
1.222000,0.487050,0.440290,0.359290,0.748440,0.748819,2025-02-05 05:00:32.102
1.231000,0.487330,0.440370,0.359210,0.748631,0.748775,2025-02-05 05:00:32.130
1.241000,0.487030,0.440210,0.359200,0.748337,0.748752,2025-02-05 05:00:32.130
1.250000,0.487750,0.440610,0.359450,0.749161,0.748821,2025-02-05 05:00:32.130
