Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.006000,0.381390,0.405950,0.317050,0.640917,0.640917,2025-02-05 04:30:10.641
0.015000,0.419420,0.446460,0.348930,0.704976,0.672947,2025-02-05 04:30:10.641
0.025000,0.423660,0.450600,0.352120,0.711700,0.685864,2025-02-05 04:30:10.641
0.034000,0.424080,0.451010,0.353020,0.712655,0.692562,2025-02-05 04:30:10.668
0.043000,0.423800,0.450890,0.352690,0.712249,0.696499,2025-02-05 04:30:10.668
0.052000,0.423660,0.451120,0.352910,0.712420,0.699153,2025-02-05 04:30:10.668
0.062000,0.423650,0.450560,0.353020,0.712114,0.701004,2025-02-05 04:30:10.696
0.071000,0.423540,0.451510,0.352780,0.712532,0.702445,2025-02-05 04:30:10.696
0.080000,0.423640,0.451190,0.352920,0.712458,0.703558,2025-02-05 04:30:10.696
0.090000,0.423970,0.451410,0.352940,0.712803,0.704482,2025-02-05 04:30:10.724
0.099000,0.424220,0.451510,0.353020,0.713055,0.711696,2025-02-05 04:30:10.724
0.108000,0.423810,0.451190,0.353030,0.712613,0.712460,2025-02-05 04:30:10.724
0.117000,0.424310,0.451240,0.353370,0.713111,0.712601,2025-02-05 04:30:10.752
0.127000,0.424150,0.451580,0.352640,0.712869,0.712622,2025-02-05 04:30:10.752
0.136000,0.424240,0.451030,0.352490,0.712500,0.712647,2025-02-05 04:30:10.752
0.145000,0.423600,0.450970,0.352810,0.712240,0.712629,2025-02-05 04:30:10.780
0.154000,0.423540,0.450880,0.352840,0.712162,0.712634,2025-02-05 04:30:10.780
0.164000,0.423530,0.450460,0.352930,0.711935,0.712575,2025-02-05 04:30:10.780
0.173000,0.423420,0.451000,0.353360,0.712425,0.712571,2025-02-05 04:30:10.808
0.182000,0.424060,0.450720,0.352730,0.712316,0.712523,2025-02-05 04:30:10.808
0.191000,0.423800,0.450940,0.353000,0.712434,0.712461,2025-02-05 04:30:10.808
0.201000,0.423880,0.450710,0.353030,0.712351,0.712434,2025-02-05 04:30:10.835
0.210000,0.424000,0.450360,0.353280,0.712325,0.712356,2025-02-05 04:30:10.835
0.219000,0.423580,0.450490,0.352890,0.711964,0.712265,2025-02-05 04:30:10.835
0.229000,0.423210,0.450670,0.353020,0.711922,0.712207,2025-02-05 04:30:10.863
