Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.006000,0.357570,0.427100,0.507070,0.753253,0.753253,2025-02-05 04:00:26.691
0.015000,0.393010,0.469970,0.557950,0.828636,0.790944,2025-02-05 04:00:26.691
0.025000,0.396340,0.474090,0.563120,0.836033,0.805974,2025-02-05 04:00:26.691
0.034000,0.396450,0.474510,0.563220,0.836391,0.813578,2025-02-05 04:00:26.719
0.043000,0.397000,0.474460,0.563230,0.836630,0.818188,2025-02-05 04:00:26.719
0.053000,0.396630,0.474290,0.563480,0.836526,0.821245,2025-02-05 04:00:26.719
0.062000,0.396800,0.474610,0.563250,0.836633,0.823443,2025-02-05 04:00:26.746
0.071000,0.397150,0.474890,0.563400,0.837059,0.825145,2025-02-05 04:00:26.746
0.081000,0.396750,0.474840,0.563330,0.836794,0.826439,2025-02-05 04:00:26.746
0.090000,0.396390,0.475580,0.563070,0.836869,0.827482,2025-02-05 04:00:26.774
0.099000,0.396670,0.475070,0.563460,0.836974,0.835854,2025-02-05 04:00:26.774
0.109000,0.396810,0.474940,0.563340,0.836886,0.836679,2025-02-05 04:00:26.774
0.118000,0.396820,0.474510,0.563240,0.836579,0.836734,2025-02-05 04:00:26.802
0.127000,0.396820,0.474880,0.563310,0.836836,0.836779,2025-02-05 04:00:26.802
0.136000,0.396820,0.474920,0.563150,0.836751,0.836791,2025-02-05 04:00:26.802
0.146000,0.396390,0.475340,0.563220,0.836833,0.836822,2025-02-05 04:00:26.830
0.155000,0.396350,0.475220,0.563230,0.836753,0.836834,2025-02-05 04:00:26.830
0.164000,0.396670,0.475540,0.563560,0.837308,0.836858,2025-02-05 04:00:26.830
0.174000,0.395840,0.474990,0.563600,0.836630,0.836842,2025-02-05 04:00:26.858
0.183000,0.395760,0.475010,0.563600,0.836604,0.836816,2025-02-05 04:00:26.858
0.192000,0.396290,0.474350,0.563350,0.836311,0.836749,2025-02-05 04:00:26.858
0.202000,0.395690,0.474700,0.563410,0.836266,0.836687,2025-02-05 04:00:26.886
0.211000,0.395960,0.474480,0.563080,0.836047,0.836634,2025-02-05 04:00:26.886
0.220000,0.396740,0.474380,0.562880,0.836225,0.836573,2025-02-05 04:00:26.886
0.229000,0.396490,0.474450,0.562690,0.836019,0.836500,2025-02-05 04:00:26.914
0.239000,0.396140,0.474460,0.562750,0.835899,0.836406,2025-02-05 04:00:26.914
0.248000,0.396220,0.474790,0.563100,0.836360,0.836367,2025-02-05 04:00:26.914
0.257000,0.396760,0.474490,0.563380,0.836634,0.836299,2025-02-05 04:00:26.942
0.267000,0.396820,0.474460,0.562820,0.836268,0.836263,2025-02-05 04:00:26.942
0.276000,0.397040,0.474290,0.562930,0.836350,0.836238,2025-02-05 04:00:26.942
0.285000,0.397490,0.474530,0.562690,0.836539,0.836261,2025-02-05 04:00:26.970
0.295000,0.397110,0.474380,0.563430,0.836771,0.836311,2025-02-05 04:00:26.970
0.304000,0.397180,0.474540,0.563670,0.837057,0.836412,2025-02-05 04:00:26.970
0.313000,0.397400,0.474130,0.563610,0.836888,0.836478,2025-02-05 04:00:26.998
0.322000,0.397420,0.474430,0.563430,0.836947,0.836571,2025-02-05 04:00:26.998
0.332000,0.396880,0.474960,0.563920,0.837321,0.836714,2025-02-05 04:00:26.998
0.341000,0.396940,0.475010,0.563470,0.837075,0.836785,2025-02-05 04:00:27.026
0.350000,0.396620,0.474680,0.563170,0.836534,0.836775,2025-02-05 04:00:27.026
0.360000,0.396480,0.474310,0.563310,0.836352,0.836783,2025-02-05 04:00:27.026
0.369000,0.396900,0.474530,0.563400,0.836736,0.836822,2025-02-05 04:00:27.053
0.378000,0.396510,0.474380,0.562910,0.836136,0.836782,2025-02-05 04:00:27.054
0.388000,0.396900,0.474450,0.563110,0.836496,0.836754,2025-02-05 04:00:27.054
0.397000,0.396830,0.474790,0.562880,0.836501,0.836699,2025-02-05 04:00:27.081
0.406000,0.396830,0.474660,0.563190,0.836636,0.836673,2025-02-05 04:00:27.082
0.416000,0.397150,0.474810,0.563220,0.836893,0.836668,2025-02-05 04:00:27.082
0.425000,0.396530,0.474750,0.562720,0.836228,0.836559,2025-02-05 04:00:27.108
0.434000,0.396690,0.474320,0.563010,0.836255,0.836477,2025-02-05 04:00:27.109
0.443000,0.396700,0.474610,0.563040,0.836445,0.836468,2025-02-05 04:00:27.109
0.453000,0.396600,0.474640,0.563210,0.836529,0.836485,2025-02-05 04:00:27.136
0.462000,0.396590,0.474650,0.562890,0.836314,0.836443,2025-02-05 04:00:27.137
0.471000,0.396800,0.474650,0.563190,0.836616,0.836491,2025-02-05 04:00:27.137
0.481000,0.397150,0.475230,0.563390,0.837245,0.836566,2025-02-05 04:00:27.164
0.490000,0.396960,0.474950,0.562910,0.836673,0.836583,2025-02-05 04:00:27.165
0.499000,0.396730,0.475430,0.562940,0.836857,0.836606,2025-02-05 04:00:27.165
0.509000,0.397030,0.474810,0.562860,0.836594,0.836576,2025-02-05 04:00:27.192
0.518000,0.396630,0.474660,0.563020,0.836426,0.836595,2025-02-05 04:00:27.193
0.527000,0.396270,0.474650,0.562700,0.836035,0.836573,2025-02-05 04:00:27.193
0.537000,0.396340,0.474900,0.563260,0.836587,0.836588,2025-02-05 04:00:27.220
0.546000,0.396340,0.474920,0.562890,0.836349,0.836570,2025-02-05 04:00:27.221
0.555000,0.396020,0.475170,0.563190,0.836541,0.836592,2025-02-05 04:00:27.221
0.564000,0.396210,0.474450,0.563810,0.836640,0.836595,2025-02-05 04:00:27.248
0.574000,0.396220,0.474290,0.563450,0.836312,0.836501,2025-02-05 04:00:27.249
0.583000,0.396760,0.474190,0.563170,0.836322,0.836466,2025-02-05 04:00:27.249
0.592000,0.397030,0.474350,0.563310,0.836635,0.836444,2025-02-05 04:00:27.276
0.602000,0.396850,0.474700,0.563070,0.836587,0.836443,2025-02-05 04:00:27.277
0.611000,0.397040,0.474650,0.563130,0.836689,0.836470,2025-02-05 04:00:27.277
0.620000,0.396950,0.474900,0.563300,0.836903,0.836557,2025-02-05 04:00:27.304
0.630000,0.396840,0.474840,0.563230,0.836769,0.836575,2025-02-05 04:00:27.305
0.639000,0.396610,0.475330,0.563400,0.837053,0.836645,2025-02-05 04:00:27.305
0.648000,0.396590,0.474800,0.563580,0.836864,0.836677,2025-02-05 04:00:27.332
0.657000,0.396590,0.474660,0.563770,0.836912,0.836705,2025-02-05 04:00:27.333
0.667000,0.396690,0.474230,0.563700,0.836669,0.836740,2025-02-05 04:00:27.333
0.676000,0.396700,0.474440,0.563610,0.836732,0.836781,2025-02-05 04:00:27.360
0.685000,0.396810,0.474460,0.563600,0.836789,0.836797,2025-02-05 04:00:27.361
0.695000,0.396820,0.474380,0.563600,0.836748,0.836813,2025-02-05 04:00:27.361
0.704000,0.396610,0.474870,0.563430,0.836812,0.836825,2025-02-05 04:00:27.388
0.713000,0.396260,0.474670,0.563250,0.836411,0.836776,2025-02-05 04:00:27.388
0.723000,0.396230,0.474480,0.563400,0.836390,0.836738,2025-02-05 04:00:27.389
0.732000,0.396120,0.474800,0.563500,0.836587,0.836692,2025-02-05 04:00:27.416
0.741000,0.395570,0.475160,0.563590,0.836592,0.836664,2025-02-05 04:00:27.416
0.751000,0.395730,0.475030,0.563770,0.836715,0.836645,2025-02-05 04:00:27.417
0.760000,0.396280,0.475600,0.563450,0.837084,0.836686,2025-02-05 04:00:27.444
