Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.006000,-0.187360,0.419990,0.110610,0.473001,0.473001,2025-02-07 17:03:01.582
0.016000,-0.206960,0.461830,0.122600,0.520721,0.496861,2025-02-07 17:03:01.598
0.025000,-0.208590,0.466180,0.123460,0.525429,0.506384,2025-02-07 17:03:01.598
0.034000,-0.208650,0.466530,0.123130,0.525686,0.511209,2025-02-07 17:03:01.626
0.044000,-0.207900,0.466730,0.123350,0.525618,0.514091,2025-02-07 17:03:01.626
0.053000,-0.208470,0.466250,0.123200,0.525383,0.515973,2025-02-07 17:03:01.626
0.062000,-0.208420,0.466790,0.123190,0.525840,0.517383,2025-02-07 17:03:01.654
0.072000,-0.208520,0.466760,0.123270,0.525872,0.518444,2025-02-07 17:03:01.654
0.081000,-0.208640,0.466750,0.123110,0.525873,0.519269,2025-02-07 17:03:01.654
0.090000,-0.208870,0.467000,0.123350,0.526242,0.519967,2025-02-07 17:03:01.682
0.100000,-0.209110,0.466610,0.123290,0.525977,0.525264,2025-02-07 17:03:01.682
0.109000,-0.208810,0.466740,0.123780,0.526089,0.525801,2025-02-07 17:03:01.682
0.119000,-0.208560,0.467000,0.124000,0.526272,0.525885,2025-02-07 17:03:01.711
0.128000,-0.208000,0.467190,0.123770,0.526165,0.525933,2025-02-07 17:03:01.711
0.137000,-0.208370,0.467130,0.123580,0.526213,0.525993,2025-02-07 17:03:01.711
0.147000,-0.208300,0.467290,0.123730,0.526363,0.526091,2025-02-07 17:03:01.739
0.156000,-0.208830,0.467390,0.123410,0.526587,0.526165,2025-02-07 17:03:01.739
0.165000,-0.208780,0.467230,0.123040,0.526338,0.526212,2025-02-07 17:03:01.739
0.175000,-0.208450,0.467050,0.123340,0.526118,0.526236,2025-02-07 17:03:01.767
0.184000,-0.208960,0.466950,0.123710,0.526318,0.526244,2025-02-07 17:03:01.767
0.194000,-0.208580,0.467440,0.123410,0.526532,0.526299,2025-02-07 17:03:01.767
0.203000,-0.208430,0.467240,0.123880,0.526405,0.526331,2025-02-07 17:03:01.794
0.212000,-0.208420,0.467390,0.122920,0.526309,0.526335,2025-02-07 17:03:01.795
0.222000,-0.208740,0.467230,0.123830,0.526507,0.526369,2025-02-07 17:03:01.795
0.231000,-0.209200,0.467390,0.123250,0.526696,0.526417,2025-02-07 17:03:01.822
0.240000,-0.209030,0.467400,0.123950,0.526802,0.526461,2025-02-07 17:03:01.823
0.250000,-0.208910,0.467070,0.124020,0.526478,0.526450,2025-02-07 17:03:01.823
0.259000,-0.209000,0.467290,0.123440,0.526572,0.526474,2025-02-07 17:03:01.851
0.268000,-0.209010,0.466890,0.123550,0.526247,0.526487,2025-02-07 17:03:01.851
0.278000,-0.209230,0.466850,0.123310,0.526243,0.526479,2025-02-07 17:03:01.851
0.287000,-0.208820,0.467010,0.123700,0.526313,0.526457,2025-02-07 17:03:01.878
0.297000,-0.209420,0.466530,0.123910,0.526176,0.526434,2025-02-07 17:03:01.879
0.306000,-0.208730,0.467150,0.123760,0.526416,0.526445,2025-02-07 17:03:01.879
0.315000,-0.208880,0.466960,0.124000,0.526363,0.526431,2025-02-07 17:03:01.906
0.325000,-0.208460,0.467110,0.123860,0.526297,0.526391,2025-02-07 17:03:01.907
0.334000,-0.208530,0.467210,0.123930,0.526430,0.526354,2025-02-07 17:03:01.907
0.343000,-0.208750,0.467380,0.124350,0.526767,0.526382,2025-02-07 17:03:01.934
0.353000,-0.209090,0.467400,0.123980,0.526832,0.526409,2025-02-07 17:03:01.935
0.362000,-0.208700,0.467650,0.123770,0.526850,0.526469,2025-02-07 17:03:01.935
0.372000,-0.208870,0.467590,0.124250,0.526977,0.526542,2025-02-07 17:03:01.964
0.381000,-0.208680,0.467590,0.124300,0.526914,0.526602,2025-02-07 17:03:01.964
0.390000,-0.208550,0.467250,0.124390,0.526582,0.526643,2025-02-07 17:03:01.964
0.400000,-0.209290,0.467050,0.124480,0.526719,0.526673,2025-02-07 17:03:01.991
0.409000,-0.209260,0.467120,0.124490,0.526772,0.526714,2025-02-07 17:03:01.992
0.418000,-0.208930,0.467460,0.124660,0.526983,0.526783,2025-02-07 17:03:01.992
0.428000,-0.208680,0.467660,0.124510,0.527026,0.526842,2025-02-07 17:03:02.019
0.437000,-0.208760,0.466930,0.124160,0.526327,0.526798,2025-02-07 17:03:02.020
0.447000,-0.208660,0.467100,0.123960,0.526391,0.526754,2025-02-07 17:03:02.020
0.456000,-0.208550,0.466950,0.123430,0.526090,0.526678,2025-02-07 17:03:02.047
0.465000,-0.208640,0.466770,0.123460,0.525973,0.526578,2025-02-07 17:03:02.048
0.475000,-0.208650,0.466500,0.123470,0.525739,0.526460,2025-02-07 17:03:02.048
0.484000,-0.208760,0.466640,0.123300,0.525867,0.526389,2025-02-07 17:03:02.075
0.493000,-0.208990,0.466410,0.123280,0.525750,0.526292,2025-02-07 17:03:02.076
0.503000,-0.208790,0.466800,0.123280,0.526017,0.526216,2025-02-07 17:03:02.076
0.512000,-0.208450,0.467010,0.123530,0.526127,0.526131,2025-02-07 17:03:02.103
0.521000,-0.208960,0.467200,0.123050,0.526385,0.526067,2025-02-07 17:03:02.104
0.531000,-0.209010,0.467050,0.123340,0.526340,0.526068,2025-02-07 17:03:02.104
0.540000,-0.209010,0.467370,0.123290,0.526612,0.526090,2025-02-07 17:03:02.131
0.550000,-0.208900,0.467570,0.123450,0.526783,0.526159,2025-02-07 17:03:02.132
0.559000,-0.208890,0.467250,0.123210,0.526439,0.526206,2025-02-07 17:03:02.132
0.568000,-0.208890,0.467300,0.123270,0.526498,0.526282,2025-02-07 17:03:02.159
0.578000,-0.208790,0.467230,0.123280,0.526398,0.526335,2025-02-07 17:03:02.160
0.587000,-0.209310,0.467380,0.123450,0.526778,0.526438,2025-02-07 17:03:02.160
0.596000,-0.209150,0.467320,0.123380,0.526644,0.526500,2025-02-07 17:03:02.188
0.606000,-0.209030,0.467310,0.123040,0.526508,0.526539,2025-02-07 17:03:02.189
0.615000,-0.208910,0.467230,0.123090,0.526401,0.526540,2025-02-07 17:03:02.189
0.625000,-0.209000,0.467720,0.123600,0.526991,0.526605,2025-02-07 17:03:02.216
0.634000,-0.208690,0.467770,0.123400,0.526866,0.526631,2025-02-07 17:03:02.217
0.643000,-0.208120,0.467440,0.123290,0.526322,0.526585,2025-02-07 17:03:02.217
0.653000,-0.208490,0.467410,0.122690,0.526301,0.526571,2025-02-07 17:03:02.244
0.662000,-0.209280,0.467400,0.122720,0.526613,0.526582,2025-02-07 17:03:02.245
0.671000,-0.208720,0.466730,0.122890,0.525835,0.526526,2025-02-07 17:03:02.245
0.681000,-0.208550,0.466830,0.122650,0.525801,0.526428,2025-02-07 17:03:02.272
0.690000,-0.208860,0.467430,0.122800,0.526491,0.526413,2025-02-07 17:03:02.273
0.700000,-0.209110,0.467240,0.123150,0.526504,0.526413,2025-02-07 17:03:02.273
0.709000,-0.209450,0.467640,0.123430,0.527059,0.526478,2025-02-07 17:03:02.300
0.718000,-0.209490,0.467090,0.123040,0.526496,0.526429,2025-02-07 17:03:02.301
0.728000,-0.209600,0.467200,0.123420,0.526726,0.526415,2025-02-07 17:03:02.301
