Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.006000,0.110760,-0.284010,0.663920,0.730561,0.730561,2025-02-07 17:05:22.454
0.016000,0.167320,-0.325780,0.712480,0.801097,0.765829,2025-02-07 17:05:22.454
0.025000,0.211880,-0.340240,0.696210,0.803346,0.778335,2025-02-07 17:05:22.454
0.034000,0.250180,-0.348620,0.672290,0.797559,0.783141,2025-02-07 17:05:22.481
0.044000,0.286240,-0.352050,0.646420,0.789767,0.784466,2025-02-07 17:05:22.482
0.053000,0.320020,-0.351560,0.620690,0.781833,0.784027,2025-02-07 17:05:22.482
0.062000,0.354330,-0.345820,0.595140,0.774166,0.782618,2025-02-07 17:05:22.510
0.072000,0.387830,-0.335220,0.568860,0.765759,0.780511,2025-02-07 17:05:22.511
0.081000,0.420070,-0.318450,0.542250,0.756244,0.777814,2025-02-07 17:05:22.511
0.091000,0.450880,-0.297800,0.514170,0.745888,0.774622,2025-02-07 17:05:22.538
0.100000,0.481120,-0.271660,0.485280,0.735372,0.775103,2025-02-07 17:05:22.539
0.109000,0.509260,-0.240960,0.453950,0.723518,0.767345,2025-02-07 17:05:22.539
0.119000,0.543760,-0.207890,0.421190,0.718536,0.758864,2025-02-07 17:05:22.566
0.128000,0.580180,-0.177000,0.392500,0.722492,0.751357,2025-02-07 17:05:22.566
0.137000,0.615080,-0.146660,0.370950,0.733101,0.745691,2025-02-07 17:05:22.567
0.147000,0.646810,-0.119390,0.355750,0.747780,0.742285,2025-02-07 17:05:22.594
0.156000,0.674770,-0.093260,0.344300,0.763253,0.741194,2025-02-07 17:05:22.595
0.166000,0.698150,-0.069250,0.335160,0.777522,0.742370,2025-02-07 17:05:22.595
0.175000,0.716430,-0.046040,0.327850,0.789226,0.745669,2025-02-07 17:05:22.622
0.184000,0.731410,-0.022240,0.321230,0.799152,0.750995,2025-02-07 17:05:22.622
0.194000,0.743900,0.002380,0.315940,0.808215,0.758279,2025-02-07 17:05:22.623
0.203000,0.752480,0.027320,0.311200,0.814750,0.767403,2025-02-07 17:05:22.650
0.212000,0.760020,0.046280,0.307950,0.821344,0.777683,2025-02-07 17:05:22.650
0.221000,0.765840,0.061630,0.304850,0.826585,0.788093,2025-02-07 17:05:22.651
0.231000,0.769540,0.074620,0.301080,0.829704,0.797753,2025-02-07 17:05:22.678
0.240000,0.772930,0.086280,0.297340,0.832632,0.806238,2025-02-07 17:05:22.678
0.249000,0.775530,0.096640,0.293260,0.834738,0.813387,2025-02-07 17:05:22.678
0.259000,0.777950,0.105950,0.289490,0.836801,0.819315,2025-02-07 17:05:22.706
0.268000,0.779270,0.113320,0.284740,0.837365,0.824129,2025-02-07 17:05:22.706
0.277000,0.779720,0.119830,0.279460,0.836911,0.827905,2025-02-07 17:05:22.706
0.286000,0.780200,0.124400,0.274810,0.836485,0.830732,2025-02-07 17:05:22.734
0.296000,0.780790,0.126200,0.269050,0.835432,0.832800,2025-02-07 17:05:22.734
0.305000,0.781280,0.125210,0.262920,0.833788,0.834044,2025-02-07 17:05:22.734
0.314000,0.781970,0.121600,0.256920,0.832029,0.834589,2025-02-07 17:05:22.762
0.324000,0.783330,0.113460,0.250850,0.830304,0.834649,2025-02-07 17:05:22.762
0.333000,0.785090,0.103290,0.245860,0.829146,0.834300,2025-02-07 17:05:22.762
0.342000,0.787090,0.089820,0.241830,0.828287,0.833655,2025-02-07 17:05:22.790
0.351000,0.788370,0.073510,0.239070,0.827095,0.832684,2025-02-07 17:05:22.790
0.361000,0.788610,0.053240,0.238040,0.825472,0.831495,2025-02-07 17:05:22.790
0.370000,0.787550,0.030900,0.237850,0.823263,0.830130,2025-02-07 17:05:22.818
0.379000,0.784970,0.006270,0.239180,0.820624,0.828544,2025-02-07 17:05:22.818
0.389000,0.780290,-0.026530,0.240740,0.817014,0.826702,2025-02-07 17:05:22.818
0.398000,0.770560,-0.070020,0.243250,0.811071,0.824430,2025-02-07 17:05:22.846
0.407000,0.757190,-0.115990,0.246280,0.804639,0.821691,2025-02-07 17:05:22.846
0.417000,0.738070,-0.163880,0.250290,0.796398,0.818301,2025-02-07 17:05:22.846
0.426000,0.713640,-0.210290,0.256160,0.786843,0.814071,2025-02-07 17:05:22.874
0.435000,0.685110,-0.254390,0.264400,0.777173,0.808959,2025-02-07 17:05:22.874
0.445000,0.651220,-0.299410,0.274990,0.767694,0.803019,2025-02-07 17:05:22.874
0.454000,0.612380,-0.343700,0.288670,0.759256,0.796397,2025-02-07 17:05:22.902
0.464000,0.566790,-0.382310,0.303930,0.748188,0.788890,2025-02-07 17:05:22.902
0.473000,0.513510,-0.415930,0.321190,0.734747,0.780302,2025-02-07 17:05:22.902
0.482000,0.455700,-0.442520,0.339240,0.720118,0.770613,2025-02-07 17:05:22.930
0.492000,0.406700,-0.463070,0.359560,0.713528,0.760858,2025-02-07 17:05:22.930
0.501000,0.365800,-0.477160,0.380610,0.711586,0.751553,2025-02-07 17:05:22.930
0.510000,0.329920,-0.486010,0.403670,0.712743,0.743188,2025-02-07 17:05:22.958
0.520000,0.298520,-0.489900,0.429120,0.716422,0.736145,2025-02-07 17:05:22.958
0.529000,0.268330,-0.488870,0.460620,0.723302,0.730758,2025-02-07 17:05:22.958
0.539000,0.238910,-0.482830,0.498270,0.733809,0.727370,2025-02-07 17:05:22.986
0.548000,0.211180,-0.472360,0.536370,0.745261,0.725970,2025-02-07 17:05:22.986
0.557000,0.184260,-0.460120,0.573080,0.757683,0.726920,2025-02-07 17:05:22.986
0.567000,0.159040,-0.445860,0.604180,0.767540,0.730199,2025-02-07 17:05:23.015
0.576000,0.133130,-0.432230,0.630770,0.776155,0.735803,2025-02-07 17:05:23.015
0.586000,0.107580,-0.418250,0.651100,0.781305,0.742581,2025-02-07 17:05:23.015
0.595000,0.074420,-0.405560,0.669040,0.785896,0.750012,2025-02-07 17:05:23.043
0.604000,0.036400,-0.394020,0.682190,0.788644,0.757602,2025-02-07 17:05:23.043
0.614000,-0.001790,-0.382660,0.694610,0.793042,0.765264,2025-02-07 17:05:23.043
0.623000,-0.033300,-0.372840,0.705620,0.798760,0.772810,2025-02-07 17:05:23.071
0.633000,-0.058440,-0.364750,0.716310,0.805951,0.780024,2025-02-07 17:05:23.071
0.642000,-0.075510,-0.358430,0.725710,0.812914,0.786789,2025-02-07 17:05:23.071
0.652000,-0.084760,-0.353450,0.734810,0.819791,0.793000,2025-02-07 17:05:23.100
0.661000,-0.088380,-0.350190,0.743460,0.826545,0.798900,2025-02-07 17:05:23.100
0.671000,-0.086370,-0.347360,0.751650,0.832524,0.804537,2025-02-07 17:05:23.100
0.680000,-0.082500,-0.346740,0.758530,0.838095,0.810216,2025-02-07 17:05:23.128
0.690000,-0.072950,-0.347680,0.763500,0.842102,0.815837,2025-02-07 17:05:23.128
0.699000,-0.060470,-0.349780,0.767450,0.845566,0.821529,2025-02-07 17:05:23.128
0.709000,-0.044450,-0.353840,0.770120,0.848683,0.827093,2025-02-07 17:05:23.157
0.718000,-0.025180,-0.359170,0.770640,0.850602,0.832277,2025-02-07 17:05:23.157
0.728000,-0.002660,-0.365060,0.770440,0.852557,0.836938,2025-02-07 17:05:23.157
0.737000,0.021040,-0.371580,0.768730,0.854084,0.841055,2025-02-07 17:05:23.185
0.746000,0.048310,-0.379500,0.765280,0.855574,0.844633,2025-02-07 17:05:23.185
0.756000,0.076900,-0.387310,0.759800,0.856282,0.847607,2025-02-07 17:05:23.185
0.765000,0.112850,-0.395530,0.751850,0.857005,0.850055,2025-02-07 17:05:23.212
0.775000,0.146940,-0.404130,0.742730,0.858231,0.852069,2025-02-07 17:05:23.213
0.784000,0.175140,-0.413510,0.730200,0.857238,0.853582,2025-02-07 17:05:23.213
0.793000,0.201780,-0.422560,0.715400,0.855026,0.854528,2025-02-07 17:05:23.241
0.803000,0.225570,-0.430150,0.696250,0.848926,0.854552,2025-02-07 17:05:23.241
0.812000,0.249610,-0.437180,0.674560,0.841702,0.853663,2025-02-07 17:05:23.241
0.821000,0.273360,-0.442640,0.650520,0.832966,0.851703,2025-02-07 17:05:23.269
0.831000,0.297720,-0.444440,0.625220,0.822839,0.848579,2025-02-07 17:05:23.270
0.840000,0.323000,-0.444290,0.599810,0.813323,0.844354,2025-02-07 17:05:23.270
0.850000,0.349350,-0.440680,0.574880,0.804196,0.839145,2025-02-07 17:05:23.297
0.859000,0.376880,-0.432630,0.552020,0.796199,0.833065,2025-02-07 17:05:23.298
0.868000,0.403450,-0.420120,0.529790,0.787369,0.825978,2025-02-07 17:05:23.298
0.878000,0.429390,-0.401740,0.510400,0.778639,0.818119,2025-02-07 17:05:23.325
0.887000,0.455690,-0.379590,0.492980,0.771214,0.809737,2025-02-07 17:05:23.325
0.897000,0.480200,-0.352720,0.479790,0.764985,0.801343,2025-02-07 17:05:23.326
0.906000,0.502910,-0.322120,0.470230,0.760129,0.793186,2025-02-07 17:05:23.353
0.915000,0.530730,-0.287720,0.463380,0.761038,0.785993,2025-02-07 17:05:23.353
0.925000,0.561420,-0.251510,0.458820,0.767441,0.780453,2025-02-07 17:05:23.354
0.934000,0.593050,-0.212620,0.456940,0.778274,0.776948,2025-02-07 17:05:23.381
0.943000,0.622080,-0.179150,0.458180,0.793100,0.775839,2025-02-07 17:05:23.381
0.953000,0.647940,-0.146460,0.462760,0.809582,0.777177,2025-02-07 17:05:23.382
0.962000,0.668630,-0.115440,0.471050,0.826003,0.781040,2025-02-07 17:05:23.411
0.972000,0.684380,-0.085680,0.484160,0.842691,0.787446,2025-02-07 17:05:23.411
0.981000,0.694690,-0.055120,0.499870,0.857614,0.796086,2025-02-07 17:05:23.411
0.990000,0.701540,-0.023400,0.517090,0.871830,0.806770,2025-02-07 17:05:23.438
1.000000,0.704920,0.008360,0.534210,0.884513,0.819208,2025-02-07 17:05:23.438
1.009000,0.705900,0.036360,0.548540,0.894714,0.832576,2025-02-07 17:05:23.438
1.018000,0.705680,0.057380,0.558220,0.901602,0.845992,2025-02-07 17:05:23.466
1.028000,0.705870,0.073940,0.561380,0.904913,0.858656,2025-02-07 17:05:23.466
1.037000,0.706860,0.087800,0.558160,0.904932,0.869839,2025-02-07 17:05:23.466
1.046000,0.708680,0.101060,0.549340,0.902339,0.879115,2025-02-07 17:05:23.494
1.056000,0.710590,0.114170,0.536000,0.897368,0.886252,2025-02-07 17:05:23.494
1.065000,0.712940,0.127430,0.519190,0.891112,0.891094,2025-02-07 17:05:23.494
1.074000,0.714680,0.139790,0.499920,0.883306,0.893663,2025-02-07 17:05:23.522
1.083000,0.716790,0.151390,0.478970,0.875282,0.894008,2025-02-07 17:05:23.522
1.093000,0.718190,0.161330,0.457100,0.866467,0.892203,2025-02-07 17:05:23.522
1.102000,0.720050,0.167750,0.433880,0.857242,0.888456,2025-02-07 17:05:23.549
1.111000,0.721970,0.171150,0.409840,0.847645,0.883060,2025-02-07 17:05:23.549
1.121000,0.723990,0.172000,0.386820,0.838675,0.876437,2025-02-07 17:05:23.549
1.130000,0.727100,0.171330,0.367520,0.832526,0.869196,2025-02-07 17:05:23.577
1.139000,0.729350,0.170260,0.350360,0.826857,0.861648,2025-02-07 17:05:23.577
1.148000,0.731840,0.168730,0.335680,0.822642,0.854175,2025-02-07 17:05:23.577
1.158000,0.734140,0.167910,0.322770,0.819351,0.846999,2025-02-07 17:05:23.605
1.167000,0.736200,0.166660,0.311630,0.816627,0.840331,2025-02-07 17:05:23.605
1.176000,0.738240,0.164940,0.303530,0.815067,0.834310,2025-02-07 17:05:23.605
1.185000,0.740160,0.162600,0.296830,0.813870,0.829050,2025-02-07 17:05:23.633
1.195000,0.742300,0.159520,0.292790,0.813746,0.824700,2025-02-07 17:05:23.633
1.204000,0.744020,0.155700,0.290710,0.813831,0.821319,2025-02-07 17:05:23.633
1.213000,0.745380,0.150640,0.290580,0.814076,0.818859,2025-02-07 17:05:23.661
1.223000,0.748210,0.144120,0.291920,0.815969,0.817204,2025-02-07 17:05:23.661
1.232000,0.751290,0.136450,0.295330,0.818703,0.816388,2025-02-07 17:05:23.661
1.241000,0.754080,0.127990,0.299540,0.821427,0.816267,2025-02-07 17:05:23.689
1.250000,0.757270,0.118700,0.303670,0.824477,0.816779,2025-02-07 17:05:23.689
1.260000,0.760280,0.109580,0.307780,0.827503,0.817867,2025-02-07 17:05:23.689
1.269000,0.763060,0.100480,0.310800,0.830032,0.819364,2025-02-07 17:05:23.717
1.278000,0.766460,0.091290,0.313380,0.833068,0.821283,2025-02-07 17:05:23.717
1.288000,0.769390,0.082100,0.316080,0.835828,0.823492,2025-02-07 17:05:23.717
1.297000,0.772590,0.073410,0.318700,0.838960,0.826004,2025-02-07 17:05:23.744
1.306000,0.776250,0.066020,0.321830,0.842910,0.828888,2025-02-07 17:05:23.744
1.315000,0.780610,0.058510,0.325840,0.847907,0.832082,2025-02-07 17:05:23.744
1.325000,0.784600,0.051910,0.330700,0.853027,0.835514,2025-02-07 17:05:23.772
1.334000,0.789310,0.045900,0.336740,0.859367,0.839308,2025-02-07 17:05:23.772
1.343000,0.793770,0.040280,0.343070,0.865673,0.843428,2025-02-07 17:05:23.772
1.352000,0.797660,0.034370,0.351190,0.872225,0.847900,2025-02-07 17:05:23.800
1.362000,0.801390,0.028010,0.359580,0.878811,0.852778,2025-02-07 17:05:23.800
1.371000,0.805540,0.022700,0.369090,0.886362,0.858107,2025-02-07 17:05:23.800
1.380000,0.809180,0.017150,0.380050,0.894150,0.863939,2025-02-07 17:05:23.828
1.390000,0.812780,0.012250,0.391580,0.902273,0.870270,2025-02-07 17:05:23.828
1.399000,0.817560,0.008080,0.404690,0.912274,0.877207,2025-02-07 17:05:23.828
1.408000,0.823420,0.004320,0.421650,0.925110,0.884927,2025-02-07 17:05:23.856
1.417000,0.831020,-0.000230,0.441690,0.941108,0.893735,2025-02-07 17:05:23.856
1.427000,0.840070,-0.004620,0.467260,0.961286,0.903927,2025-02-07 17:05:23.856
1.436000,0.850680,-0.008650,0.497000,0.985262,0.915886,2025-02-07 17:05:23.884
1.445000,0.864450,-0.011810,0.529090,1.013583,0.930022,2025-02-07 17:05:23.884
1.455000,0.881890,-0.014220,0.560990,1.045295,0.946670,2025-02-07 17:05:23.884
1.464000,0.900660,-0.015630,0.590440,1.077057,0.965740,2025-02-07 17:05:23.912
1.474000,0.923760,-0.015350,0.616610,1.110755,0.987400,2025-02-07 17:05:23.912
1.483000,0.949130,-0.014490,0.638160,1.143812,1.011554,2025-02-07 17:05:23.912
1.492000,0.977320,-0.012140,0.655630,1.176925,1.038019,2025-02-07 17:05:23.940
1.502000,1.009400,-0.009570,0.669570,1.211323,1.066641,2025-02-07 17:05:23.940
1.511000,1.043800,-0.006890,0.678800,1.245125,1.097042,2025-02-07 17:05:23.940
1.520000,1.079000,-0.004280,0.683000,1.277008,1.128614,2025-02-07 17:05:23.968
1.529000,1.115300,-0.000760,0.683420,1.308036,1.160892,2025-02-07 17:05:23.968
1.539000,1.151600,0.001770,0.680940,1.337858,1.193319,2025-02-07 17:05:23.968
1.548000,1.188900,0.003690,0.678160,1.368721,1.225662,2025-02-07 17:05:23.996
1.557000,1.226300,0.005390,0.677630,1.401079,1.258064,2025-02-07 17:05:23.996
1.566000,1.262300,0.004800,0.680860,1.434223,1.290411,2025-02-07 17:05:23.996
1.576000,1.293900,0.002660,0.688930,1.465882,1.322618,2025-02-07 17:05:24.023
1.585000,1.320700,-0.003580,0.701350,1.495377,1.354463,2025-02-07 17:05:24.023
1.594000,1.340800,-0.014480,0.717150,1.520611,1.385392,2025-02-07 17:05:24.023
1.603000,1.354000,-0.030200,0.734800,1.540831,1.414963,2025-02-07 17:05:24.051
1.613000,1.359300,-0.049820,0.751960,1.554227,1.442685,2025-02-07 17:05:24.051
1.622000,1.357200,-0.071930,0.762930,1.558598,1.467741,2025-02-07 17:05:24.051
1.631000,1.349200,-0.093610,0.765880,1.554244,1.489379,2025-02-07 17:05:24.079
1.641000,1.336300,-0.114670,0.759860,1.541504,1.506658,2025-02-07 17:05:24.079
1.650000,1.318500,-0.131570,0.745300,1.520271,1.518577,2025-02-07 17:05:24.079
1.659000,1.299000,-0.146300,0.724650,1.494631,1.524618,2025-02-07 17:05:24.107
1.668000,1.277400,-0.158970,0.698610,1.464609,1.524490,2025-02-07 17:05:24.107
1.678000,1.254500,-0.169100,0.668990,1.431752,1.518128,2025-02-07 17:05:24.107
1.687000,1.231500,-0.176630,0.640110,1.399118,1.505978,2025-02-07 17:05:24.135
1.696000,1.209400,-0.181480,0.610300,1.366766,1.488572,2025-02-07 17:05:24.135
1.706000,1.188700,-0.183050,0.580560,1.335502,1.466699,2025-02-07 17:05:24.135
1.715000,1.168800,-0.181290,0.549140,1.304038,1.441243,2025-02-07 17:05:24.163
1.724000,1.151300,-0.176430,0.516970,1.274314,1.413250,2025-02-07 17:05:24.163
1.734000,1.136000,-0.169090,0.483030,1.245956,1.383696,2025-02-07 17:05:24.163
1.743000,1.121500,-0.159580,0.445050,1.217086,1.353377,2025-02-07 17:05:24.191
1.752000,1.108800,-0.148770,0.405490,1.189955,1.322909,2025-02-07 17:05:24.191
1.761000,1.097900,-0.138410,0.370560,1.166986,1.293147,2025-02-07 17:05:24.191
1.771000,1.088900,-0.129850,0.344850,1.149559,1.264928,2025-02-07 17:05:24.219
1.780000,1.079900,-0.122060,0.326970,1.134897,1.238506,2025-02-07 17:05:24.219
1.789000,1.072500,-0.114590,0.312970,1.123093,1.214138,2025-02-07 17:05:24.219
1.799000,1.063700,-0.107990,0.299960,1.110448,1.191633,2025-02-07 17:05:24.247
1.808000,1.054500,-0.099980,0.286290,1.097237,1.170953,2025-02-07 17:05:24.247
1.817000,1.044300,-0.089150,0.271040,1.082577,1.151779,2025-02-07 17:05:24.247
1.827000,1.032800,-0.074940,0.254360,1.066298,1.133814,2025-02-07 17:05:24.274
1.836000,1.021200,-0.058390,0.239230,1.050471,1.117152,2025-02-07 17:05:24.275
1.845000,1.010100,-0.041530,0.228120,1.036371,1.101794,2025-02-07 17:05:24.275
1.854000,1.001000,-0.028140,0.221790,1.025663,1.087661,2025-02-07 17:05:24.302
1.864000,0.992950,-0.020110,0.220740,1.017389,1.074444,2025-02-07 17:05:24.303
1.873000,0.986120,-0.015970,0.221980,1.010922,1.062047,2025-02-07 17:05:24.303
1.882000,0.979620,-0.015890,0.224130,1.005058,1.050243,2025-02-07 17:05:24.330
1.892000,0.973040,-0.019970,0.229220,0.999874,1.039186,2025-02-07 17:05:24.331
1.901000,0.966890,-0.026900,0.234440,0.995270,1.028989,2025-02-07 17:05:24.331
1.911000,0.961740,-0.035030,0.239930,0.991835,1.019915,2025-02-07 17:05:24.359
1.920000,0.956920,-0.043790,0.247040,0.989263,1.012212,2025-02-07 17:05:24.359
1.929000,0.952340,-0.053610,0.253560,0.986974,1.005862,2025-02-07 17:05:24.359
1.939000,0.948650,-0.060020,0.257080,0.984698,1.000695,2025-02-07 17:05:24.387
1.948000,0.944620,-0.062170,0.257760,0.981128,0.996241,2025-02-07 17:05:24.387
1.958000,0.941740,-0.060960,0.255560,0.977702,0.992272,2025-02-07 17:05:24.387
1.967000,0.939290,-0.055410,0.251130,0.973859,0.988566,2025-02-07 17:05:24.414
1.976000,0.935600,-0.045160,0.243620,0.967852,0.984846,2025-02-07 17:05:24.414
1.986000,0.932000,-0.030510,0.233360,0.961255,0.980984,2025-02-07 17:05:24.415
1.995000,0.927010,-0.011820,0.220970,0.953056,0.976762,2025-02-07 17:05:24.442
2.004000,0.919500,0.013200,0.207020,0.942609,0.971840,2025-02-07 17:05:24.443
2.014000,0.910240,0.036180,0.192840,0.931146,0.966028,2025-02-07 17:05:24.443
2.023000,0.899290,0.056360,0.176860,0.918247,0.959155,2025-02-07 17:05:24.470
2.032000,0.886990,0.073510,0.162390,0.904724,0.951158,2025-02-07 17:05:24.470
2.041000,0.872290,0.089930,0.147050,0.889157,0.941961,2025-02-07 17:05:24.471
2.051000,0.856810,0.104280,0.132640,0.873265,0.931517,2025-02-07 17:05:24.498
2.060000,0.839850,0.117330,0.117820,0.856152,0.919746,2025-02-07 17:05:24.498
2.069000,0.822640,0.129750,0.099170,0.838693,0.906830,2025-02-07 17:05:24.499
2.079000,0.802600,0.142280,0.078700,0.818904,0.892595,2025-02-07 17:05:24.526
2.088000,0.780650,0.155320,0.053850,0.797771,0.877067,2025-02-07 17:05:24.526
2.097000,0.756800,0.168910,0.026030,0.775857,0.860392,2025-02-07 17:05:24.527
2.107000,0.729630,0.182050,-0.001320,0.752000,0.842477,2025-02-07 17:05:24.554
2.116000,0.700080,0.194230,-0.025770,0.726981,0.823350,2025-02-07 17:05:24.554
2.125000,0.668020,0.204390,-0.047740,0.700218,0.802900,2025-02-07 17:05:24.554
2.135000,0.634210,0.212180,-0.065420,0.671954,0.781180,2025-02-07 17:05:24.582
2.144000,0.597420,0.218560,-0.078390,0.640956,0.757949,2025-02-07 17:05:24.582
2.153000,0.557640,0.222040,-0.086920,0.606481,0.732982,2025-02-07 17:05:24.582
2.163000,0.512810,0.222800,-0.090300,0.566364,0.705749,2025-02-07 17:05:24.610
2.172000,0.463500,0.221040,-0.087860,0.520971,0.675955,2025-02-07 17:05:24.610
2.182000,0.420740,0.215100,-0.078360,0.478989,0.644077,2025-02-07 17:05:24.610
2.191000,0.384230,0.204060,-0.060240,0.439206,0.610412,2025-02-07 17:05:24.638
