Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 2:9:41.130,-0.001,0.0,1.0088,25.18,0.0,0.0
2024-12-14 2:9:41.154,-0.001,0.0005,1.0073,25.0,0.0,0.0
2024-12-14 2:9:41.200,-0.001,0.0034,1.0073,25.06,0.0,0.0
2024-12-14 2:9:41.210,-0.0005,0.0005,1.0054,25.12,0.0,0.0
2024-12-14 2:9:41.220,-0.001,0.0015,1.0044,25.18,0.0,0.0
2024-12-14 2:9:41.230,0.0,0.0024,1.0005,25.18,0.0,0.0
2024-12-14 2:9:41.255,-0.0015,0.001,1.0034,25.06,0.0,0.0
2024-12-14 2:9:41.265,-0.001,0.0015,1.0034,25.06,0.0,0.0
2024-12-14 2:9:41.275,0.0,0.0,1.0098,25.06,0.0,0.0
2024-12-14 2:9:41.285,0.0005,-0.0005,1.0073,25.06,0.0,0.0
2024-12-14 2:9:41.295,0.0015,-0.0005,1.0063,25.18,0.0,0.0
2024-12-14 2:9:41.305,0.0024,-0.0005,0.9995,25.06,0.0,0.0
2024-12-14 2:9:41.315,0.002,-0.0005,1.0,25.06,0.0,0.0
2024-12-14 2:9:41.299,0.0015,-0.0024,1.0005,25.12,0.0,0.0
2024-12-14 2:9:41.309,0.0015,-0.0015,1.0063,25.12,0.0,0.0
2024-12-14 2:9:41.319,0.0005,0.0,1.0049,25.06,0.0,0.0
2024-12-14 2:9:41.329,0.001,-0.0015,1.0098,25.25,0.0,0.0
2024-12-14 2:9:41.355,-0.0005,-0.001,1.0059,25.12,0.0,0.0
2024-12-14 2:9:41.365,-0.0024,0.0,1.0068,25.31,0.0,0.0
2024-12-14 2:9:41.375,-0.002,0.002,1.0059,25.25,0.0,0.0
2024-12-14 2:9:41.385,-0.0024,0.002,1.0059,25.06,0.0,0.0
2024-12-14 2:9:41.395,-0.0015,0.0029,1.0068,25.37,0.0,0.0
2024-12-14 2:9:41.405,-0.0015,0.001,1.0054,25.12,0.0,0.0
2024-12-14 2:9:41.415,0.0,-0.0015,1.0039,25.06,0.0,0.0
2024-12-14 2:9:41.399,-0.002,0.0005,1.0068,25.06,0.0,0.0
2024-12-14 2:9:41.409,-0.0005,0.0015,1.0063,25.06,0.0,0.0
2024-12-14 2:9:41.419,0.0,0.0005,1.0044,25.0,0.0,0.0
2024-12-14 2:9:41.429,0.001,-0.001,1.0024,25.06,0.0,0.0
2024-12-14 2:9:41.455,0.0024,0.0,1.0078,25.12,0.0,0.0
2024-12-14 2:9:41.465,0.0039,-0.0015,1.0049,25.06,0.0,0.0
2024-12-14 2:9:41.475,0.0,-0.0029,1.0059,25.06,0.0,0.0
2024-12-14 2:9:41.485,0.0,-0.0029,1.0083,25.0,0.0,0.0
2024-12-14 2:9:41.505,0.002,0.0,1.0063,25.12,0.0,0.0
2024-12-14 2:9:41.515,0.0005,0.0,1.001,25.25,0.0,0.0
2024-12-14 2:9:41.525,-0.0005,0.0005,1.0024,25.06,0.0,0.0
2024-12-14 2:9:41.535,-0.0005,0.0054,1.0088,25.25,0.0,0.0
2024-12-14 2:9:41.545,-0.0005,0.002,1.0059,25.12,0.0,0.0
2024-12-14 2:9:41.555,-0.002,0.0015,1.0093,25.25,0.0,0.0
2024-12-14 2:9:41.565,-0.001,0.0015,1.0034,25.25,0.0,0.0
2024-12-14 2:9:41.554,-0.001,0.002,1.0093,25.12,0.0,0.0
2024-12-14 2:9:41.564,-0.0029,0.002,1.0029,25.12,0.0,0.0
2024-12-14 2:9:41.574,-0.0034,-0.0015,1.0049,25.12,0.0,0.0
2024-12-14 2:9:41.584,-0.001,-0.001,1.0049,25.18,0.0,0.0
2024-12-14 2:9:41.605,0.001,-0.002,1.0039,25.25,0.0,0.0
2024-12-14 2:9:41.615,0.001,0.0,1.0039,25.06,0.0,0.0
2024-12-14 2:9:41.625,0.0005,0.0,1.0073,25.06,0.0,0.0
2024-12-14 2:9:41.649,0.0,-0.001,1.0073,25.06,0.0,0.0
2024-12-14 2:9:41.659,0.0,-0.0005,1.0029,25.06,0.0,0.0
2024-12-14 2:9:41.669,0.0005,0.0,1.0039,25.25,0.0,0.0
