Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2076-28-187 8:1:17.924,0.085,-0.082,0.0439,23.29,0.0,0.0
2076-28-187 8:1:17.934,0.105,-0.0815,0.0698,22.98,0.0,0.0
2076-28-187 8:1:17.944,0.0469,-0.1265,0.1343,22.85,0.0,0.0
2076-28-187 8:1:17.954,0.0635,-0.1348,0.1768,22.98,0.0,0.0
2076-28-187 8:1:17.964,0.0913,-0.0713,0.1704,23.17,0.0,0.0
2076-28-187 8:1:17.974,0.0898,-0.0449,0.1562,23.17,0.0,0.0
2076-28-187 8:1:17.984,0.1187,0.0635,-0.5195,22.79,0.0,0.0
2076-28-187 8:1:17.994,0.0254,-0.0659,0.1138,22.98,0.0,0.0
2076-28-187 8:1:18.4,-0.0566,-0.041,0.1274,22.98,0.0,0.0
2076-28-187 8:1:18.14,-0.2119,-0.0205,0.104,22.98,0.0,0.0
2076-28-187 8:1:18.65,-0.0942,0.186,-0.0327,23.23,0.0,0.0
2076-28-187 8:1:18.75,-0.0771,0.2012,-0.0054,23.1,0.0,0.0
2076-28-187 8:1:18.85,-0.0684,0.147,-0.0874,23.23,0.0,0.0
2076-28-187 8:1:18.109,-0.0986,0.208,-0.1357,22.85,0.0,0.0
2076-28-187 8:1:18.119,-0.1143,0.1855,-0.1499,22.85,0.0,0.0
2076-28-187 8:1:18.129,-0.083,0.082,-0.1802,23.1,0.0,0.0
2076-28-187 8:1:18.139,-0.0122,0.0894,-0.2065,23.17,0.0,0.0
2076-28-187 8:1:18.159,-0.0273,0.0303,-0.2148,23.17,0.0,0.0
2076-28-187 8:1:18.169,0.0098,-0.0151,-0.2065,23.1,0.0,0.0
2076-28-187 8:1:18.179,-0.0352,-0.1172,-0.2783,22.98,0.0,0.0
2076-28-187 8:1:18.189,0.0645,-0.0566,-0.3184,23.23,0.0,0.0
2076-28-187 8:1:18.199,0.085,-0.0527,-0.333,22.98,0.0,0.0
2076-28-187 8:1:18.209,0.4087,0.2495,-0.5806,22.98,0.0,0.0
2076-28-187 8:1:18.219,0.1611,-0.0732,-0.0444,23.17,0.0,0.0
2076-28-187 8:1:18.209,-0.0029,-0.1616,-0.2305,23.1,0.0,0.0
2076-28-187 8:1:18.219,0.1338,-0.0479,-0.2632,22.91,0.0,0.0
2076-28-187 8:1:18.229,0.1206,0.1138,-0.1431,22.79,0.0,0.0
2076-28-187 8:1:18.239,0.1929,-0.0146,-0.1035,22.98,0.0,0.0
2076-28-187 8:1:18.260,0.3838,-0.1377,-0.0024,23.1,0.0,0.0
2076-28-187 8:1:18.270,0.229,-0.1523,-0.1396,23.17,0.0,0.0
2076-28-187 8:1:18.280,0.1089,-0.1328,-0.1836,23.1,0.0,0.0
2076-28-187 8:1:18.290,0.1392,-0.1138,-0.2363,23.23,0.0,0.0
2076-28-187 8:1:18.315,0.1147,-0.0801,-0.3193,23.17,0.0,0.0
2076-28-187 8:1:18.325,0.105,-0.0498,-0.3247,22.91,0.0,0.0
2076-28-187 8:1:18.335,0.0762,-0.0469,-0.3828,22.79,0.0,0.0
2076-28-187 8:1:18.345,0.0312,0.0503,-0.3838,23.23,0.0,0.0
2076-28-187 8:1:18.355,-0.0308,0.062,-0.2896,23.23,0.0,0.0
2076-28-187 8:1:18.365,-0.0317,0.1484,-0.1953,22.98,0.0,0.0
2076-28-187 8:1:18.375,0.0273,0.0933,-0.1416,22.98,0.0,0.0
2076-28-187 8:1:18.359,0.1152,0.0225,-0.147,23.29,0.0,0.0
2076-28-187 8:1:18.369,0.1167,0.0156,-0.1396,23.29,0.0,0.0
2076-28-187 8:1:18.379,0.0435,0.0527,-0.146,23.29,0.0,0.0
2076-28-187 8:1:18.389,0.0635,0.0405,-0.2173,23.17,0.0,0.0
2076-28-187 8:1:18.414,0.0645,-0.0259,-0.2441,22.98,0.0,0.0
2076-28-187 8:1:18.424,-0.0381,0.022,-0.2485,23.17,0.0,0.0
2076-28-187 8:1:18.434,-0.0225,0.0522,-0.2603,22.98,0.0,0.0
2076-28-187 8:1:18.459,0.0,0.0825,-0.1714,23.23,0.0,0.0
2076-28-187 8:1:18.469,-0.0596,0.1572,-0.146,22.98,0.0,0.0
2076-28-187 8:1:18.479,-0.106,0.1348,-0.311,23.23,0.0,0.0
2076-28-187 8:1:18.489,-0.1323,0.0977,-0.3257,23.1,0.0,0.0
2076-28-187 8:1:18.499,-0.0347,0.145,-0.3398,23.1,0.0,0.0
2076-28-187 8:1:18.509,0.0083,0.1543,-0.3525,23.17,0.0,0.0
2076-28-187 8:1:18.519,0.0576,0.1089,-0.3286,22.79,0.0,0.0
2076-28-187 8:1:18.529,0.0952,0.0869,-0.3657,23.1,0.0,0.0
2076-28-187 8:1:18.515,0.0908,0.127,-0.46,23.17,0.0,0.0
2076-28-187 8:1:18.525,0.1006,0.1636,-0.5874,22.85,0.0,0.0
2076-28-187 8:1:18.535,0.0176,0.1128,-0.6006,22.79,0.0,0.0
2076-28-187 8:1:18.560,-0.0503,0.0098,-0.5352,22.98,0.0,0.0
2076-28-187 8:1:18.570,-0.1372,0.0049,-0.498,23.17,0.0,0.0
2076-28-187 8:1:18.580,-0.269,0.0767,-0.3975,23.29,0.0,0.0
2076-28-187 8:1:18.590,-0.3345,0.2363,-0.3682,23.1,0.0,0.0
2076-28-187 8:1:18.609,-0.396,0.231,-0.4351,23.17,0.0,0.0
2076-28-187 8:1:18.619,-0.3984,0.334,-0.4761,23.1,0.0,0.0
2076-28-187 8:1:18.629,-0.4536,0.3701,-0.5073,23.1,0.0,0.0
2076-28-187 8:1:18.639,-0.4531,0.271,-0.4272,22.91,0.0,0.0
2076-28-187 8:1:18.649,-0.1851,0.2432,-0.5508,23.17,0.0,0.0
2076-28-187 8:1:18.659,0.0938,0.1982,-0.3369,23.1,0.0,0.0
2076-28-187 8:1:18.669,0.0444,0.1001,-0.1719,22.98,0.0,0.0
2076-28-187 8:1:18.659,0.082,0.1821,0.0166,23.17,0.0,0.0
2076-28-187 8:1:18.669,0.0356,0.2803,-0.0332,23.1,0.0,0.0
2076-28-187 8:1:18.679,-0.1099,0.2637,-0.0386,23.1,0.0,0.0
2076-28-187 8:1:18.689,-0.168,0.2583,0.0332,23.17,0.0,0.0
2076-28-187 8:1:18.709,-0.0513,0.147,0.1313,22.91,0.0,0.0
2076-28-187 8:1:18.719,0.1626,-0.0488,0.208,22.98,0.0,0.0
2076-28-187 8:1:18.729,0.1675,-0.0068,0.2856,23.1,0.0,0.0
2076-28-187 8:1:18.739,0.4121,-0.0527,0.5449,22.98,0.0,0.0
2076-28-187 8:1:18.749,0.4937,0.0601,0.6133,23.1,0.0,0.0
2076-28-187 8:1:18.759,0.5488,0.2124,0.8506,23.1,0.0,0.0
2076-28-187 8:1:18.769,0.52,0.0576,0.8848,23.17,0.0,0.0
2076-28-187 8:1:18.760,0.5894,0.1523,0.6177,22.85,0.0,0.0
2076-28-187 8:1:18.770,0.5942,0.106,0.4097,22.98,0.0,0.0
2076-28-187 8:1:18.780,0.6855,-0.0747,0.3735,22.98,0.0,0.0
2076-28-187 8:1:18.790,0.9868,-0.0928,0.4199,23.1,0.0,0.0
2076-28-187 8:1:18.810,0.5903,-0.3027,0.5913,22.98,0.0,0.0
2076-28-187 8:1:18.820,0.5264,-0.5503,0.6553,23.1,0.0,0.0
2076-28-187 8:1:18.830,0.2686,-0.2471,0.5522,22.98,0.0,0.0
2076-28-187 8:1:18.840,0.2759,-0.0151,0.6367,22.98,0.0,0.0
2076-28-187 8:1:18.864,0.1924,-0.0728,0.6099,22.98,0.0,0.0
2076-28-187 8:1:18.874,0.1162,-0.1924,0.5713,23.1,0.0,0.0
2076-28-187 8:1:18.884,0.1904,-0.1064,0.5454,23.23,0.0,0.0
2076-28-187 8:1:18.894,0.2036,-0.1328,0.5088,23.23,0.0,0.0
2076-28-187 8:1:18.904,0.1982,-0.3174,0.6626,23.1,0.0,0.0
2076-28-187 8:1:18.914,0.1128,-0.1646,0.6738,23.17,0.0,0.0
2076-28-187 8:1:18.924,0.0649,0.0542,0.8413,22.98,0.0,0.0
2076-28-187 8:1:18.909,0.0713,0.4697,0.856,23.1,0.0,0.0
2076-28-187 8:1:18.919,-0.0151,0.5039,0.7979,23.1,0.0,0.0
2076-28-187 8:1:18.929,-0.0562,0.1929,0.8267,22.98,0.0,0.0
2076-28-187 8:1:18.939,0.0503,0.0137,0.8101,23.1,0.0,0.0
2076-28-187 8:1:18.964,0.0801,-0.1162,0.856,23.23,0.0,0.0
2076-28-187 8:1:18.974,0.0488,-0.0723,0.793,23.1,0.0,0.0
2076-28-187 8:1:18.984,0.0352,-0.0869,0.73,23.29,0.0,0.0
2076-28-187 8:1:18.994,0.106,-0.0913,0.666,22.91,0.0,0.0
2076-28-187 8:1:19.4,0.1567,-0.1299,0.6567,23.1,0.0,0.0
2076-28-187 8:1:19.14,0.0898,-0.1484,0.5493,22.91,0.0,0.0
2076-28-187 8:1:19.24,-0.2246,-0.1738,0.5659,23.23,0.0,0.0
2076-28-187 8:1:19.10,-0.2314,-0.0352,0.5215,23.1,0.0,0.0
2076-28-187 8:1:19.20,-0.2842,0.0244,0.5898,23.17,0.0,0.0
2076-28-187 8:1:19.30,-0.291,0.1084,0.6606,23.17,0.0,0.0
2076-28-187 8:1:19.40,-0.3179,0.0723,0.6689,23.17,0.0,0.0
2076-28-187 8:1:19.65,-0.2915,0.1519,0.7529,22.98,0.0,0.0
2076-28-187 8:1:19.75,-0.1406,-0.0088,0.7705,23.17,0.0,0.0
2076-28-187 8:1:19.85,-0.0962,0.0054,0.6597,23.1,0.0,0.0
2076-28-187 8:1:19.95,-0.1123,0.0439,0.3286,23.1,0.0,0.0
2076-28-187 8:1:19.114,-0.042,-0.123,0.5684,23.1,0.0,0.0
2076-28-187 8:1:19.124,-0.0488,-0.1411,0.4858,22.98,0.0,0.0
2076-28-187 8:1:19.134,-0.0044,-0.105,0.394,23.23,0.0,0.0
2076-28-187 8:1:19.144,0.0732,-0.0908,0.4238,23.17,0.0,0.0
2076-28-187 8:1:19.154,0.1318,-0.0874,0.4365,22.98,0.0,0.0
2076-28-187 8:1:19.164,0.1084,-0.0156,0.4395,23.17,0.0,0.0
2076-28-187 8:1:19.174,0.2163,-0.0522,0.3623,23.1,0.0,0.0
2076-28-187 8:1:19.164,0.25,-0.1455,0.1577,22.91,0.0,0.0
2076-28-187 8:1:19.174,0.2754,-0.2441,0.0142,23.1,0.0,0.0
2076-28-187 8:1:19.184,0.2656,-0.2036,0.0073,22.85,0.0,0.0
2076-28-187 8:1:19.194,0.1978,-0.0986,-0.0479,22.98,0.0,0.0
2076-28-187 8:1:19.214,0.1982,-0.0068,0.0327,23.1,0.0,0.0
2076-28-187 8:1:19.224,0.1245,-0.0815,-0.0132,23.1,0.0,0.0
2076-28-187 8:1:19.234,0.1582,0.0464,-0.061,22.91,0.0,0.0
2076-28-187 8:1:19.260,0.0605,0.1777,-0.1748,22.98,0.0,0.0
2076-28-187 8:1:19.270,0.3047,-0.1318,-0.2368,23.1,0.0,0.0
2076-28-187 8:1:19.280,0.1313,-0.2144,-0.415,23.17,0.0,0.0
2076-28-187 8:1:19.290,-0.0107,-0.0815,-0.5601,22.98,0.0,0.0
