Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2076-28-187 9:25:47.339,0.0,-0.001,-0.084,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.668
2076-28-187 9:25:47.349,0.0,0.0,-0.0825,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:28.701
2076-28-187 9:25:47.359,-0.0005,0.0015,-0.083,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.711
2076-28-187 9:25:47.365,-0.001,-0.0005,-0.0835,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.721
2076-28-187 9:25:47.375,0.0,-0.001,-0.0825,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:41:28.730
2076-28-187 9:25:47.385,-0.001,-0.0005,-0.0796,0.0,0.0,0.0,26.51,0.0,0.0,2025-02-05 03:41:28.740
2076-28-187 9:25:47.409,0.002,0.001,-0.0806,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:28.752
2076-28-187 9:25:47.419,-0.001,0.0,-0.0801,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:28.760
2076-28-187 9:25:47.429,0.0,0.0,-0.0811,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:41:28.770
2076-28-187 9:25:47.439,0.0,0.0015,-0.0811,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:41:28.780
2076-28-187 9:25:47.449,-0.0024,-0.0015,-0.0811,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:28.790
2076-28-187 9:25:47.459,-0.0005,-0.001,-0.0796,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.800
2076-28-187 9:25:47.469,0.0,0.0005,-0.083,0.0,0.0,0.0,26.51,0.0,0.0,2025-02-05 03:41:28.810
2076-28-187 9:25:47.479,-0.0024,0.0005,-0.0796,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:41:28.820
2076-28-187 9:25:47.464,-0.0015,0.0,-0.0815,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:41:28.830
2076-28-187 9:25:47.474,-0.0005,0.0005,-0.0845,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.840
2076-28-187 9:25:47.484,-0.001,0.0,-0.084,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:28.850
2076-28-187 9:25:47.510,-0.0005,0.0039,-0.0806,0.0,0.0,0.0,26.32,0.0,0.0,2025-02-05 03:41:28.861
2076-28-187 9:25:47.520,-0.0005,-0.001,-0.0815,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.869
2076-28-187 9:25:47.530,-0.0015,0.0024,-0.0776,0.0,0.0,0.0,26.32,0.0,0.0,2025-02-05 03:41:28.879
2076-28-187 9:25:47.540,0.0015,-0.001,-0.0806,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.889
2076-28-187 9:25:47.564,-0.001,0.0,-0.083,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.900
2076-28-187 9:25:47.574,-0.001,0.0,-0.0801,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.909
2076-28-187 9:25:47.584,0.0,-0.001,-0.0845,0.0,0.0,0.0,26.32,0.0,0.0,2025-02-05 03:41:28.919
2076-28-187 9:25:47.594,-0.0005,0.001,-0.084,0.0,0.0,0.0,26.32,0.0,0.0,2025-02-05 03:41:28.929
2076-28-187 9:25:47.604,-0.001,-0.0015,-0.0835,0.0,0.0,0.0,26.51,0.0,0.0,2025-02-05 03:41:28.939
2076-28-187 9:25:47.614,0.0,-0.0015,-0.0811,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:28.949
2076-28-187 9:25:47.624,0.0029,0.002,-0.0791,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:28.959
2076-28-187 9:25:47.610,0.0,0.0005,-0.0811,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.971
2076-28-187 9:25:47.620,-0.0005,0.0,-0.0845,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:41:28.979
2076-28-187 9:25:47.630,-0.002,0.0,-0.0825,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.989
2076-28-187 9:25:47.640,0.002,0.002,-0.0854,0.0,0.0,0.0,26.26,0.0,0.0,2025-02-05 03:41:28.999
2076-28-187 9:25:47.659,0.0,-0.0005,-0.0811,0.0,0.0,0.0,26.13,0.0,0.0,2025-02-05 03:41:29.011
2076-28-187 9:25:47.669,-0.0005,-0.001,-0.0845,0.0,0.0,0.0,26.32,0.0,0.0,2025-02-05 03:41:29.019
2076-28-187 9:25:47.679,0.0005,0.0005,-0.082,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:41:29.029
2076-28-187 9:25:47.689,-0.0015,-0.0029,-0.083,0.0,0.0,0.0,26.32,0.0,0.0,2025-02-05 03:41:29.039
2076-28-187 9:25:47.714,0.0,0.0005,-0.083,0.0,0.0,0.0,26.38,0.0,0.0,2025-02-05 03:41:29.049
2076-28-187 9:25:47.724,0.002,0.0005,-0.0811,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:41:29.059
