Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 1:50:50.579,-0.0005,-0.002,1.0034,25.06,0.0,0.0
2024-12-14 1:50:50.589,0.002,-0.0005,1.0044,25.18,0.0,0.0
2024-12-14 1:50:50.599,0.0,-0.0029,1.0073,25.12,0.0,0.0
2024-12-14 1:50:50.609,0.0,-0.0029,1.0059,25.18,0.0,0.0
2024-12-14 1:50:50.619,0.001,-0.0029,1.0049,25.06,0.0,0.0
2024-12-14 1:50:50.605,0.001,0.001,1.0044,25.06,0.0,0.0
2024-12-14 1:50:50.615,0.0015,0.0,1.0044,25.18,0.0,0.0
2024-12-14 1:50:50.625,0.002,-0.0005,1.0044,25.31,0.0,0.0
2024-12-14 1:50:50.649,0.0005,0.001,1.0059,25.06,0.0,0.0
2024-12-14 1:50:50.659,0.0,0.0005,1.0044,25.06,0.0,0.0
2024-12-14 1:50:50.669,-0.001,0.002,1.0073,25.06,0.0,0.0
2024-12-14 1:50:50.679,-0.0024,0.001,1.0049,25.06,0.0,0.0
2024-12-14 1:50:50.700,-0.0024,0.001,1.0088,25.12,0.0,0.0
2024-12-14 1:50:50.710,-0.002,0.0,1.0068,25.18,0.0,0.0
2024-12-14 1:50:50.720,-0.001,0.0005,1.0039,25.12,0.0,0.0
2024-12-14 1:50:50.730,0.0,0.0015,1.0044,25.06,0.0,0.0
2024-12-14 1:50:50.740,0.002,0.0,1.0088,25.0,0.0,0.0
2024-12-14 1:50:50.750,0.0024,0.0,1.0024,25.06,0.0,0.0
2024-12-14 1:50:50.760,0.0015,0.0,1.0063,25.18,0.0,0.0
2024-12-14 1:50:50.750,0.0029,0.001,1.0029,25.12,0.0,0.0
2024-12-14 1:50:50.760,0.0024,0.0,1.0005,25.18,0.0,0.0
2024-12-14 1:50:50.770,0.001,-0.0005,1.0059,25.0,0.0,0.0
2024-12-14 1:50:50.780,-0.002,-0.002,1.001,25.18,0.0,0.0
2024-12-14 1:50:50.799,-0.0005,-0.0024,1.0044,25.25,0.0,0.0
2024-12-14 1:50:50.809,0.0,0.0005,1.0068,25.06,0.0,0.0
2024-12-14 1:50:50.819,-0.0005,-0.0034,1.0073,25.31,0.0,0.0
2024-12-14 1:50:50.829,-0.0005,0.0,1.0044,25.06,0.0,0.0
2024-12-14 1:50:50.839,-0.001,-0.001,1.0049,25.06,0.0,0.0
2024-12-14 1:50:50.849,-0.0049,0.002,1.0059,25.5,0.0,0.0
2024-12-14 1:50:50.859,-0.0024,0.001,1.0049,25.06,0.0,0.0
2024-12-14 1:50:50.850,0.002,0.0,1.0049,25.25,0.0,0.0
2024-12-14 1:50:50.860,0.001,0.002,1.0063,25.0,0.0,0.0
2024-12-14 1:50:50.870,0.0024,0.0024,1.0029,25.25,0.0,0.0
2024-12-14 1:50:50.880,0.001,0.0039,1.0044,25.06,0.0,0.0
2024-12-14 1:50:50.899,0.0015,0.0039,1.0029,25.06,0.0,0.0
2024-12-14 1:50:50.909,0.0015,0.0015,1.0107,25.06,0.0,0.0
2024-12-14 1:50:50.919,0.001,0.0,1.0063,25.06,0.0,0.0
2024-12-14 1:50:50.929,0.001,0.0,1.0059,25.18,0.0,0.0
2024-12-14 1:50:50.955,0.002,0.0015,1.0039,25.0,0.0,0.0
2024-12-14 1:50:50.965,0.0,-0.0029,1.0059,25.25,0.0,0.0
2024-12-14 1:50:50.975,0.0,-0.002,1.0054,25.25,0.0,0.0
2024-12-14 1:50:50.985,-0.0034,-0.001,1.0054,25.18,0.0,0.0
2024-12-14 1:50:50.995,-0.001,-0.0029,1.0059,25.18,0.0,0.0
2024-12-14 1:50:51.5,-0.001,-0.0024,1.0054,25.12,0.0,0.0
2024-12-14 1:50:51.15,0.0005,-0.0039,1.0078,25.06,0.0,0.0
2024-12-14 1:50:51.0,-0.0005,-0.001,1.0073,25.18,0.0,0.0
2024-12-14 1:50:51.10,0.0,-0.0024,1.0078,25.06,0.0,0.0
2024-12-14 1:50:51.20,0.0024,0.001,1.0088,25.12,0.0,0.0
2024-12-14 1:50:51.30,0.001,0.0029,1.0063,25.06,0.0,0.0
2024-12-14 1:50:51.54,0.001,-0.0005,1.0059,25.0,0.0,0.0
2024-12-14 1:50:51.64,-0.001,0.0029,1.0054,24.87,0.0,0.0
2024-12-14 1:50:51.74,-0.0005,0.002,1.0059,25.25,0.0,0.0
2024-12-14 1:50:51.84,0.0,0.0039,1.0083,25.0,0.0,0.0
2024-12-14 1:50:51.94,0.0024,0.0029,1.0059,25.06,0.0,0.0
2024-12-14 1:50:51.104,0.0005,0.0,1.0068,25.25,0.0,0.0
2024-12-14 1:50:51.114,0.0,0.0,1.0068,25.18,0.0,0.0
2024-12-14 1:50:51.100,0.0,-0.001,1.0073,25.12,0.0,0.0
2024-12-14 1:50:51.110,0.0015,-0.001,1.0063,25.06,0.0,0.0
2024-12-14 1:50:51.120,0.0,-0.001,1.0015,25.25,0.0,0.0
2024-12-14 1:50:51.130,-0.002,-0.0049,1.0068,25.25,0.0,0.0
2024-12-14 1:50:51.154,-0.001,-0.001,1.0059,25.12,0.0,0.0
2024-12-14 1:50:51.164,-0.0005,-0.0024,1.0034,25.06,0.0,0.0
2024-12-14 1:50:51.174,0.0015,-0.0029,1.0054,25.12,0.0,0.0
2024-12-14 1:50:51.200,0.0029,-0.0029,1.0083,25.0,0.0,0.0
2024-12-14 1:50:51.210,0.0015,-0.001,1.0054,25.31,0.0,0.0
2024-12-14 1:50:51.220,0.0024,-0.0015,1.002,25.18,0.0,0.0
2024-12-14 1:50:51.230,0.0005,0.0005,1.0039,25.18,0.0,0.0
