Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2076-28-187 8:0:42.919,0.1738,-0.189,0.7715,-7.6294,-1.5869,-24.7803,4.81,0.0,0.0,2025-02-05 06:43:54.196
2076-28-187 8:0:42.929,0.1836,-0.1489,0.7734,-8.9111,-7.8735,-23.0103,4.87,0.0,0.0,2025-02-05 06:43:54.206
2076-28-187 8:0:42.939,0.1548,-0.1626,0.7612,-10.1929,-14.5874,-18.6157,4.87,0.0,0.0,2025-02-05 06:43:54.216
2076-28-187 8:0:42.965,0.144,-0.1489,0.7744,-11.2305,-13.5498,-16.0522,5.0,0.0,0.0,2025-02-05 06:43:54.226
2076-28-187 8:0:42.975,0.1348,-0.1597,0.771,-11.3525,-3.9673,-14.9536,5.0,0.0,0.0,2025-02-05 06:43:54.236
2076-28-187 8:0:42.985,0.1465,-0.1548,0.7617,-11.5967,2.9907,-12.8784,5.0,0.0,0.0,2025-02-05 06:43:54.246
2076-28-187 8:0:42.995,0.165,-0.1489,0.7534,-13.1226,4.0894,-10.437,5.0,0.0,0.0,2025-02-05 06:43:54.256
2076-28-187 8:0:43.5,0.1831,-0.1597,0.7549,-14.7095,-1.0986,-8.9722,5.0,0.0,0.0,2025-02-05 06:43:54.266
2076-28-187 8:0:43.15,0.1934,-0.1587,0.7568,-16.8457,-6.958,-7.8735,5.0,0.0,0.0,2025-02-05 06:43:54.276
2076-28-187 8:0:43.25,0.1943,-0.167,0.7729,-17.8833,-4.6387,-7.7515,4.81,0.0,0.0,2025-02-05 06:43:54.287
2076-28-187 8:0:43.35,0.1919,-0.165,0.7607,-18.4937,-1.3428,-7.8125,4.87,0.0,0.0,2025-02-05 06:43:54.297
2076-28-187 8:0:43.45,0.187,-0.1738,0.7656,-18.6157,-1.5869,-6.6528,5.12,0.0,0.0,2025-02-05 06:43:54.307
2076-28-187 8:0:43.55,0.1875,-0.1743,0.7798,-18.5547,-2.5635,-6.6528,5.06,0.0,0.0,2025-02-05 06:43:54.317
2076-28-187 8:0:43.65,0.2041,-0.1797,0.7974,-18.1885,-2.2583,-7.4463,5.18,0.0,0.0,2025-02-05 06:43:54.327
2076-28-187 8:0:43.9,0.1997,-0.1826,0.8052,-16.3574,4.2725,-7.9346,4.87,0.0,0.0,2025-02-05 06:43:54.339
2076-28-187 8:0:43.19,0.2002,-0.1777,0.7856,-16.6016,2.4414,-9.0942,5.06,0.0,0.0,2025-02-05 06:43:54.347
2076-28-187 8:0:43.29,0.2026,-0.1787,0.7876,-16.1743,-0.6714,-9.8267,5.12,0.0,0.0,2025-02-05 06:43:54.357
2076-28-187 8:0:43.39,0.2515,-0.1968,0.7871,-14.7095,-2.0752,-10.1929,4.87,0.0,0.0,2025-02-05 06:43:54.368
2076-28-187 8:0:43.65,0.2129,-0.188,0.7949,-13.3667,7.6294,-9.2163,5.06,0.0,0.0,2025-02-05 06:43:54.378
2076-28-187 8:0:43.75,0.189,-0.1841,0.7817,-11.9019,7.9346,-9.1553,4.87,0.0,0.0,2025-02-05 06:43:54.388
2076-28-187 8:0:43.85,0.189,-0.188,0.79,-11.9019,3.7231,-9.0942,5.12,0.0,0.0,2025-02-05 06:43:54.398
2076-28-187 8:0:43.95,0.1992,-0.1904,0.7891,-11.7188,7.8735,-8.2397,4.87,0.0,0.0,2025-02-05 06:43:54.408
2076-28-187 8:0:43.105,0.1987,-0.1772,0.7783,-11.5356,7.9956,-8.4229,5.0,0.0,0.0,2025-02-05 06:43:54.418
2076-28-187 8:0:43.115,0.1987,-0.1768,0.7783,-10.6812,9.4604,-7.8735,4.81,0.0,0.0,2025-02-05 06:43:54.428
2076-28-187 8:0:43.125,0.2002,-0.1733,0.7808,-10.1318,13.9771,-7.5684,5.0,0.0,0.0,2025-02-05 06:43:54.438
2076-28-187 8:0:43.114,0.1958,-0.1719,0.7729,-10.2539,14.8315,-7.7515,5.0,0.0,0.0,2025-02-05 06:43:54.449
2076-28-187 8:0:43.124,0.2212,-0.1533,0.7759,-9.7046,12.0239,-8.7891,5.18,0.0,0.0,2025-02-05 06:43:54.459
2076-28-187 8:0:43.134,0.2056,-0.1699,0.7681,-8.9111,11.7798,-12.6953,5.06,0.0,0.0,2025-02-05 06:43:54.469
2076-28-187 8:0:43.144,0.1865,-0.1758,0.7607,-9.3384,9.1553,-12.6953,4.87,0.0,0.0,2025-02-05 06:43:54.479
2076-28-187 8:0:43.164,0.1846,-0.1694,0.7705,-8.3618,13.3057,-10.498,5.06,0.0,0.0,2025-02-05 06:43:54.489
