Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 2:0:56.565,0.0024,0.001,1.0078,25.06,0.0,0.0
2024-12-14 2:0:56.554,0.0015,-0.0024,1.002,25.06,0.0,0.0
2024-12-14 2:0:56.564,0.0005,-0.0029,1.0044,25.12,0.0,0.0
2024-12-14 2:0:56.574,-0.0024,-0.0005,1.0073,25.25,0.0,0.0
2024-12-14 2:0:56.584,-0.0093,0.0015,1.002,25.31,0.0,0.0
2024-12-14 2:0:56.605,-0.0054,0.0049,1.0059,25.06,0.0,0.0
2024-12-14 2:0:56.615,0.0,0.0039,1.0054,25.25,0.0,0.0
2024-12-14 2:0:56.625,-0.0005,0.0029,1.0034,25.12,0.0,0.0
2024-12-14 2:0:56.649,-0.001,0.0034,1.0127,25.18,0.0,0.0
2024-12-14 2:0:56.659,0.0044,0.0,1.0049,25.12,0.0,0.0
2024-12-14 2:0:56.669,-0.002,-0.0044,1.0029,25.12,0.0,0.0
2024-12-14 2:0:56.679,0.001,0.001,1.0049,25.25,0.0,0.0
2024-12-14 2:0:56.689,-0.0024,-0.0015,1.0054,25.25,0.0,0.0
2024-12-14 2:0:56.699,-0.0044,-0.0044,1.0068,25.06,0.0,0.0
2024-12-14 2:0:56.709,-0.0063,-0.0005,1.0078,25.12,0.0,0.0
2024-12-14 2:0:56.719,-0.0015,0.0,1.0054,25.31,0.0,0.0
2024-12-14 2:0:56.705,-0.001,0.0,1.0044,25.18,0.0,0.0
2024-12-14 2:0:56.715,0.0059,0.0,1.0024,25.0,0.0,0.0
2024-12-14 2:0:56.725,0.0063,-0.001,1.0054,25.06,0.0,0.0
2024-12-14 2:0:56.750,0.0059,0.0015,1.0059,25.06,0.0,0.0
2024-12-14 2:0:56.760,0.0034,0.0005,1.0088,25.12,0.0,0.0
2024-12-14 2:0:56.770,-0.0015,0.0034,1.0029,25.12,0.0,0.0
2024-12-14 2:0:56.780,-0.0034,0.0029,1.0034,25.12,0.0,0.0
2024-12-14 2:0:56.790,-0.0059,0.0015,1.0059,25.06,0.0,0.0
2024-12-14 2:0:56.800,-0.0063,0.0039,1.0063,25.31,0.0,0.0
2024-12-14 2:0:56.810,-0.0005,0.0039,1.0088,25.18,0.0,0.0
2024-12-14 2:0:56.820,0.0,0.0,1.0083,25.12,0.0,0.0
2024-12-14 2:0:56.804,-0.0005,-0.001,1.0068,25.06,0.0,0.0
2024-12-14 2:0:56.814,0.0005,-0.002,1.0054,25.12,0.0,0.0
2024-12-14 2:0:56.824,0.0,-0.001,1.0034,25.06,0.0,0.0
2024-12-14 2:0:56.850,-0.001,-0.0039,1.0049,25.12,0.0,0.0
2024-12-14 2:0:56.860,-0.0024,0.0,1.0059,25.0,0.0,0.0
2024-12-14 2:0:56.870,0.001,-0.0029,1.0044,25.12,0.0,0.0
2024-12-14 2:0:56.880,0.001,-0.0034,1.0107,25.18,0.0,0.0
2024-12-14 2:0:56.904,0.002,0.0,1.0103,25.25,0.0,0.0
2024-12-14 2:0:56.914,0.002,0.0024,1.0034,25.06,0.0,0.0
2024-12-14 2:0:56.924,0.0093,0.0049,1.002,25.12,0.0,0.0
2024-12-14 2:0:56.934,0.0059,0.0029,1.0029,25.25,0.0,0.0
2024-12-14 2:0:56.944,0.0054,0.0029,1.0015,25.06,0.0,0.0
2024-12-14 2:0:56.954,0.0034,0.0024,1.0068,25.06,0.0,0.0
2024-12-14 2:0:56.964,-0.0005,0.0029,1.0083,25.06,0.0,0.0
