Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2076-28-187 8:0:46.465,0.0103,-0.001,-0.0835,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.475,0.0098,-0.001,-0.084,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.485,0.0088,-0.0034,-0.0811,0.0,0.0,0.0,25.56,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.495,0.0083,-0.0044,-0.0825,0.0,0.0,0.0,25.75,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.505,0.0083,-0.0034,-0.0825,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.515,0.0083,-0.0029,-0.082,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.525,0.0063,-0.0034,-0.082,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.514,0.0078,-0.0005,-0.0796,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.524,0.0083,-0.002,-0.0864,0.0,0.0,0.0,25.56,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.534,0.0068,0.0,-0.0845,0.0,0.0,0.0,25.56,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.544,0.0059,-0.002,-0.0811,0.0,0.0,0.0,25.5,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.565,0.0078,-0.0039,-0.0825,0.0,0.0,0.0,25.56,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.575,0.0088,-0.0024,-0.0845,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.585,0.0088,-0.002,-0.0815,0.0,0.0,0.0,25.75,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.609,0.0088,-0.0015,-0.082,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.619,0.0073,0.0,-0.083,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.629,0.0068,-0.0024,-0.0835,0.0,0.0,0.0,25.5,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.639,0.0107,-0.001,-0.0806,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.649,0.0083,-0.0015,-0.0835,0.0,0.0,0.0,25.75,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.659,0.0068,-0.0034,-0.0854,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.669,0.0083,0.0005,-0.0825,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.679,0.0078,-0.0005,-0.0845,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.664,0.0083,-0.001,-0.0825,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.674,0.0068,-0.001,-0.0815,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.684,0.0098,-0.0029,-0.0825,0.0,0.0,0.0,25.56,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.710,0.0088,-0.0015,-0.0835,0.0,0.0,0.0,25.88,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.720,0.0073,-0.0024,-0.0825,0.0,0.0,0.0,25.69,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.730,0.0073,-0.0039,-0.0854,0.0,0.0,0.0,25.56,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.740,0.0073,-0.0029,-0.0811,0.0,0.0,0.0,25.37,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.764,0.0073,-0.0015,-0.082,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.774,0.0068,-0.002,-0.0825,0.0,0.0,0.0,25.75,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.784,0.0068,-0.002,-0.0835,0.0,0.0,0.0,25.63,0.0,0.0,2025-01-26 14:27:18
2076-28-187 8:0:46.794,0.0073,-0.0024,-0.084,0.0,0.0,0.0,25.37,0.0,0.0,2025-01-26 14:27:18
