Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2044-28-222 7:59:59.874,-0.0005,-0.0005,-0.0674,0.0,0.0,0.0,24.05,0.0,0.0,2025-02-07 17:02:59.492
2044-28-222 7:59:59.884,0.0015,-0.0015,-0.0723,0.0,0.0,0.0,24.3,0.0,0.0,2025-02-07 17:02:59.502
2044-28-222 7:59:59.894,0.001,-0.001,-0.0723,0.0,0.0,0.0,24.17,0.0,0.0,2025-02-07 17:02:59.512
2044-28-222 7:59:59.904,0.0005,0.0,-0.0742,0.0,0.0,0.0,24.3,0.0,0.0,2025-02-07 17:02:59.522
2044-28-222 7:59:59.914,0.002,-0.0015,-0.0732,0.0,0.0,0.0,24.17,0.0,0.0,2025-02-07 17:02:59.532
2044-28-222 7:59:59.924,-0.001,-0.0015,-0.0693,0.0,0.0,0.0,24.11,0.0,0.0,2025-02-07 17:02:59.542
2044-28-222 7:59:59.910,0.0015,-0.0029,-0.0728,0.0,0.0,0.0,24.24,0.0,0.0,2025-02-07 17:02:59.554
2044-28-222 7:59:59.920,0.0034,-0.001,-0.0688,0.0,0.0,0.0,24.3,0.0,0.0,2025-02-07 17:02:59.562
2044-28-222 7:59:59.930,0.001,0.0005,-0.0747,0.0,0.0,0.0,24.11,0.0,0.0,2025-02-07 17:02:59.572
2044-28-222 7:59:59.940,0.001,-0.001,-0.0693,0.0,0.0,0.0,24.05,0.0,0.0,2025-02-07 17:02:59.582
2044-28-222 7:59:59.964,0.0039,-0.001,-0.0679,0.0,0.0,0.0,24.11,0.0,0.0,2025-02-07 17:02:59.592
2044-28-222 7:59:59.974,0.0005,-0.0024,-0.0688,0.0,0.0,0.0,24.24,0.0,0.0,2025-02-07 17:02:59.602
2044-28-222 7:59:59.984,0.0,-0.001,-0.0747,0.0,0.0,0.0,24.24,0.0,0.0,2025-02-07 17:02:59.612
2044-28-222 7:59:59.994,0.0,-0.0029,-0.0742,0.0,0.0,0.0,24.3,0.0,0.0,2025-02-07 17:02:59.622
2044-28-222 8:0:0.4,-0.001,-0.001,-0.0679,0.0,0.0,0.0,24.05,0.0,0.0,2025-02-07 17:02:59.632
2044-28-222 8:0:0.14,0.002,-0.0015,-0.0649,0.0,0.0,0.0,23.92,0.0,0.0,2025-02-07 17:02:59.641
2044-28-222 8:0:0.24,0.0034,-0.0015,-0.0708,0.0,0.0,0.0,24.17,0.0,0.0,2025-02-07 17:02:59.651
2076-28-187 8:0:0.10,0.0,0.0,-0.0723,0.0,0.0,0.0,24.05,0.0,0.0,2025-02-07 17:02:59.663
