Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 2:55:59.799,0.002,-0.0254,0.9414,25.25,0.0,0.0
2024-12-14 2:55:59.809,-0.0117,-0.0054,0.9956,25.12,0.0,0.0
2024-12-14 2:55:59.855,-0.0142,0.0078,1.0137,25.12,0.0,0.0
2024-12-14 2:55:59.865,-0.0098,0.0015,0.9829,25.18,0.0,0.0
2024-12-14 2:55:59.875,-0.0107,-0.0005,1.0361,25.12,0.0,0.0
2024-12-14 2:55:59.885,-0.0059,0.0083,0.9878,25.18,0.0,0.0
2024-12-14 2:55:59.895,0.0,-0.0249,0.9951,25.06,0.0,0.0
2024-12-14 2:55:59.905,0.0015,-0.0112,1.0396,25.06,0.0,0.0
2024-12-14 2:55:59.915,0.0,-0.0005,1.0078,25.18,0.0,0.0
2024-12-14 2:55:59.899,-0.0063,-0.0146,1.0,25.06,0.0,0.0
2024-12-14 2:55:59.909,-0.021,0.0039,0.9858,25.25,0.0,0.0
2024-12-14 2:55:59.919,-0.0107,0.001,1.0112,25.06,0.0,0.0
2024-12-14 2:55:59.929,0.0107,0.0117,0.9937,25.12,0.0,0.0
2024-12-14 2:55:59.955,-0.0005,-0.0093,1.0259,25.18,0.0,0.0
2024-12-14 2:55:59.965,0.019,0.0015,0.9995,25.12,0.0,0.0
2024-12-14 2:55:59.975,0.0078,-0.0029,1.0127,25.25,0.0,0.0
2024-12-14 2:55:60.0,-0.0068,0.002,0.9976,25.06,0.0,0.0
2024-12-14 2:55:60.10,-0.0063,-0.001,0.9956,25.06,0.0,0.0
2024-12-14 2:55:60.20,-0.0015,0.0063,1.0239,25.12,0.0,0.0
2024-12-14 2:55:60.30,-0.0073,0.0122,1.0166,25.0,0.0,0.0
2024-12-14 2:55:60.40,-0.0352,-0.0024,1.0073,25.06,0.0,0.0
2024-12-14 2:55:60.50,0.0088,-0.0034,1.0059,25.0,0.0,0.0
2024-12-14 2:55:60.60,-0.021,0.0054,1.0669,24.74,0.0,0.0
2024-12-14 2:55:60.70,-0.0073,0.0039,0.9756,25.18,0.0,0.0
2024-12-14 2:55:60.54,-0.0229,-0.0093,0.998,25.12,0.0,0.0
2024-12-14 2:55:60.64,-0.0015,0.0059,0.9917,25.12,0.0,0.0
2024-12-14 2:55:60.74,-0.0117,0.0063,1.0356,25.25,0.0,0.0
2024-12-14 2:55:60.84,-0.0537,-0.0137,0.9434,25.12,0.0,0.0
2024-12-14 2:55:60.94,0.0566,-0.0337,1.0225,25.06,0.0,0.0
2024-12-14 2:55:60.104,-0.061,0.0039,0.9673,25.12,0.0,0.0
2024-12-14 2:55:60.114,0.0708,-0.0122,1.0078,25.25,0.0,0.0
