Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 1:56:43.710,0.001,0.0005,1.0044,25.0,0.0,0.0
2024-12-14 1:56:43.755,0.001,-0.0024,1.0063,25.06,0.0,0.0
2024-12-14 1:56:43.765,0.001,0.0,1.0044,25.18,0.0,0.0
2024-12-14 1:56:43.775,0.001,-0.001,1.0044,25.0,0.0,0.0
2024-12-14 1:56:43.799,-0.0015,0.002,1.0039,25.06,0.0,0.0
2024-12-14 1:56:43.809,0.0,0.0005,1.0039,25.06,0.0,0.0
2024-12-14 1:56:43.819,-0.0015,0.0005,1.0039,24.87,0.0,0.0
2024-12-14 1:56:43.829,-0.0024,0.001,1.0044,25.06,0.0,0.0
2024-12-14 1:56:43.839,0.0,-0.001,1.0093,25.0,0.0,0.0
2024-12-14 1:56:43.849,0.002,0.0029,1.0073,25.06,0.0,0.0
2024-12-14 1:56:43.859,0.0,-0.0005,1.0029,25.06,0.0,0.0
2024-12-14 1:56:43.869,0.001,0.0015,1.0078,25.06,0.0,0.0
2024-12-14 1:56:43.855,0.002,0.002,1.0068,25.25,0.0,0.0
2024-12-14 1:56:43.865,-0.002,0.0,1.0044,25.0,0.0,0.0
2024-12-14 1:56:43.875,0.0,0.0,1.0005,25.06,0.0,0.0
2024-12-14 1:56:43.899,0.0,0.0,1.0093,25.0,0.0,0.0
2024-12-14 1:56:43.909,0.001,-0.001,1.0059,25.06,0.0,0.0
2024-12-14 1:56:43.919,0.0,0.0,1.0107,25.12,0.0,0.0
2024-12-14 1:56:43.929,0.0,-0.0005,1.0049,25.06,0.0,0.0
2024-12-14 1:56:43.939,0.0005,0.0,1.0063,25.06,0.0,0.0
2024-12-14 1:56:43.949,0.0,-0.0005,1.0029,25.0,0.0,0.0
2024-12-14 1:56:43.959,0.0,0.001,1.0093,25.12,0.0,0.0
2024-12-14 1:56:43.969,0.0,0.0,1.0024,25.06,0.0,0.0
2024-12-14 1:56:43.955,-0.001,0.0015,1.0044,25.06,0.0,0.0
2024-12-14 1:56:43.965,-0.0005,-0.0005,1.0044,25.18,0.0,0.0
2024-12-14 1:56:43.975,0.0,-0.0024,1.0063,25.12,0.0,0.0
2024-12-14 1:56:44.0,0.0,-0.001,1.0039,25.06,0.0,0.0
2024-12-14 1:56:44.10,-0.001,-0.0005,1.0068,25.06,0.0,0.0
2024-12-14 1:56:44.20,0.0,0.002,1.0054,25.18,0.0,0.0
2024-12-14 1:56:44.30,-0.001,0.0,1.0063,25.18,0.0,0.0
2024-12-14 1:56:44.49,0.0,0.0,1.0059,25.06,0.0,0.0
2024-12-14 1:56:44.59,0.001,0.0,1.0073,25.25,0.0,0.0
2024-12-14 1:56:44.69,0.0005,0.001,1.0044,25.06,0.0,0.0
2024-12-14 1:56:44.79,-0.0005,0.0005,1.0049,25.12,0.0,0.0
2024-12-14 1:56:44.89,0.0005,0.0,1.0049,25.06,0.0,0.0
2024-12-14 1:56:44.99,0.002,0.001,1.0059,25.12,0.0,0.0
2024-12-14 1:56:44.109,0.0,0.002,1.0049,25.25,0.0,0.0
2024-12-14 1:56:44.119,-0.0005,0.002,1.0073,24.74,0.0,0.0
2024-12-14 1:56:44.129,0.002,-0.001,1.0063,25.06,0.0,0.0
2024-12-14 1:56:44.139,0.0015,-0.0005,1.0083,25.31,0.0,0.0
2024-12-14 1:56:44.149,0.001,-0.0034,1.0039,25.12,0.0,0.0
2024-12-14 1:56:44.159,0.0005,0.0,1.0068,25.12,0.0,0.0
2024-12-14 1:56:44.169,0.001,-0.001,1.0063,25.18,0.0,0.0
2024-12-14 1:56:44.179,0.0,0.0015,1.0068,25.25,0.0,0.0
2024-12-14 1:56:44.189,0.0,-0.002,1.0039,25.18,0.0,0.0
2024-12-14 1:56:44.199,0.0,0.002,1.0083,25.25,0.0,0.0
2024-12-14 1:56:44.149,0.0005,-0.002,1.0049,25.12,0.0,0.0
2024-12-14 1:56:44.159,0.0,0.0,1.0078,25.06,0.0,0.0
2024-12-14 1:56:44.205,0.001,0.0,1.0073,25.06,0.0,0.0
2024-12-14 1:56:44.215,0.0,-0.001,1.0083,25.0,0.0,0.0
2024-12-14 1:56:44.225,0.0,-0.001,1.0015,25.06,0.0,0.0
2024-12-14 1:56:44.235,-0.0005,-0.0005,1.0049,25.12,0.0,0.0
2024-12-14 1:56:44.250,-0.001,0.001,1.0063,25.06,0.0,0.0
2024-12-14 1:56:44.260,0.0,0.0,1.0044,25.06,0.0,0.0
2024-12-14 1:56:44.270,0.0,-0.001,1.0029,25.06,0.0,0.0
