Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2025-1-26 19:11:30.95,0.0044,-0.0039,-0.1138,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.119,0.0059,-0.0034,-0.1069,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.129,0.0078,-0.0063,-0.1138,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.139,0.0093,-0.0044,-0.1123,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.149,0.0054,-0.0039,-0.1104,0.0,0.0,0.0,29.66,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.174,0.0068,-0.0039,-0.1099,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.184,0.0093,-0.0068,-0.1104,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.194,0.0063,-0.0024,-0.1113,0.0,0.0,0.0,29.66,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.204,0.0073,-0.0029,-0.1108,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.225,0.0068,-0.0015,-0.1128,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.235,0.0078,-0.0029,-0.1147,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.245,0.0088,-0.0029,-0.1123,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.255,0.0093,-0.0029,-0.1108,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.265,0.0068,-0.002,-0.1108,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.275,0.0063,-0.0005,-0.1123,0.0,0.0,0.0,29.6,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.285,0.0083,-0.0005,-0.1108,0.0,0.0,0.0,29.66,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.275,0.0078,-0.0029,-0.1162,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.285,0.0059,-0.0029,-0.1123,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.295,0.0083,-0.0029,-0.1123,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.305,0.0083,-0.0039,-0.1118,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.325,0.0073,-0.0029,-0.1079,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.335,0.0068,-0.002,-0.1123,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.345,0.0093,-0.0034,-0.1128,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.369,0.0088,-0.0024,-0.1128,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.379,0.0068,-0.0024,-0.1113,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.389,0.0068,-0.002,-0.1128,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.399,0.0088,-0.0029,-0.1099,0.0,0.0,0.0,29.98,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.409,0.0098,-0.0005,-0.1118,0.0,0.0,0.0,29.98,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.419,0.0088,-0.0039,-0.1113,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.429,0.0073,-0.0024,-0.1108,0.0,0.0,0.0,29.6,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.439,0.0068,-0.0015,-0.1138,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.424,0.0098,-0.0034,-0.1123,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.434,0.0059,-0.0029,-0.1099,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.444,0.0073,-0.0034,-0.1133,0.0,0.0,0.0,29.73,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.470,0.0073,-0.0005,-0.1104,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.480,0.0078,-0.0049,-0.1094,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.490,0.0073,-0.0015,-0.1099,0.0,0.0,0.0,29.66,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.500,0.0088,-0.002,-0.1123,0.0,0.0,0.0,29.79,0.0,0.0,2025-01-26 19:11:30
2025-1-26 19:11:30.525,0.0088,-0.0015,-0.1128,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:11:30
