Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2025-2-5 5:50:43.10,-0.2573,0.0757,-0.561,-8.1177,-221.4355,49.3164,28.47,106.60255767,35.20445217,2025-02-05 05:50:43.083
2025-2-5 5:50:43.20,-0.2212,0.377,-0.624,-29.9683,-158.5083,14.8315,28.28,0.0,0.0,2025-02-05 05:50:43.115
2025-2-5 5:50:43.30,-0.2046,0.3276,-0.6812,-48.0347,-132.8735,7.019,28.15,0.0,0.0,2025-02-05 05:50:43.125
2025-2-5 5:50:43.40,-0.1479,0.3711,-0.7202,-51.1475,-110.4126,11.2915,28.34,0.0,0.0,2025-02-05 05:50:43.135
2025-2-5 5:50:43.50,-0.0801,0.4214,-0.7222,-48.9502,-83.0688,0.2441,28.47,0.0,0.0,2025-02-05 05:50:43.145
2025-2-5 5:50:43.60,-0.0103,0.4204,-0.7134,-45.2881,-42.9077,-25.0854,28.34,0.0,0.0,2025-02-05 05:50:43.155
2025-2-5 5:50:43.70,0.0435,0.3687,-0.7085,-40.2222,10.437,-47.7295,28.21,0.0,0.0,2025-02-05 05:50:43.165
2025-2-5 5:50:43.80,0.0747,0.3174,-0.7368,-37.1704,64.6362,-59.021,28.21,0.0,0.0,2025-02-05 05:50:43.175
2025-2-5 5:50:43.90,0.1025,0.2817,-0.7881,-40.9546,102.2339,-59.6924,28.28,0.0,0.0,2025-02-05 05:50:43.185
2025-2-5 5:50:43.54,0.1318,0.2393,-0.8198,-50.0488,118.7744,-51.4526,28.34,106.60255767,35.20445217,2025-02-05 05:50:43.195
2025-2-5 5:50:43.64,0.1641,0.2349,-0.8403,-58.8379,116.7603,-42.0532,28.47,106.60255767,35.20445217,2025-02-05 05:50:43.204
2025-2-5 5:50:43.74,0.2012,0.2153,-0.8311,-61.8896,104.8584,-34.4238,28.34,106.60255767,35.20445217,2025-02-05 05:50:43.215
2025-2-5 5:50:43.84,0.2314,0.1997,-0.7935,-55.542,91.0034,-32.7759,28.21,106.60255767,35.20445217,2025-02-05 05:50:43.224
2025-2-5 5:50:43.94,0.2632,0.2192,-0.7661,-49.4385,79.4067,-32.3486,28.34,106.60255767,35.20445217,2025-02-05 05:50:43.235
2025-2-5 5:50:43.149,0.2729,0.2065,-0.7363,-48.5229,61.0352,-38.9404,28.59,106.60255767,35.20445217,2025-02-05 05:50:43.247
2025-2-5 5:50:43.159,0.2896,0.1699,-0.6978,-42.9688,52.9785,-31.1279,28.02,106.60255767,35.20445217,2025-02-05 05:50:43.255
2025-2-5 5:50:43.169,0.2798,0.1665,-0.6553,-36.9263,44.1284,-22.0947,28.34,106.60255767,35.20445217,2025-02-05 05:50:43.264
2025-2-5 5:50:43.179,0.2671,0.1318,-0.6113,-27.771,32.5317,-16.7236,28.21,106.60255767,35.20445217,2025-02-05 05:50:43.274
2025-2-5 5:50:43.189,0.2568,0.0762,-0.5493,-18.5547,22.3999,-12.0239,28.21,106.60255767,35.20445217,2025-02-05 05:50:43.284
2025-2-5 5:50:43.199,0.2339,0.0488,-0.5029,-12.4512,18.6768,-2.5024,28.21,106.60255767,35.20445217,2025-02-05 05:50:43.294
2025-2-5 5:50:43.209,0.2031,0.0474,-0.4702,-7.1411,14.0991,7.3853,28.15,106.60255767,35.20445217,2025-02-05 05:50:43.304
2025-2-5 5:50:43.219,0.166,0.0488,-0.4512,3.8452,-1.5259,10.437,28.47,106.60255767,35.20445217,2025-02-05 05:50:43.314
2025-2-5 5:50:43.229,0.1284,0.0591,-0.4434,19.5312,-25.6348,18.3716,28.21,106.60255767,35.20445217,2025-02-05 05:50:43.324
2000-0-0 0:0:0.5,-0.0093,-0.0142,-2.3091,242.3096,-69.519,306.2744,28.47,0.0,0.0,2025-02-05 05:50:43.605
2000-0-0 0:0:0.10,0.0186,-0.0679,-2.5181,212.5244,-137.0239,329.3457,28.53,0.0,0.0,2025-02-05 05:50:43.611
2000-0-0 0:0:0.20,0.0488,-0.0659,-2.8848,155.3955,-291.0767,368.7744,28.15,0.0,0.0,2025-02-05 05:50:43.621
2000-0-0 0:0:0.30,0.0928,-0.0195,-3.1226,103.6377,-439.5752,383.606,28.47,0.0,0.0,2025-02-05 05:50:43.631
2000-0-0 0:0:0.40,0.1719,-0.0728,-3.145,79.9561,499.6948,386.4746,28.34,0.0,0.0,2025-02-05 05:50:43.641
2000-0-0 0:0:0.50,0.2515,-0.1104,-3.0928,71.7163,499.6948,393.5547,28.28,0.0,0.0,2025-02-05 05:50:43.651
2000-0-0 0:0:0.60,0.3506,-0.1587,-2.9194,73.3032,-481.9336,390.7471,28.47,0.0,0.0,2025-02-05 05:50:43.661
2000-0-0 0:0:0.70,0.4824,-0.0005,-2.5078,75.8667,-377.3193,373.7183,28.34,0.0,0.0,2025-02-05 05:50:43.671
