Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2076-28-187 9:21:33.824,0.0005,-0.0015,-0.0835,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.173
2076-28-187 9:21:33.865,0.0,0.0005,-0.0835,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.210
2076-28-187 9:21:33.875,-0.0005,-0.0015,-0.0815,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.219
2076-28-187 9:21:33.885,0.0,0.001,-0.084,0.0,0.0,0.0,26.13,0.0,0.0,2025-02-05 03:37:15.229
2076-28-187 9:21:33.895,0.001,0.0,-0.0825,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.239
2076-28-187 9:21:33.905,-0.0015,0.0,-0.0845,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.249
2076-28-187 9:21:33.915,-0.001,0.0,-0.083,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.259
2076-28-187 9:21:33.909,0.0,0.0024,-0.0811,0.0,0.0,0.0,26.13,0.0,0.0,2025-02-05 03:37:15.270
2076-28-187 9:21:33.919,-0.002,0.0015,-0.0796,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.279
2076-28-187 9:21:33.929,0.0,-0.0005,-0.085,0.0,0.0,0.0,26.13,0.0,0.0,2025-02-05 03:37:15.289
2076-28-187 9:21:33.939,-0.002,0.0,-0.0835,0.0,0.0,0.0,26.13,0.0,0.0,2025-02-05 03:37:15.299
2076-28-187 9:21:33.959,0.0,0.0,-0.0796,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.310
2076-28-187 9:21:33.969,-0.0015,0.0,-0.0845,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.318
2076-28-187 9:21:33.979,-0.002,0.0015,-0.084,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.329
2076-28-187 9:21:33.989,0.001,0.0015,-0.0845,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.338
2076-28-187 9:21:33.999,-0.0015,-0.0005,-0.0835,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:37:15.348
2076-28-187 9:21:34.9,-0.0005,0.0005,-0.0854,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.358
2076-28-187 9:21:34.19,0.0015,0.0005,-0.0835,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.368
2076-28-187 9:21:34.10,0.0,-0.002,-0.0869,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.380
2076-28-187 9:21:34.20,-0.001,0.0,-0.085,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.388
2076-28-187 9:21:34.30,0.0,0.0015,-0.0801,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.398
2076-28-187 9:21:34.40,0.0,0.0005,-0.0835,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.408
2076-28-187 9:21:34.59,-0.0005,0.0,-0.0806,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.420
2076-28-187 9:21:34.69,0.001,-0.002,-0.0806,0.0,0.0,0.0,26.13,0.0,0.0,2025-02-05 03:37:15.428
2076-28-187 9:21:34.79,-0.0015,0.001,-0.082,0.0,0.0,0.0,26.19,0.0,0.0,2025-02-05 03:37:15.438
2076-28-187 9:21:34.89,-0.0015,0.0,-0.082,0.0,0.0,0.0,25.69,0.0,0.0,2025-02-05 03:37:15.448
2076-28-187 9:21:34.115,0.0005,0.0,-0.085,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.458
2076-28-187 9:21:34.125,-0.001,-0.0005,-0.0806,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.468
2076-28-187 9:21:34.135,-0.001,0.002,-0.084,0.0,0.0,0.0,25.88,0.0,0.0,2025-02-05 03:37:15.478
2076-28-187 9:21:34.159,0.0,-0.0015,-0.0801,0.0,0.0,0.0,26.0,0.0,0.0,2025-02-05 03:37:15.490
2076-28-187 9:21:34.169,0.0005,0.0,-0.0811,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.498
2076-28-187 9:21:34.179,-0.0015,0.0005,-0.0835,0.0,0.0,0.0,25.75,0.0,0.0,2025-02-05 03:37:15.508
2076-28-187 9:21:34.189,-0.0015,0.0005,-0.084,0.0,0.0,0.0,26.32,0.0,0.0,2025-02-05 03:37:15.518
2076-28-187 9:21:34.199,-0.0005,0.0005,-0.084,0.0,0.0,0.0,26.07,0.0,0.0,2025-02-05 03:37:15.528
