Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,-0.15589,-0.31418,0.03849,0.352835,0.352835
0.016,-0.17126,-0.34551,0.04234,0.387943,0.370389
0.025,-0.17247,-0.3494,0.04205,0.391911,0.377563
0.035,-0.17281,-0.34962,0.04219,0.392272,0.38124
0.044,-0.17306,-0.34947,0.04187,0.392214,0.383435
0.054,-0.1733,-0.34946,0.042,0.392325,0.384917
0.063,-0.17322,-0.35021,0.04134,0.392888,0.386056
0.072,-0.17353,-0.34995,0.04195,0.392858,0.386906
0.082,-0.17335,-0.34984,0.04151,0.392634,0.387542
0.091,-0.17365,-0.34908,0.04214,0.392157,0.388004
