Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,-0.15686,-0.31033,0.03748,0.349735,0.349735
0.016,-0.17243,-0.34112,0.04106,0.384423,0.367079
0.025,-0.17345,-0.34386,0.04167,0.387377,0.373845
0.035,-0.17323,-0.34497,0.04215,0.388316,0.377463
0.044,-0.17353,-0.34458,0.04254,0.388146,0.3796
0.053,-0.17367,-0.34462,0.04173,0.388157,0.381026
0.063,-0.17401,-0.3448,0.04207,0.388505,0.382094
0.072,-0.17361,-0.34456,0.04244,0.388154,0.382852
0.082,-0.17368,-0.34471,0.04223,0.388295,0.383456
0.091,-0.17379,-0.34505,0.04271,0.388699,0.383981
0.101,-0.1737,-0.34501,0.0431,0.388666,0.387874
0.11,-0.17412,-0.345,0.04297,0.388831,0.388315
0.12,-0.17394,-0.345,0.0427,0.38872,0.388449
0.129,-0.1736,-0.3445,0.04276,0.388131,0.38843
0.139,-0.17357,-0.34428,0.04235,0.387877,0.388403
0.148,-0.1741,-0.34443,0.04256,0.388271,0.388415
0.158,-0.17373,-0.34486,0.04275,0.388508,0.388415
0.167,-0.17412,-0.34482,0.04268,0.388639,0.388464
0.177,-0.17308,-0.34473,0.04276,0.388103,0.388444
0.186,-0.17352,-0.34464,0.04243,0.388183,0.388393
0.196,-0.1727,-0.34455,0.04206,0.387697,0.388296
0.205,-0.17369,-0.3447,0.04202,0.388268,0.38824
0.215,-0.17315,-0.34489,0.04185,0.388177,0.388185
0.224,-0.17395,-0.34432,0.04183,0.388027,0.388175
0.233,-0.1735,-0.34443,0.04217,0.38796,0.388183
0.243,-0.17302,-0.34436,0.0422,0.387686,0.388125
0.252,-0.1733,-0.34418,0.04153,0.387579,0.388032
0.262,-0.17354,-0.34475,0.04197,0.38824,0.387992
0.271,-0.17346,-0.34472,0.04235,0.388219,0.388004
0.281,-0.17248,-0.34439,0.04197,0.387447,0.38793
0.29,-0.17324,-0.34444,0.04185,0.387818,0.387942
0.3,-0.17278,-0.34436,0.04293,0.387659,0.387881
0.309,-0.17273,-0.3451,0.04236,0.388232,0.387887
0.319,-0.17262,-0.34501,0.04256,0.388125,0.387896
0.328,-0.17304,-0.34475,0.04224,0.388046,0.387905
0.338,-0.17308,-0.34481,0.0417,0.388059,0.387942
0.347,-0.1733,-0.34481,0.04224,0.388215,0.388006
0.357,-0.17289,-0.34473,0.04288,0.388031,0.387985
0.366,-0.17393,-0.34456,0.04311,0.388371,0.388
0.376,-0.17285,-0.34471,0.04297,0.388006,0.388056
0.385,-0.17371,-0.34464,0.04304,0.388335,0.388108
0.395,-0.17304,-0.34446,0.04288,0.387859,0.388128
0.404,-0.17394,-0.34495,0.04311,0.388721,0.388177
0.414,-0.1736,-0.34525,0.04364,0.388895,0.388254
0.423,-0.17346,-0.34519,0.04311,0.38872,0.388321
0.432,-0.17377,-0.34519,0.04322,0.38887,0.388402
0.442,-0.17434,-0.34519,0.04298,0.389099,0.388491
0.451,-0.17451,-0.3451,0.04304,0.389102,0.388598
0.461,-0.1742,-0.34501,0.04254,0.388828,0.388643
0.47,-0.17395,-0.34525,0.04316,0.388997,0.388743
0.48,-0.17317,-0.34503,0.04314,0.388452,0.388754
0.489,-0.17331,-0.34509,0.04306,0.388558,0.388824
0.499,-0.17354,-0.34501,0.04313,0.388598,0.388812
0.508,-0.1741,-0.34508,0.04306,0.388903,0.388813
0.518,-0.17383,-0.34484,0.04271,0.38853,0.388794
0.527,-0.17456,-0.3449,0.04259,0.388897,0.388796
0.537,-0.17334,-0.34457,0.04275,0.388076,0.388694
0.546,-0.17387,-0.34462,0.04293,0.388377,0.388622
0.556,-0.17338,-0.34463,0.04295,0.388169,0.388556
0.565,-0.17365,-0.34488,0.0427,0.388484,0.388504
0.575,-0.17347,-0.34482,0.04226,0.388302,0.388489
0.584,-0.17399,-0.34448,0.04288,0.388301,0.388464
0.593,-0.17393,-0.34478,0.04227,0.388473,0.388451
0.603,-0.17382,-0.3449,0.04196,0.388497,0.388411
0.612,-0.17359,-0.34482,0.04201,0.388329,0.388391
0.622,-0.17378,-0.3444,0.04244,0.388088,0.38831
0.631,-0.17402,-0.34436,0.0424,0.388155,0.388318
0.641,-0.17318,-0.34477,0.04222,0.388124,0.388292
0.65,-0.17385,-0.34498,0.04187,0.388572,0.388333
0.66,-0.17381,-0.34458,0.04184,0.388196,0.388304
0.669,-0.1737,-0.34454,0.04183,0.38811,0.388284
0.679,-0.17315,-0.34495,0.04208,0.388255,0.38828
0.688,-0.17352,-0.34491,0.04236,0.388415,0.388274
0.698,-0.17259,-0.34466,0.04256,0.3878,0.388204
0.707,-0.17304,-0.34438,0.04241,0.387736,0.388145
0.717,-0.17308,-0.34502,0.04223,0.388303,0.388167
0.726,-0.17362,-0.34442,0.04204,0.38799,0.38815
0.736,-0.17314,-0.34494,0.04177,0.388208,0.388159
0.745,-0.17352,-0.34458,0.04166,0.388047,0.388106
0.755,-0.1727,-0.34412,0.04215,0.387325,0.388019
0.764,-0.17326,-0.34449,0.04203,0.38789,0.387997
0.773,-0.17321,-0.34436,0.04236,0.387788,0.38795
0.783,-0.17353,-0.34452,0.04247,0.388086,0.387917
0.792,-0.17356,-0.34487,0.04257,0.388421,0.387979
0.802,-0.17367,-0.34474,0.04275,0.388374,0.388043
0.811,-0.17368,-0.34472,0.04276,0.388362,0.388049
0.821,-0.17433,-0.34455,0.04277,0.388503,0.3881
0.83,-0.17418,-0.34437,0.0431,0.388313,0.388111
0.84,-0.1733,-0.3446,0.04255,0.388063,0.388112
0.849,-0.17397,-0.34446,0.04241,0.388223,0.388202
0.859,-0.17339,-0.34478,0.04214,0.388218,0.388235
0.868,-0.17376,-0.34423,0.04195,0.387875,0.388244
0.878,-0.17305,-0.34434,0.04218,0.38768,0.388203
0.887,-0.17405,-0.3446,0.04161,0.388296,0.388191
