Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,-0.15502,-0.31384,0.03866,0.352167,0.352167
0.016,-0.17139,-0.34473,0.04236,0.387308,0.369737
0.025,-0.17313,-0.34815,0.04172,0.391054,0.376843
0.035,-0.17266,-0.34849,0.04232,0.391213,0.380435
0.044,-0.1724,-0.34936,0.04205,0.391845,0.382717
0.054,-0.17291,-0.34911,0.04211,0.391853,0.38424
0.063,-0.17318,-0.34884,0.0422,0.391742,0.385312
0.072,-0.17299,-0.34923,0.04204,0.391988,0.386146
0.082,-0.17297,-0.34877,0.04194,0.391559,0.386748
0.091,-0.17232,-0.3488,0.04151,0.391253,0.387198
0.101,-0.17226,-0.34872,0.04197,0.391204,0.391102
0.11,-0.17268,-0.34838,0.04193,0.391082,0.391479
0.12,-0.17305,-0.34818,0.04176,0.391049,0.391479
0.129,-0.17287,-0.34849,0.04174,0.391244,0.391482
0.139,-0.17339,-0.34886,0.04157,0.391785,0.391476
0.148,-0.17333,-0.34856,0.04214,0.391552,0.391446
0.158,-0.17343,-0.34853,0.04169,0.391522,0.391424
0.167,-0.17355,-0.34886,0.0414,0.391838,0.391409
0.177,-0.17421,-0.34856,0.0417,0.391896,0.391442
0.186,-0.17395,-0.3487,0.0419,0.391926,0.39151
0.196,-0.17468,-0.34855,0.04226,0.392156,0.391605
0.205,-0.17443,-0.34861,0.04204,0.392074,0.391704
0.215,-0.17398,-0.34837,0.04227,0.391685,0.391768
0.224,-0.17328,-0.34851,0.04213,0.391485,0.391792
0.234,-0.17278,-0.34869,0.0422,0.391431,0.391756
0.243,-0.17306,-0.34804,0.04136,0.390886,0.39169
0.252,-0.17298,-0.34815,0.04187,0.391003,0.391638
0.262,-0.17275,-0.34841,0.04209,0.391157,0.39157
0.271,-0.17208,-0.34818,0.04211,0.390659,0.391446
0.281,-0.17266,-0.34774,0.04228,0.390541,0.391308
0.29,-0.17251,-0.34837,0.0423,0.391038,0.391196
0.3,-0.17389,-0.34868,0.04238,0.391933,0.391182
0.309,-0.1736,-0.3488,0.04189,0.391859,0.391199
0.319,-0.17411,-0.34914,0.04175,0.392372,0.391288
0.328,-0.17405,-0.34918,0.04149,0.392354,0.39138
0.338,-0.17448,-0.34859,0.04154,0.392025,0.391494
0.347,-0.17398,-0.34862,0.04172,0.391849,0.391579
0.357,-0.17447,-0.34896,0.04199,0.392398,0.391703
0.366,-0.17398,-0.34899,0.04218,0.392227,0.39186
0.376,-0.17458,-0.34883,0.04204,0.392336,0.392039
0.385,-0.17377,-0.34923,0.04202,0.392331,0.392168
0.395,-0.17391,-0.34918,0.0421,0.392357,0.392211
0.404,-0.17349,-0.34885,0.04203,0.391869,0.392212
0.414,-0.1742,-0.34873,0.04219,0.392095,0.392184
0.423,-0.17417,-0.34863,0.04279,0.392057,0.392154
0.433,-0.17416,-0.34912,0.04243,0.39245,0.392197
0.442,-0.17384,-0.34909,0.04189,0.392223,0.392234
0.451,-0.17381,-0.34925,0.04226,0.392392,0.392234
0.461,-0.1737,-0.3491,0.04238,0.392223,0.392233
0.47,-0.17293,-0.34884,0.04239,0.391652,0.392165
0.48,-0.17339,-0.34923,0.04231,0.392194,0.392151
0.489,-0.17323,-0.34918,0.04255,0.392104,0.392126
0.499,-0.17375,-0.34876,0.04258,0.391964,0.392135
0.508,-0.17401,-0.3488,0.04258,0.392115,0.392137
0.518,-0.17458,-0.34847,0.04241,0.392056,0.392137
0.527,-0.1741,-0.34811,0.04256,0.391539,0.392046
0.537,-0.17437,-0.34807,0.04291,0.391662,0.39199
0.546,-0.17365,-0.3484,0.04312,0.391658,0.391917
0.556,-0.17411,-0.3481,0.0428,0.391561,0.39185
0.565,-0.17351,-0.34782,0.04252,0.391015,0.391787
0.575,-0.1741,-0.34787,0.04299,0.391373,0.391705
0.584,-0.17427,-0.34838,0.04304,0.391907,0.391685
0.594,-0.17417,-0.34818,0.04305,0.391686,0.391657
0.603,-0.17363,-0.34866,0.04279,0.391845,0.39163
0.613,-0.17422,-0.34838,0.04277,0.391855,0.39161
0.622,-0.17395,-0.3486,0.04235,0.391885,0.391645
0.632,-0.17307,-0.34854,0.04214,0.391419,0.39162
0.641,-0.1733,-0.34937,0.04203,0.392248,0.391679
0.65,-0.17278,-0.34861,0.04227,0.391368,0.39166
0.66,-0.17295,-0.34887,0.04246,0.391695,0.391728
0.669,-0.17286,-0.34881,0.04274,0.391632,0.391754
0.679,-0.17296,-0.34872,0.04268,0.39159,0.391722
0.688,-0.17318,-0.34897,0.04225,0.391863,0.39174
0.698,-0.17374,-0.34882,0.04246,0.392,0.391755
0.707,-0.17304,-0.34856,0.0429,0.391506,0.391721
0.717,-0.17341,-0.34845,0.04261,0.391541,0.391686
0.726,-0.17333,-0.3486,0.04292,0.391673,0.391711
0.736,-0.17387,-0.34845,0.04278,0.391763,0.391663
0.745,-0.1737,-0.34844,0.04353,0.391761,0.391702
0.755,-0.17401,-0.34852,0.04318,0.391931,0.391726
0.764,-0.17361,-0.34803,0.0434,0.391342,0.391697
0.774,-0.17379,-0.34823,0.04333,0.391592,0.391697
0.783,-0.17337,-0.34766,0.04316,0.39088,0.391599
0.793,-0.17409,-0.34769,0.04348,0.391262,0.391525
0.802,-0.17394,-0.34811,0.0436,0.391582,0.391533
0.812,-0.17371,-0.34824,0.04361,0.391597,0.391538
0.821,-0.1739,-0.34858,0.04352,0.391973,0.391569
0.831,-0.17381,-0.3482,0.04326,0.391567,0.391549
0.84,-0.17413,-0.34841,0.0429,0.391856,0.391558
0.849,-0.17373,-0.3486,0.0432,0.39188,0.391553
0.859,-0.17412,-0.34879,0.04306,0.392207,0.39164
0.868,-0.17394,-0.34864,0.04271,0.391956,0.391676
0.878,-0.17414,-0.34821,0.04259,0.391649,0.391753
0.887,-0.17416,-0.34825,0.0425,0.391684,0.391795
