Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,0.32125,0.14995,-0.11855,0.373819,0.373819
0.016,0.35402,0.16762,-0.12763,0.411966,0.392893
0.025,0.3559,0.1734,-0.12568,0.415365,0.400383
0.034,0.35479,0.17782,-0.12144,0.415022,0.404043
0.044,0.35296,0.18311,-0.11807,0.41479,0.406192
0.053,0.35062,0.18891,-0.11462,0.414438,0.407567
0.062,0.34694,0.19508,-0.1115,0.413347,0.408392
0.072,0.3442,0.20172,-0.10816,0.413356,0.409013
0.081,0.34015,0.20807,-0.10589,0.412563,0.409407
0.09,0.33522,0.2138,-0.10364,0.410882,0.409555
0.1,0.33009,0.22098,-0.10173,0.410049,0.413178
0.109,0.32452,0.2288,-0.09944,0.40933,0.412914
0.118,0.31803,0.23577,-0.09719,0.407647,0.412143
0.128,0.31048,0.24315,-0.09478,0.40559,0.411199
0.137,0.30412,0.25024,-0.09108,0.404233,0.410144
0.146,0.29832,0.25546,-0.08735,0.402349,0.408935
0.156,0.29526,0.25849,-0.08529,0.401584,0.407758
0.165,0.29269,0.26105,-0.08315,0.40091,0.406514
0.175,0.29038,0.26189,-0.0831,0.399766,0.405234
0.184,0.28627,0.26323,-0.08335,0.397728,0.403919
0.193,0.28144,0.2657,-0.08422,0.396103,0.402524
0.203,0.27546,0.26796,-0.08388,0.39334,0.400925
0.212,0.2685,0.27211,-0.08183,0.390938,0.399254
0.221,0.25919,0.27771,-0.07523,0.387249,0.39742
0.231,0.24845,0.28529,-0.06489,0.383834,0.39538
0.24,0.23412,0.2929,-0.05056,0.378363,0.392982
0.249,0.2163,0.29985,-0.0344,0.371321,0.389955
0.259,0.19555,0.30539,-0.01696,0.36303,0.386167
0.268,0.17321,0.3087,0.00212,0.35398,0.381589
0.277,0.14921,0.30878,0.02027,0.34354,0.37617
0.287,0.12353,0.30678,0.03833,0.332931,0.369853
0.296,0.09552,0.30098,0.05562,0.320635,0.362582
0.305,0.05834,0.29297,0.07368,0.307675,0.354256
0.315,0.01744,0.28314,0.0929,0.298501,0.345381
0.324,-0.02351,0.27212,0.11275,0.29549,0.336547
0.333,-0.05983,0.26116,0.13325,0.299232,0.328633
0.342,-0.09106,0.25254,0.14995,0.307495,0.322251
0.352,-0.11272,0.24641,0.16045,0.314909,0.317439
0.361,-0.12512,0.24279,0.16908,0.321232,0.314164
0.371,-0.13402,0.24101,0.176,0.327144,0.312524
0.38,-0.13954,0.24033,0.18073,0.331502,0.312381
0.389,-0.14257,0.24068,0.18255,0.334032,0.313721
0.399,-0.14341,0.24222,0.18282,0.335649,0.316519
0.408,-0.14167,0.24505,0.18116,0.336064,0.320275
0.417,-0.1374,0.24809,0.17822,0.334947,0.324221
0.427,-0.13244,0.25107,0.17632,0.334163,0.327714
0.436,-0.12526,0.25404,0.17664,0.333808,0.330345
0.445,-0.11862,0.25684,0.17861,0.334573,0.332311
0.455,-0.10858,0.26181,0.18049,0.336022,0.33379
0.464,-0.09647,0.27016,0.18244,0.339967,0.335073
0.473,-0.07996,0.28035,0.18474,0.345136,0.336436
0.483,-0.05783,0.2909,0.18943,0.351924,0.338225
0.492,-0.03373,0.29931,0.19747,0.360165,0.340677
0.502,-0.00977,0.30584,0.20669,0.369262,0.343997
0.511,0.01246,0.3146,0.21317,0.380223,0.348524
0.52,0.03182,0.33018,0.21416,0.394836,0.354592
0.529,0.0469,0.35782,0.20979,0.417429,0.362954
0.539,0.05682,0.39836,0.20128,0.449925,0.374489
0.548,0.05964,0.44905,0.19327,0.4925,0.390137
0.557,0.05723,0.50351,0.19045,0.541358,0.410276
0.567,0.04686,0.56136,0.19648,0.596595,0.435422
0.576,0.03138,0.62506,0.21198,0.660772,0.466307
0.585,0.01129,0.68867,0.23491,0.72772,0.503062
0.595,-0.00947,0.74852,0.26396,0.793755,0.545511
0.604,-0.02674,0.79127,0.29161,0.843718,0.591861
0.613,-0.03688,0.81911,0.31609,0.878757,0.640253
0.623,-0.04199,0.83334,0.33318,0.898458,0.688356
