Time,X,Y,Z
1.495,0.1225,-0.23402,0.22547
1.504,0.12226,-0.23386,0.22506
1.513,0.12266,-0.23359,0.22511
1.523,0.1227,-0.23398,0.22528
1.532,0.12303,-0.23385,0.22547
1.541,0.12253,-0.23359,0.22548
1.551,0.12301,-0.23348,0.22565
1.56,0.12252,-0.23339,0.22542
1.57,0.12226,-0.23354,0.22556
1.579,0.12223,-0.23339,0.22549
1.588,0.12277,-0.23388,0.22498
1.598,0.12261,-0.23393,0.22451
1.607,0.12291,-0.23385,0.22488
1.616,0.12262,-0.23409,0.22492
1.626,0.12238,-0.23395,0.2256
1.635,0.12235,-0.2341,0.22524
1.644,0.12267,-0.23495,0.22563
1.654,0.12281,-0.23504,0.22542
1.663,0.12218,-0.23496,0.22506
1.673,0.12222,-0.2342,0.22494
1.682,0.12147,-0.23413,0.22509
1.691,0.12205,-0.23412,0.22545
1.701,0.122,-0.23403,0.22506
1.71,0.12231,-0.23394,0.22485
1.719,0.12213,-0.23343,0.22492
1.729,0.12254,-0.23355,0.22509
1.738,0.12258,-0.23356,0.22477
1.747,0.12237,-0.23373,0.22474
1.757,0.12235,-0.23374,0.22491
1.766,0.12235,-0.23375,0.22492
1.775,0.12267,-0.23375,0.22492
1.785,0.12227,-0.23391,0.22535
1.794,0.12267,-0.23368,0.22522
1.804,0.12217,-0.23416,0.22521
1.813,0.12255,-0.23437,0.22554
1.822,0.12248,-0.23406,0.22566
1.832,0.12247,-0.23428,0.22576
1.841,0.12204,-0.23405,0.22568
1.85,0.12189,-0.23436,0.22584
1.86,0.12198,-0.23414,0.22586
1.869,0.12253,-0.23412,0.22544
1.878,0.12237,-0.23412,0.22557
1.888,0.12257,-0.23403,0.22507
1.897,0.12269,-0.23386,0.22561
1.907,0.12271,-0.23392,0.22575
1.916,0.12271,-0.23393,0.22551
1.925,0.1226,-0.23393,0.22566
1.935,0.12205,-0.23393,0.22542
1.944,0.12189,-0.2341,0.22514
1.953,0.12176,-0.23412,0.22545
1.963,0.12164,-0.23454,0.22582
1.972,0.12217,-0.23433,0.22543
1.982,0.1219,-0.23414,0.22548
1.991,0.1222,-0.23404,0.22574
2.0,0.1219,-0.23394,0.22585
2.01,0.12284,-0.23385,0.22552
2.019,0.1224,-0.23359,0.22566
2.028,0.12268,-0.23373,0.22517
2.038,0.12206,-0.23366,0.22554
2.047,0.12221,-0.23365,0.22583
2.056,0.12255,-0.23365,0.22577
2.066,0.12291,-0.23349,0.22577
2.075,0.12294,-0.23364,0.22602
2.085,0.12284,-0.23399,0.22579
2.094,0.12261,-0.2341,0.22568
2.103,0.12248,-0.23445,0.22508
2.113,0.1229,-0.23465,0.22528
2.122,0.1224,-0.23451,0.2253
2.131,0.12279,-0.23382,0.22521
2.141,0.12261,-0.2335,0.22495
2.15,0.12216,-0.23372,0.22552
2.16,0.1219,-0.23358,0.22566
2.169,0.12187,-0.23365,0.22525
2.178,0.12219,-0.2339,0.22529
2.188,0.1218,-0.23368,0.22513
2.197,0.12197,-0.23407,0.22511
2.206,0.1221,-0.23428,0.22511
2.216,0.12232,-0.23413,0.22503
2.225,0.12245,-0.23387,0.2251
2.234,0.12236,-0.23401,0.22528
2.244,0.12192,-0.23402,0.22513
2.253,0.12166,-0.23386,0.22511
2.263,0.12153,-0.23376,0.22494
