Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp,Timestamp
0.006000,0.334620,0.426510,0.547130,0.770216,0.770216,2025-02-05 03:46:36.659,2025-02-05 03:46:36.659
0.015000,0.368290,0.468910,0.601340,0.846832,0.808524,2025-02-05 03:46:36.660,2025-02-05 03:46:36.668
0.025000,0.371450,0.473240,0.607090,0.854687,0.823911,2025-02-05 03:46:36.660,2025-02-05 03:46:36.677
0.034000,0.371650,0.473920,0.607750,0.855619,0.831838,2025-02-05 03:46:36.687,2025-02-05 03:46:36.687
0.043000,0.371890,0.473820,0.607400,0.855419,0.836555,2025-02-05 03:46:36.688,2025-02-05 03:46:36.696
0.053000,0.371590,0.473810,0.606940,0.854957,0.839622,2025-02-05 03:46:36.688,2025-02-05 03:46:36.705
0.062000,0.371450,0.473810,0.606980,0.854924,0.841808,2025-02-05 03:46:36.715,2025-02-05 03:46:36.715
0.071000,0.371120,0.473810,0.607410,0.855086,0.843468,2025-02-05 03:46:36.716,2025-02-05 03:46:36.724
0.081000,0.371730,0.473560,0.607450,0.855241,0.844776,2025-02-05 03:46:36.716,2025-02-05 03:46:36.733
0.090000,0.371570,0.473450,0.607200,0.854933,0.845792,2025-02-05 03:46:36.742,2025-02-05 03:46:36.742
0.099000,0.371770,0.474110,0.607090,0.855308,0.854301,2025-02-05 03:46:36.742,2025-02-05 03:46:36.751
0.108000,0.371790,0.474010,0.607590,0.855616,0.855179,2025-02-05 03:46:36.743,2025-02-05 03:46:36.760
0.118000,0.371800,0.473660,0.607550,0.855398,0.855250,2025-02-05 03:46:36.770,2025-02-05 03:46:36.770
0.127000,0.371150,0.473380,0.607210,0.854719,0.855160,2025-02-05 03:46:36.770,2025-02-05 03:46:36.779
0.136000,0.371410,0.473010,0.606920,0.854421,0.855061,2025-02-05 03:46:36.771,2025-02-05 03:46:36.788
0.146000,0.371870,0.473310,0.607230,0.855008,0.855066,2025-02-05 03:46:36.798,2025-02-05 03:46:36.798
0.155000,0.371800,0.473680,0.607180,0.855146,0.855088,2025-02-05 03:46:36.798,2025-02-05 03:46:36.807
0.164000,0.371800,0.473630,0.607510,0.855353,0.855114,2025-02-05 03:46:36.799,2025-02-05 03:46:36.816
0.173000,0.371800,0.473960,0.607540,0.855557,0.855146,2025-02-05 03:46:36.826,2025-02-05 03:46:36.826
0.183000,0.371580,0.473570,0.607710,0.855366,0.855189,2025-02-05 03:46:36.826,2025-02-05 03:46:36.835
0.192000,0.371340,0.473450,0.607560,0.855089,0.855167,2025-02-05 03:46:36.827,2025-02-05 03:46:36.844
0.201000,0.371860,0.473360,0.607720,0.855379,0.855144,2025-02-05 03:46:36.854,2025-02-05 03:46:36.854
0.211000,0.372020,0.473680,0.607400,0.855398,0.855144,2025-02-05 03:46:36.854,2025-02-05 03:46:36.863
0.220000,0.371390,0.473800,0.607620,0.855347,0.855207,2025-02-05 03:46:36.855,2025-02-05 03:46:36.872
0.229000,0.371430,0.473220,0.607390,0.854880,0.855252,2025-02-05 03:46:36.882,2025-02-05 03:46:36.882
0.239000,0.371330,0.473500,0.607450,0.855034,0.855255,2025-02-05 03:46:36.882,2025-02-05 03:46:36.891
0.248000,0.371320,0.473440,0.607540,0.855061,0.855247,2025-02-05 03:46:36.883,2025-02-05 03:46:36.900
0.257000,0.371750,0.473190,0.607800,0.855294,0.855241,2025-02-05 03:46:36.910,2025-02-05 03:46:36.910
0.266000,0.371250,0.473330,0.607910,0.855232,0.855208,2025-02-05 03:46:36.910,2025-02-05 03:46:36.919
0.276000,0.371310,0.472760,0.607750,0.854829,0.855154,2025-02-05 03:46:36.911,2025-02-05 03:46:36.928
0.285000,0.371640,0.472620,0.607820,0.854945,0.855140,2025-02-05 03:46:36.938,2025-02-05 03:46:36.938
0.294000,0.371130,0.473110,0.607570,0.854817,0.855084,2025-02-05 03:46:36.938,2025-02-05 03:46:36.947
0.304000,0.371080,0.472990,0.607630,0.854771,0.855021,2025-02-05 03:46:36.939,2025-02-05 03:46:36.956
0.313000,0.370970,0.473310,0.607810,0.855029,0.854989,2025-02-05 03:46:36.966,2025-02-05 03:46:36.966
0.322000,0.371070,0.473090,0.607910,0.855021,0.855003,2025-02-05 03:46:36.966,2025-02-05 03:46:36.975
0.331000,0.370860,0.473150,0.607750,0.854850,0.854985,2025-02-05 03:46:36.967,2025-02-05 03:46:36.984
0.341000,0.371160,0.472660,0.607570,0.854581,0.854937,2025-02-05 03:46:36.993,2025-02-05 03:46:36.993
0.350000,0.370330,0.473280,0.607460,0.854486,0.854856,2025-02-05 03:46:36.993,2025-02-05 03:46:37.002
0.359000,0.371110,0.473590,0.607200,0.854811,0.854814,2025-02-05 03:46:36.994,2025-02-05 03:46:37.011
0.369000,0.371730,0.473040,0.607340,0.854875,0.854819,2025-02-05 03:46:37.021,2025-02-05 03:46:37.021
0.378000,0.371790,0.473230,0.607020,0.854779,0.854802,2025-02-05 03:46:37.021,2025-02-05 03:46:37.030
0.387000,0.371040,0.473500,0.607330,0.854823,0.854803,2025-02-05 03:46:37.022,2025-02-05 03:46:37.039
0.396000,0.372040,0.473530,0.607610,0.855473,0.854873,2025-02-05 03:46:37.049,2025-02-05 03:46:37.049
0.406000,0.372040,0.474120,0.607380,0.855637,0.854934,2025-02-05 03:46:37.049,2025-02-05 03:46:37.058
0.415000,0.371390,0.473920,0.607280,0.855172,0.854949,2025-02-05 03:46:37.050,2025-02-05 03:46:37.067
0.424000,0.371220,0.473900,0.607690,0.855379,0.855002,2025-02-05 03:46:37.077,2025-02-05 03:46:37.077
0.434000,0.371200,0.474150,0.607640,0.855473,0.855091,2025-02-05 03:46:37.077,2025-02-05 03:46:37.086
0.443000,0.371520,0.473840,0.607470,0.855319,0.855174,2025-02-05 03:46:37.078,2025-02-05 03:46:37.095
0.452000,0.371230,0.473480,0.607290,0.854866,0.855180,2025-02-05 03:46:37.105,2025-02-05 03:46:37.105
0.462000,0.371310,0.473440,0.607520,0.855042,0.855196,2025-02-05 03:46:37.105,2025-02-05 03:46:37.114
