Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp,Timestamp
0.484000,-0.418740,0.454110,0.323460,0.697270,0.696642,2025-02-05 03:39:27.523,2025-02-05 03:39:27.523
0.494000,-0.418380,0.453870,0.323480,0.696907,0.696661,2025-02-05 03:39:27.524,2025-02-05 03:39:27.532
0.503000,-0.418130,0.453930,0.323230,0.696680,0.696654,2025-02-05 03:39:27.524,2025-02-05 03:39:27.541
0.513000,-0.418320,0.454020,0.323460,0.696959,0.696683,2025-02-05 03:39:27.551,2025-02-05 03:39:27.551
0.522000,-0.417910,0.453690,0.322810,0.696197,0.696680,2025-02-05 03:39:27.551,2025-02-05 03:39:27.560
0.531000,-0.417650,0.453830,0.323080,0.696257,0.696682,2025-02-05 03:39:27.552,2025-02-05 03:39:27.569
0.541000,-0.417840,0.454090,0.322850,0.696434,0.696688,2025-02-05 03:39:27.579,2025-02-05 03:39:27.579
0.550000,-0.417430,0.454200,0.322830,0.696250,0.696644,2025-02-05 03:39:27.579,2025-02-05 03:39:27.588
0.559000,-0.417820,0.454380,0.323080,0.696718,0.696632,2025-02-05 03:39:27.580,2025-02-05 03:39:27.597
0.569000,-0.417860,0.454400,0.322770,0.696611,0.696628,2025-02-05 03:39:27.607,2025-02-05 03:39:27.607
0.578000,-0.418290,0.454070,0.322570,0.696561,0.696557,2025-02-05 03:39:27.607,2025-02-05 03:39:27.616
0.588000,-0.417900,0.454540,0.322890,0.696782,0.696545,2025-02-05 03:39:27.608,2025-02-05 03:39:27.625
0.597000,-0.417540,0.454160,0.323340,0.696527,0.696530,2025-02-05 03:39:27.635,2025-02-05 03:39:27.635
0.606000,-0.418150,0.454040,0.323300,0.696796,0.696513,2025-02-05 03:39:27.635,2025-02-05 03:39:27.644
0.616000,-0.418110,0.454030,0.322880,0.696571,0.696551,2025-02-05 03:39:27.636,2025-02-05 03:39:27.653
0.625000,-0.418320,0.454030,0.323000,0.696752,0.696600,2025-02-05 03:39:27.663,2025-02-05 03:39:27.663
0.634000,-0.418230,0.453700,0.323010,0.696488,0.696606,2025-02-05 03:39:27.663,2025-02-05 03:39:27.672
0.644000,-0.418220,0.453500,0.323010,0.696352,0.696616,2025-02-05 03:39:27.664,2025-02-05 03:39:27.681
0.653000,-0.418110,0.453640,0.323270,0.696497,0.696594,2025-02-05 03:39:27.691,2025-02-05 03:39:27.691
0.663000,-0.418430,0.453990,0.322960,0.696774,0.696610,2025-02-05 03:39:27.691,2025-02-05 03:39:27.700
0.672000,-0.418240,0.453860,0.323260,0.696714,0.696625,2025-02-05 03:39:27.692,2025-02-05 03:39:27.710
0.681000,-0.418650,0.453850,0.323290,0.696968,0.696644,2025-02-05 03:39:27.720,2025-02-05 03:39:27.720
0.691000,-0.418800,0.453680,0.323130,0.696873,0.696678,2025-02-05 03:39:27.720,2025-02-05 03:39:27.729
0.700000,-0.418930,0.453990,0.323110,0.697144,0.696713,2025-02-05 03:39:27.721,2025-02-05 03:39:27.738
0.709000,-0.418510,0.454030,0.323280,0.696996,0.696756,2025-02-05 03:39:27.748,2025-02-05 03:39:27.748
0.719000,-0.419000,0.453780,0.322960,0.696980,0.696779,2025-02-05 03:39:27.748,2025-02-05 03:39:27.757
0.728000,-0.418410,0.453670,0.323260,0.696692,0.696799,2025-02-05 03:39:27.749,2025-02-05 03:39:27.766
0.738000,-0.418460,0.453990,0.323290,0.696945,0.696858,2025-02-05 03:39:27.776,2025-02-05 03:39:27.776
0.747000,-0.419110,0.454190,0.323300,0.697470,0.696956,2025-02-05 03:39:27.776,2025-02-05 03:39:27.785
0.756000,-0.418310,0.454050,0.323130,0.696820,0.696960,2025-02-05 03:39:27.777,2025-02-05 03:39:27.794
0.766000,-0.418230,0.454030,0.323190,0.696786,0.696967,2025-02-05 03:39:27.804,2025-02-05 03:39:27.804
0.775000,-0.418110,0.453780,0.322950,0.696440,0.696915,2025-02-05 03:39:27.804,2025-02-05 03:39:27.813
0.784000,-0.418210,0.454090,0.323180,0.696809,0.696908,2025-02-05 03:39:27.805,2025-02-05 03:39:27.822
0.794000,-0.417790,0.453790,0.323200,0.696371,0.696831,2025-02-05 03:39:27.832,2025-02-05 03:39:27.832
0.803000,-0.417850,0.453750,0.323290,0.696422,0.696774,2025-02-05 03:39:27.832,2025-02-05 03:39:27.841
0.813000,-0.417970,0.453750,0.323210,0.696457,0.696721,2025-02-05 03:39:27.833,2025-02-05 03:39:27.850
0.822000,-0.418090,0.454250,0.323290,0.696892,0.696741,2025-02-05 03:39:27.860,2025-02-05 03:39:27.860
0.831000,-0.418210,0.453970,0.323630,0.696940,0.696741,2025-02-05 03:39:27.860,2025-02-05 03:39:27.869
0.841000,-0.418330,0.453860,0.323580,0.696917,0.696685,2025-02-05 03:39:27.861,2025-02-05 03:39:27.878
0.850000,-0.418450,0.453850,0.322990,0.696709,0.696674,2025-02-05 03:39:27.888,2025-02-05 03:39:27.888
0.860000,-0.418140,0.453840,0.323260,0.696641,0.696660,2025-02-05 03:39:27.888,2025-02-05 03:39:27.897
0.869000,-0.418000,0.453680,0.322870,0.696272,0.696643,2025-02-05 03:39:27.889,2025-02-05 03:39:27.907
0.878000,-0.417980,0.453990,0.323510,0.696759,0.696638,2025-02-05 03:39:27.917,2025-02-05 03:39:27.917
0.888000,-0.418520,0.453780,0.323480,0.696932,0.696694,2025-02-05 03:39:27.917,2025-02-05 03:39:27.926
0.897000,-0.418470,0.453840,0.323570,0.696983,0.696750,2025-02-05 03:39:27.918,2025-02-05 03:39:27.935
0.906000,-0.418140,0.454600,0.324000,0.697480,0.696852,2025-02-05 03:39:27.945,2025-02-05 03:39:27.945
0.916000,-0.418210,0.453840,0.323870,0.696966,0.696860,2025-02-05 03:39:27.945,2025-02-05 03:39:27.954
0.925000,-0.418220,0.454010,0.323520,0.696921,0.696858,2025-02-05 03:39:27.946,2025-02-05 03:39:27.963
0.935000,-0.418220,0.454200,0.323400,0.696989,0.696865,2025-02-05 03:39:27.973,2025-02-05 03:39:27.973
0.944000,-0.418330,0.454210,0.323640,0.697173,0.696912,2025-02-05 03:39:27.973,2025-02-05 03:39:27.982
0.953000,-0.417800,0.453710,0.323160,0.696306,0.696878,2025-02-05 03:39:27.974,2025-02-05 03:39:27.991
0.963000,-0.418180,0.453830,0.323280,0.696668,0.696918,2025-02-05 03:39:28.001,2025-02-05 03:39:28.001
0.972000,-0.417570,0.454600,0.323210,0.696772,0.696919,2025-02-05 03:39:28.001,2025-02-05 03:39:28.010
0.981000,-0.418050,0.454500,0.323290,0.697031,0.696929,2025-02-05 03:39:28.001,2025-02-05 03:39:28.019
0.991000,-0.418530,0.454330,0.322790,0.696977,0.696928,2025-02-05 03:39:28.029,2025-02-05 03:39:28.029
1.000000,-0.418040,0.454390,0.323580,0.697088,0.696889,2025-02-05 03:39:28.029,2025-02-05 03:39:28.038
1.010000,-0.417880,0.454070,0.323160,0.696589,0.696851,2025-02-05 03:39:28.029,2025-02-05 03:39:28.047
1.019000,-0.418400,0.454120,0.323030,0.696873,0.696846,2025-02-05 03:39:28.057,2025-02-05 03:39:28.057
1.028000,-0.417920,0.454290,0.323100,0.696728,0.696820,2025-02-05 03:39:28.057,2025-02-05 03:39:28.066
1.038000,-0.417970,0.454060,0.323530,0.696808,0.696784,2025-02-05 03:39:28.057,2025-02-05 03:39:28.075
1.047000,-0.417660,0.454450,0.323820,0.697011,0.696854,2025-02-05 03:39:28.085,2025-02-05 03:39:28.085
1.056000,-0.417520,0.453900,0.323680,0.696503,0.696838,2025-02-05 03:39:28.085,2025-02-05 03:39:28.094
1.066000,-0.417720,0.453520,0.322830,0.695981,0.696759,2025-02-05 03:39:28.085,2025-02-05 03:39:28.104
1.075000,-0.417420,0.453900,0.323250,0.696244,0.696680,2025-02-05 03:39:28.114,2025-02-05 03:39:28.114
1.085000,-0.417490,0.453930,0.323120,0.696245,0.696607,2025-02-05 03:39:28.114,2025-02-05 03:39:28.123
1.094000,-0.417500,0.453850,0.323030,0.696157,0.696514,2025-02-05 03:39:28.114,2025-02-05 03:39:28.132
1.103000,-0.417500,0.453760,0.323440,0.696289,0.696484,2025-02-05 03:39:28.142,2025-02-05 03:39:28.142
1.113000,-0.417610,0.453670,0.322800,0.695999,0.696396,2025-02-05 03:39:28.142,2025-02-05 03:39:28.151
1.122000,-0.418050,0.453990,0.323410,0.696754,0.696399,2025-02-05 03:39:28.142,2025-02-05 03:39:28.160
1.131000,-0.418100,0.453780,0.323640,0.696754,0.696394,2025-02-05 03:39:28.170,2025-02-05 03:39:28.170
1.141000,-0.417990,0.453590,0.323160,0.696342,0.696327,2025-02-05 03:39:28.170,2025-02-05 03:39:28.179
1.150000,-0.417870,0.453570,0.322780,0.696080,0.696285,2025-02-05 03:39:28.170,2025-02-05 03:39:28.188
1.160000,-0.417540,0.453650,0.323580,0.696306,0.696317,2025-02-05 03:39:28.198,2025-02-05 03:39:28.198
1.169000,-0.417610,0.453910,0.323320,0.696397,0.696332,2025-02-05 03:39:28.198,2025-02-05 03:39:28.207
1.178000,-0.417840,0.453930,0.323300,0.696538,0.696362,2025-02-05 03:39:28.198,2025-02-05 03:39:28.216
1.188000,-0.418070,0.454020,0.323210,0.696693,0.696415,2025-02-05 03:39:28.226,2025-02-05 03:39:28.226
1.197000,-0.417780,0.454200,0.322950,0.696516,0.696438,2025-02-05 03:39:28.226,2025-02-05 03:39:28.235
1.206000,-0.418070,0.454050,0.323510,0.696852,0.696523,2025-02-05 03:39:28.226,2025-02-05 03:39:28.244
1.216000,-0.418310,0.453950,0.322730,0.696569,0.696505,2025-02-05 03:39:28.254,2025-02-05 03:39:28.254
1.225000,-0.418120,0.453940,0.323070,0.696606,0.696490,2025-02-05 03:39:28.254,2025-02-05 03:39:28.263
1.235000,-0.418000,0.453600,0.323020,0.696289,0.696485,2025-02-05 03:39:28.254,2025-02-05 03:39:28.272
1.244000,-0.417770,0.453900,0.322930,0.696305,0.696507,2025-02-05 03:39:28.282,2025-02-05 03:39:28.282
1.253000,-0.417310,0.453850,0.322750,0.695913,0.696468,2025-02-05 03:39:28.282,2025-02-05 03:39:28.291
1.263000,-0.418240,0.454010,0.322570,0.696492,0.696477,2025-02-05 03:39:28.282,2025-02-05 03:39:28.300
1.272000,-0.417900,0.453940,0.322550,0.696233,0.696447,2025-02-05 03:39:28.310,2025-02-05 03:39:28.310
1.281000,-0.417540,0.453850,0.322800,0.696074,0.696385,2025-02-05 03:39:28.310,2025-02-05 03:39:28.319
1.291000,-0.417940,0.454260,0.323160,0.696748,0.696408,2025-02-05 03:39:28.310,2025-02-05 03:39:28.329
1.300000,-0.417760,0.453970,0.323280,0.696507,0.696374,2025-02-05 03:39:28.339,2025-02-05 03:39:28.339
1.310000,-0.417850,0.454020,0.323290,0.696598,0.696377,2025-02-05 03:39:28.339,2025-02-05 03:39:28.348
1.319000,-0.418400,0.453860,0.323130,0.696750,0.696391,2025-02-05 03:39:28.339,2025-02-05 03:39:28.357
