Base_Time,Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
2025-02-05 04:36:07.312,0.433000,0.419620,0.451500,0.349630,0.708643,0.709264,2025-02-05 04:36:07.310
2025-02-05 04:36:07.321,0.442000,0.419580,0.451690,0.349490,0.708671,0.709256,2025-02-05 04:36:07.319
2025-02-05 04:36:07.330,0.451000,0.419250,0.451790,0.349650,0.708618,0.709242,2025-02-05 04:36:07.329
2025-02-05 04:36:07.339,0.460000,0.419220,0.451550,0.349920,0.708581,0.709144,2025-02-05 04:36:07.338
2025-02-05 04:36:07.348,0.470000,0.419760,0.451780,0.349520,0.708850,0.709086,2025-02-05 04:36:07.347
2025-02-05 04:36:07.358,0.479000,0.419490,0.451630,0.349650,0.708658,0.708988,2025-02-05 04:36:07.357
2025-02-05 04:36:07.367,0.488000,0.419570,0.451620,0.349660,0.708704,0.708894,2025-02-05 04:36:07.366
2025-02-05 04:36:07.376,0.497000,0.419790,0.451870,0.349500,0.708915,0.708801,2025-02-05 04:36:07.375
2025-02-05 04:36:07.386,0.507000,0.419920,0.452230,0.349820,0.709379,0.708813,2025-02-05 04:36:07.385
2025-02-05 04:36:07.395,0.516000,0.419610,0.451840,0.349850,0.708962,0.708798,2025-02-05 04:36:07.394
2025-02-05 04:36:07.404,0.525000,0.419470,0.451810,0.350190,0.709028,0.708837,2025-02-05 04:36:07.403
2025-02-05 04:36:07.414,0.535000,0.419460,0.451630,0.350050,0.708838,0.708853,2025-02-05 04:36:07.413
2025-02-05 04:36:07.423,0.544000,0.419670,0.451530,0.349540,0.708647,0.708856,2025-02-05 04:36:07.422
2025-02-05 04:36:07.432,0.553000,0.419480,0.451940,0.349650,0.708850,0.708883,2025-02-05 04:36:07.431
2025-02-05 04:36:07.441,0.562000,0.419570,0.451980,0.349160,0.708687,0.708867,2025-02-05 04:36:07.441
2025-02-05 04:36:07.451,0.572000,0.419360,0.452240,0.349610,0.708951,0.708896,2025-02-05 04:36:07.450
2025-02-05 04:36:07.460,0.581000,0.419450,0.452180,0.349410,0.708867,0.708912,2025-02-05 04:36:07.459
2025-02-05 04:36:07.469,0.590000,0.419350,0.451840,0.349720,0.708744,0.708895,2025-02-05 04:36:07.468
2025-02-05 04:36:07.479,0.600000,0.419660,0.451640,0.349750,0.708815,0.708839,2025-02-05 04:36:07.477
2025-02-05 04:36:07.488,0.609000,0.420020,0.452120,0.349590,0.709255,0.708868,2025-02-05 04:36:07.486
2025-02-05 04:36:07.497,0.618000,0.419510,0.451750,0.349150,0.708500,0.708815,2025-02-05 04:36:07.496
2025-02-05 04:36:07.506,0.627000,0.419250,0.451290,0.349530,0.708240,0.708756,2025-02-05 04:36:07.505
2025-02-05 04:36:07.516,0.637000,0.419540,0.451580,0.349310,0.708488,0.708740,2025-02-05 04:36:07.514
2025-02-05 04:36:07.525,0.646000,0.419680,0.451530,0.350130,0.708944,0.708749,2025-02-05 04:36:07.524
2025-02-05 04:36:07.534,0.655000,0.419370,0.451270,0.349880,0.708471,0.708728,2025-02-05 04:36:07.533
2025-02-05 04:36:07.543,0.664000,0.419230,0.451580,0.349850,0.708571,0.708690,2025-02-05 04:36:07.542
2025-02-05 04:36:07.553,0.674000,0.419110,0.451530,0.349850,0.708468,0.708650,2025-02-05 04:36:07.552
2025-02-05 04:36:07.562,0.683000,0.418990,0.451610,0.349680,0.708365,0.708612,2025-02-05 04:36:07.561
2025-02-05 04:36:07.571,0.692000,0.419300,0.451780,0.349750,0.708691,0.708599,2025-02-05 04:36:07.570
2025-02-05 04:36:07.581,0.702000,0.419330,0.451800,0.349500,0.708598,0.708534,2025-02-05 04:36:07.580
2025-02-05 04:36:07.590,0.711000,0.419550,0.451300,0.349820,0.708568,0.708540,2025-02-05 04:36:07.589
2025-02-05 04:36:07.599,0.720000,0.419360,0.451250,0.349680,0.708354,0.708552,2025-02-05 04:36:07.598
2025-02-05 04:36:07.608,0.729000,0.419660,0.451240,0.350260,0.708812,0.708584,2025-02-05 04:36:07.608
2025-02-05 04:36:07.618,0.739000,0.419260,0.451580,0.350140,0.708732,0.708563,2025-02-05 04:36:07.617
2025-02-05 04:36:07.627,0.748000,0.419110,0.451110,0.350130,0.708339,0.708550,2025-02-05 04:36:07.626
2025-02-05 04:36:07.636,0.757000,0.418670,0.451060,0.349880,0.707924,0.708485,2025-02-05 04:36:07.636
2025-02-05 04:36:07.645,0.766000,0.418840,0.450890,0.349940,0.707945,0.708433,2025-02-05 04:36:07.645
