Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.574000,0.391140,0.477090,0.554290,0.829363,0.829192,2025-02-05 04:22:39.722
0.583000,0.390650,0.477230,0.554090,0.829079,0.829203,2025-02-05 04:22:39.731
0.592000,0.390710,0.476490,0.554150,0.828721,0.829182,2025-02-05 04:22:39.741
0.602000,0.390930,0.476500,0.554070,0.828777,0.829122,2025-02-05 04:22:39.750
0.611000,0.391060,0.476670,0.554400,0.829157,0.829125,2025-02-05 04:22:39.759
0.620000,0.391610,0.476100,0.554270,0.829002,0.829115,2025-02-05 04:22:39.769
0.629000,0.391350,0.476380,0.554420,0.829141,0.829129,2025-02-05 04:22:39.778
0.639000,0.390780,0.477160,0.554020,0.829053,0.829124,2025-02-05 04:22:39.787
0.648000,0.390620,0.476900,0.554650,0.829249,0.829101,2025-02-05 04:22:39.797
0.657000,0.390490,0.476880,0.554540,0.829103,0.829065,2025-02-05 04:22:39.806
0.667000,0.390370,0.476710,0.554870,0.829169,0.829045,2025-02-05 04:22:39.815
0.676000,0.391010,0.477110,0.554820,0.829667,0.829104,2025-02-05 04:22:39.825
0.685000,0.390960,0.477150,0.554810,0.829660,0.829198,2025-02-05 04:22:39.834
0.695000,0.391070,0.476900,0.554900,0.829628,0.829283,2025-02-05 04:22:39.843
0.704000,0.391290,0.476880,0.554480,0.829440,0.829311,2025-02-05 04:22:39.853
0.713000,0.391310,0.476870,0.554780,0.829644,0.829376,2025-02-05 04:22:39.862
0.722000,0.391850,0.476870,0.555060,0.830086,0.829470,2025-02-05 04:22:39.871
0.732000,0.391800,0.477210,0.554670,0.829997,0.829564,2025-02-05 04:22:39.881
0.741000,0.392010,0.477240,0.554710,0.830140,0.829654,2025-02-05 04:22:39.890
0.750000,0.391710,0.477080,0.554720,0.829913,0.829735,2025-02-05 04:22:39.899
0.760000,0.391890,0.476890,0.554470,0.829722,0.829790,2025-02-05 04:22:39.908
0.769000,0.391160,0.477130,0.554190,0.829328,0.829756,2025-02-05 04:22:39.917
0.778000,0.391620,0.477230,0.554160,0.829583,0.829748,2025-02-05 04:22:39.926
0.788000,0.391240,0.477160,0.554070,0.829303,0.829716,2025-02-05 04:22:39.936
0.797000,0.390450,0.477400,0.554070,0.829069,0.829679,2025-02-05 04:22:39.945
0.806000,0.391230,0.477260,0.553980,0.829296,0.829644,2025-02-05 04:22:39.954
0.816000,0.391630,0.477000,0.553800,0.829215,0.829557,2025-02-05 04:22:39.964
