Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp,Timestamp
0.006000,-0.375540,0.407120,0.289030,0.624752,0.624752,2025-02-05 03:41:28.550,2025-02-05 03:41:28.550
0.016000,-0.413630,0.447580,0.317510,0.687190,0.655971,2025-02-05 03:41:28.551,2025-02-05 03:41:28.559
0.025000,-0.417870,0.452130,0.320610,0.694138,0.668693,2025-02-05 03:41:28.551,2025-02-05 03:41:28.568
0.034000,-0.418620,0.452500,0.321180,0.695094,0.675294,2025-02-05 03:41:28.578,2025-02-05 03:41:28.578
0.044000,-0.419120,0.452460,0.321060,0.695314,0.679298,2025-02-05 03:41:28.579,2025-02-05 03:41:28.587
0.053000,-0.418630,0.452200,0.321220,0.694923,0.681902,2025-02-05 03:41:28.579,2025-02-05 03:41:28.596
0.062000,-0.417400,0.452260,0.321240,0.694231,0.683663,2025-02-05 03:41:28.606,2025-02-05 03:41:28.606
0.072000,-0.417920,0.451850,0.321240,0.694277,0.684990,2025-02-05 03:41:28.607,2025-02-05 03:41:28.615
0.081000,-0.417760,0.452390,0.321150,0.694491,0.686046,2025-02-05 03:41:28.607,2025-02-05 03:41:28.625
0.090000,-0.417850,0.452190,0.320980,0.694336,0.686875,2025-02-05 03:41:28.635,2025-02-05 03:41:28.635
0.100000,-0.417540,0.452430,0.320880,0.694260,0.693825,2025-02-05 03:41:28.636,2025-02-05 03:41:28.644
0.109000,-0.417610,0.452700,0.321200,0.694626,0.694569,2025-02-05 03:41:28.636,2025-02-05 03:41:28.653
0.119000,-0.417840,0.452810,0.321070,0.694776,0.694633,2025-02-05 03:41:28.663,2025-02-05 03:41:28.663
0.128000,-0.417210,0.452740,0.321220,0.694421,0.694565,2025-02-05 03:41:28.664,2025-02-05 03:41:28.672
0.137000,-0.417370,0.452730,0.321070,0.694441,0.694478,2025-02-05 03:41:28.664,2025-02-05 03:41:28.681
0.147000,-0.417700,0.452310,0.320880,0.694278,0.694414,2025-02-05 03:41:28.691,2025-02-05 03:41:28.691
0.156000,-0.417950,0.452190,0.321200,0.694498,0.694440,2025-02-05 03:41:28.691,2025-02-05 03:41:28.700
0.165000,-0.417760,0.452340,0.320900,0.694343,0.694447,2025-02-05 03:41:28.692,2025-02-05 03:41:28.709
0.175000,-0.417310,0.452110,0.320700,0.693830,0.694381,2025-02-05 03:41:28.719,2025-02-05 03:41:28.719
0.184000,-0.416840,0.452670,0.320850,0.693982,0.694345,2025-02-05 03:41:28.719,2025-02-05 03:41:28.728
0.194000,-0.417330,0.452310,0.321030,0.694125,0.694332,2025-02-05 03:41:28.720,2025-02-05 03:41:28.737
0.203000,-0.418020,0.452600,0.321220,0.694816,0.694351,2025-02-05 03:41:28.747,2025-02-05 03:41:28.747
0.212000,-0.418420,0.452800,0.321070,0.695118,0.694385,2025-02-05 03:41:28.747,2025-02-05 03:41:28.756
0.222000,-0.418130,0.452490,0.321140,0.694774,0.694420,2025-02-05 03:41:28.748,2025-02-05 03:41:28.765
0.231000,-0.418000,0.452710,0.321230,0.694881,0.694464,2025-02-05 03:41:28.775,2025-02-05 03:41:28.775
0.240000,-0.418410,0.452230,0.321240,0.694819,0.694518,2025-02-05 03:41:28.775,2025-02-05 03:41:28.784
0.250000,-0.418020,0.452010,0.321490,0.694557,0.694524,2025-02-05 03:41:28.776,2025-02-05 03:41:28.793
0.259000,-0.417450,0.451570,0.321430,0.693900,0.694480,2025-02-05 03:41:28.803,2025-02-05 03:41:28.803
0.269000,-0.418040,0.451610,0.321090,0.694124,0.694510,2025-02-05 03:41:28.803,2025-02-05 03:41:28.812
0.278000,-0.417770,0.452280,0.321220,0.694458,0.694557,2025-02-05 03:41:28.804,2025-02-05 03:41:28.821
0.287000,-0.418610,0.452520,0.321570,0.695281,0.694673,2025-02-05 03:41:28.831,2025-02-05 03:41:28.831
0.297000,-0.417940,0.452540,0.321270,0.694752,0.694666,2025-02-05 03:41:28.831,2025-02-05 03:41:28.840
0.306000,-0.418080,0.451960,0.321240,0.694445,0.694599,2025-02-05 03:41:28.832,2025-02-05 03:41:28.850
0.315000,-0.417880,0.452650,0.321240,0.694774,0.694599,2025-02-05 03:41:28.860,2025-02-05 03:41:28.860
0.325000,-0.418400,0.452720,0.321150,0.695091,0.694620,2025-02-05 03:41:28.860,2025-02-05 03:41:28.869
0.334000,-0.418450,0.451810,0.320980,0.694450,0.694583,2025-02-05 03:41:28.861,2025-02-05 03:41:28.878
0.343000,-0.418240,0.452220,0.321550,0.694854,0.694613,2025-02-05 03:41:28.888,2025-02-05 03:41:28.888
0.353000,-0.417580,0.452180,0.321440,0.694380,0.694661,2025-02-05 03:41:28.888,2025-02-05 03:41:28.897
0.362000,-0.418260,0.452090,0.321430,0.694726,0.694721,2025-02-05 03:41:28.889,2025-02-05 03:41:28.906
0.372000,-0.417790,0.452330,0.321430,0.694599,0.694735,2025-02-05 03:41:28.916,2025-02-05 03:41:28.916
