Base_Time,Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
2025-02-05 04:32:22.884,0.006000,0.380960,0.406200,0.318060,0.641320,0.641320,2025-02-05 04:32:22.884
2025-02-05 04:32:22.893,0.015000,0.418630,0.446910,0.349700,0.705174,0.673247,2025-02-05 04:32:22.893
2025-02-05 04:32:22.903,0.025000,0.423360,0.450980,0.353120,0.712257,0.686250,2025-02-05 04:32:22.902
2025-02-05 04:32:22.912,0.034000,0.423730,0.450970,0.353380,0.712600,0.692838,2025-02-05 04:32:22.912
2025-02-05 04:32:22.921,0.043000,0.423760,0.451470,0.353400,0.712944,0.696859,2025-02-05 04:32:22.921
2025-02-05 04:32:22.931,0.053000,0.423440,0.451770,0.353070,0.712780,0.699512,2025-02-05 04:32:22.930
2025-02-05 04:32:22.940,0.062000,0.423630,0.451970,0.353370,0.713169,0.701463,2025-02-05 04:32:22.940
2025-02-05 04:32:22.948,0.071000,0.423110,0.451650,0.353230,0.712588,0.702854,2025-02-05 04:32:22.949
2025-02-05 04:32:22.958,0.080000,0.423590,0.451280,0.352800,0.712425,0.703917,2025-02-05 04:32:22.958
2025-02-05 04:32:22.967,0.090000,0.423750,0.450910,0.352840,0.712306,0.704756,2025-02-05 04:32:22.968
2025-02-05 04:32:22.977,0.099000,0.423660,0.450710,0.353180,0.712294,0.711854,2025-02-05 04:32:22.977
2025-02-05 04:32:22.986,0.108000,0.423220,0.451190,0.353050,0.712272,0.712564,2025-02-05 04:32:22.986
2025-02-05 04:32:22.995,0.117000,0.423390,0.451070,0.353370,0.712456,0.712584,2025-02-05 04:32:22.995
2025-02-05 04:32:23.005,0.127000,0.423300,0.450560,0.353570,0.712179,0.712541,2025-02-05 04:32:23.004
2025-02-05 04:32:23.014,0.136000,0.423720,0.451010,0.353840,0.712847,0.712532,2025-02-05 04:32:23.013
2025-02-05 04:32:23.022,0.145000,0.423980,0.450800,0.353700,0.712800,0.712534,2025-02-05 04:32:23.023
2025-02-05 04:32:23.032,0.154000,0.424010,0.450870,0.353270,0.712649,0.712482,2025-02-05 04:32:23.032
2025-02-05 04:32:23.042,0.164000,0.423150,0.450620,0.353480,0.712083,0.712431,2025-02-05 04:32:23.041
2025-02-05 04:32:23.050,0.173000,0.422740,0.450930,0.353660,0.712125,0.712401,2025-02-05 04:32:23.051
2025-02-05 04:32:23.060,0.182000,0.422480,0.451210,0.353350,0.711994,0.712370,2025-02-05 04:32:23.060
2025-02-05 04:32:23.070,0.192000,0.422780,0.450820,0.352980,0.711742,0.712315,2025-02-05 04:32:23.069
2025-02-05 04:32:23.079,0.201000,0.422700,0.450780,0.353530,0.711942,0.712282,2025-02-05 04:32:23.079
2025-02-05 04:32:23.088,0.210000,0.422800,0.450780,0.353080,0.711778,0.712214,2025-02-05 04:32:23.088
2025-02-05 04:32:23.097,0.219000,0.422810,0.451200,0.352780,0.711901,0.712186,2025-02-05 04:32:23.097
2025-02-05 04:32:23.107,0.229000,0.423030,0.451070,0.352750,0.711935,0.712095,2025-02-05 04:32:23.107
2025-02-05 04:32:23.115,0.238000,0.422940,0.451230,0.352670,0.711943,0.712009,2025-02-05 04:32:23.116
2025-02-05 04:32:23.125,0.247000,0.422610,0.451080,0.352830,0.711731,0.711917,2025-02-05 04:32:23.125
2025-02-05 04:32:23.134,0.256000,0.423010,0.450310,0.352840,0.711486,0.711858,2025-02-05 04:32:23.135
2025-02-05 04:32:23.144,0.266000,0.422830,0.450650,0.353100,0.711723,0.711818,2025-02-05 04:32:23.144
2025-02-05 04:32:23.153,0.275000,0.423350,0.450850,0.353040,0.712129,0.711831,2025-02-05 04:32:23.153
2025-02-05 04:32:23.161,0.284000,0.422970,0.450870,0.352860,0.711827,0.711840,2025-02-05 04:32:23.162
2025-02-05 04:32:23.172,0.294000,0.422830,0.451120,0.353010,0.711976,0.711843,2025-02-05 04:32:23.171
2025-02-05 04:32:23.181,0.303000,0.423030,0.451060,0.353450,0.712276,0.711893,2025-02-05 04:32:23.180
2025-02-05 04:32:23.190,0.312000,0.423050,0.451390,0.353490,0.712516,0.711954,2025-02-05 04:32:23.190
2025-02-05 04:32:23.199,0.321000,0.423050,0.450840,0.353330,0.712089,0.711970,2025-02-05 04:32:23.199
2025-02-05 04:32:23.209,0.331000,0.423050,0.451200,0.353730,0.712515,0.712027,2025-02-05 04:32:23.208
2025-02-05 04:32:23.218,0.340000,0.423160,0.450990,0.352930,0.712051,0.712059,2025-02-05 04:32:23.218
2025-02-05 04:32:23.227,0.349000,0.423820,0.450880,0.353360,0.712586,0.712169,2025-02-05 04:32:23.227
2025-02-05 04:32:23.236,0.358000,0.423020,0.451040,0.353060,0.712063,0.712203,2025-02-05 04:32:23.236
2025-02-05 04:32:23.246,0.368000,0.422720,0.450970,0.353030,0.711826,0.712173,2025-02-05 04:32:23.246
2025-02-05 04:32:23.255,0.377000,0.422590,0.450800,0.352860,0.711557,0.712146,2025-02-05 04:32:23.255
2025-02-05 04:32:23.264,0.386000,0.423110,0.450700,0.353690,0.712214,0.712169,2025-02-05 04:32:23.264
2025-02-05 04:32:23.273,0.395000,0.422730,0.451020,0.353600,0.712147,0.712156,2025-02-05 04:32:23.274
2025-02-05 04:32:23.283,0.405000,0.423230,0.450970,0.353090,0.712159,0.712121,2025-02-05 04:32:23.283
2025-02-05 04:32:23.292,0.414000,0.423930,0.450880,0.353460,0.712701,0.712182,2025-02-05 04:32:23.292
2025-02-05 04:32:23.301,0.423000,0.423780,0.450540,0.353580,0.712457,0.712176,2025-02-05 04:32:23.302
2025-02-05 04:32:23.311,0.433000,0.423770,0.450670,0.353760,0.712622,0.712233,2025-02-05 04:32:23.311
2025-02-05 04:32:23.320,0.442000,0.423770,0.450770,0.353100,0.712358,0.712210,2025-02-05 04:32:23.320
2025-02-05 04:32:23.329,0.451000,0.423660,0.450700,0.353290,0.712343,0.712238,2025-02-05 04:32:23.329
2025-02-05 04:32:23.338,0.460000,0.424080,0.451110,0.353310,0.712862,0.712342,2025-02-05 04:32:23.338
2025-02-05 04:32:23.347,0.470000,0.423800,0.451560,0.353140,0.712896,0.712476,2025-02-05 04:32:23.347
2025-02-05 04:32:23.357,0.479000,0.423340,0.451440,0.353550,0.712750,0.712529,2025-02-05 04:32:23.357
2025-02-05 04:32:23.366,0.488000,0.423190,0.451180,0.353250,0.712347,0.712550,2025-02-05 04:32:23.366
2025-02-05 04:32:23.375,0.497000,0.423170,0.451400,0.353310,0.712505,0.712584,2025-02-05 04:32:23.375
2025-02-05 04:32:23.385,0.507000,0.423490,0.451340,0.353230,0.712617,0.712576,2025-02-05 04:32:23.385
2025-02-05 04:32:23.394,0.516000,0.423530,0.451090,0.353050,0.712393,0.712569,2025-02-05 04:32:23.394
