Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-19 16:9:10.765,-0.0024,0.0,-0.9692,29.03,108.83171917,34.12607067
2024-12-19 16:9:10.775,-0.001,-0.0005,-0.9731,29.16,0.0,0.0
2024-12-19 16:9:10.785,-0.0005,-0.0015,-0.9727,29.1,0.0,0.0
2024-12-19 16:9:10.795,0.0024,-0.0005,-0.9746,29.16,0.0,0.0
2024-12-19 16:9:10.805,0.0005,0.0005,-0.9712,29.1,0.0,0.0
2024-12-19 16:9:10.815,0.0015,-0.0005,-0.9717,29.16,0.0,0.0
2024-12-19 16:9:10.825,-0.001,-0.001,-0.9722,29.1,0.0,0.0
2024-12-19 16:9:10.835,0.0,0.0015,-0.9736,29.1,0.0,0.0
2024-12-19 16:9:10.845,0.001,0.001,-0.9751,29.03,0.0,0.0
2024-12-19 16:9:10.855,0.0,-0.0005,-0.9712,29.29,0.0,0.0
2024-12-19 16:9:10.865,-0.0005,0.0,-0.9707,29.1,0.0,0.0
2024-12-19 16:9:10.875,0.0,-0.0005,-0.9727,29.1,0.0,0.0
2024-12-19 16:9:10.885,0.0,0.0,-0.9702,29.03,0.0,0.0
2024-12-19 16:9:10.850,-0.0005,-0.0005,-0.9702,29.22,108.83171917,34.12607067
2024-12-19 16:9:10.860,-0.0015,0.0005,-0.9717,29.03,108.83171917,34.12607067
2024-12-19 16:9:10.870,-0.0005,-0.0005,-0.9722,29.03,108.83171917,34.12607067
2024-12-19 16:9:10.880,-0.0015,0.0005,-0.9707,29.16,108.83171917,34.12607067
2024-12-19 16:9:10.890,-0.0005,0.0,-0.9731,29.16,108.83171917,34.12607067
2024-12-19 16:9:10.954,-0.0005,0.0005,-0.9727,29.1,108.83171917,34.12607067
2024-12-19 16:9:10.964,0.001,0.0,-0.9727,29.1,108.83171917,34.12607067
2024-12-19 16:9:10.974,-0.001,0.0,-0.9712,29.1,108.83171917,34.12607067
2024-12-19 16:9:10.984,-0.001,-0.0005,-0.9731,29.1,108.83171917,34.12607067
2024-12-19 16:9:10.994,0.0015,0.0005,-0.9697,29.22,108.83171917,34.12607067
2024-12-19 16:9:11.4,-0.0005,0.0,-0.9722,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.14,-0.001,-0.0039,-0.9722,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.24,-0.001,0.0,-0.9731,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.34,-0.002,0.0005,-0.9746,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.44,-0.0005,-0.002,-0.9771,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.54,-0.001,-0.0015,-0.9688,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.64,-0.001,0.0039,-0.9722,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.55,-0.001,0.002,-0.9683,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.65,0.001,0.0,-0.9712,29.22,108.83171917,34.12607067
2024-12-19 16:9:11.75,-0.0015,0.0015,-0.9722,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.100,0.0,0.0015,-0.9707,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.110,0.0029,-0.001,-0.9707,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.120,0.0005,0.0,-0.9707,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.130,-0.0005,0.0,-0.9722,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.149,0.0005,-0.0005,-0.9702,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.159,0.001,-0.0005,-0.9746,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.169,0.0,-0.0015,-0.9722,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.179,-0.0005,0.001,-0.9727,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.189,-0.001,-0.0034,-0.9731,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.199,0.0005,0.0,-0.9697,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.209,0.0015,0.0005,-0.9727,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.219,0.0024,0.0,-0.9727,29.22,108.83171917,34.12607067
2024-12-19 16:9:11.229,0.0,0.0,-0.9751,29.29,108.83171917,34.12607067
2024-12-19 16:9:11.239,-0.002,-0.002,-0.9688,28.91,108.83171917,34.12607067
2024-12-19 16:9:11.249,-0.0024,0.0,-0.9707,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.259,0.0005,0.0,-0.9727,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.269,0.0,0.0,-0.9712,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.279,0.0,0.002,-0.9697,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.289,0.002,0.002,-0.9712,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.299,0.0005,0.0,-0.9727,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.250,0.002,0.0005,-0.9717,29.29,108.83171917,34.12607067
2024-12-19 16:9:11.260,0.0015,0.0005,-0.9707,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.270,0.0,-0.001,-0.9702,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.280,0.0,0.0,-0.9727,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.290,0.0015,0.0,-0.9717,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.350,0.0,0.0,-0.9741,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.360,0.0015,0.0,-0.9736,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.370,0.0,-0.001,-0.9731,29.29,108.83171917,34.12607067
2024-12-19 16:9:11.380,0.0,-0.0005,-0.9722,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.390,0.0005,-0.001,-0.9688,28.78,108.83171917,34.12607067
2024-12-19 16:9:11.400,0.001,0.0,-0.9692,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.410,-0.0005,-0.0005,-0.9712,28.91,108.83171917,34.12607067
2024-12-19 16:9:11.420,0.0005,0.0,-0.9731,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.430,-0.0024,0.0015,-0.9727,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.440,-0.001,0.001,-0.9741,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.450,0.0,-0.001,-0.9712,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.460,0.0,0.0,-0.9722,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.470,0.0005,0.0015,-0.9707,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.480,-0.0005,-0.0005,-0.9746,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.454,0.0,-0.0005,-0.9692,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.500,-0.0015,0.0015,-0.9712,28.91,108.83171917,34.12607067
2024-12-19 16:9:11.510,0.0005,0.0,-0.9731,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.520,0.0005,-0.0005,-0.9746,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.530,0.0,0.001,-0.9736,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.550,0.001,-0.0005,-0.9727,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.560,0.0005,-0.001,-0.9688,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.570,0.0,-0.0015,-0.9717,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.580,-0.0005,0.001,-0.9756,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.590,0.001,0.001,-0.9736,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.600,0.0,0.001,-0.9727,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.610,0.0,0.0,-0.9736,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.620,-0.001,0.0005,-0.9712,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.630,0.001,0.002,-0.9702,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.640,0.0,0.0,-0.9697,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.650,-0.0005,-0.0005,-0.9707,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.660,0.0,0.001,-0.9697,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.670,0.002,0.0,-0.9692,28.97,108.83171917,34.12607067
2024-12-19 16:9:11.680,0.0,0.002,-0.9702,29.22,108.83171917,34.12607067
2024-12-19 16:9:11.690,0.0005,-0.0005,-0.9722,29.22,108.83171917,34.12607067
2024-12-19 16:9:11.700,-0.0005,0.0005,-0.9717,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.710,0.0,-0.0005,-0.9683,29.16,108.83171917,34.12607067
2024-12-19 16:9:11.654,-0.0005,-0.0005,-0.9722,29.29,108.83171917,34.12607067
2024-12-19 16:9:11.664,0.0005,0.0,-0.9707,29.1,108.83171917,34.12607067
2024-12-19 16:9:11.674,0.001,0.0,-0.9692,29.03,108.83171917,34.12607067
2024-12-19 16:9:11.684,0.0005,0.001,-0.9712,29.03,108.83171917,34.12607067
