Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-19 16:2:49.330,0.0005,-0.0024,-0.9756,29.1,108.83184983,34.126078
2024-12-19 16:2:49.355,-0.001,0.0005,-0.9756,29.03,0.0,0.0
2024-12-19 16:2:49.365,-0.001,0.0005,-0.9756,29.1,0.0,0.0
2024-12-19 16:2:49.375,-0.0015,0.001,-0.9673,28.72,0.0,0.0
2024-12-19 16:2:49.385,0.001,-0.0015,-0.9741,28.78,0.0,0.0
2024-12-19 16:2:49.395,0.001,0.0015,-0.9736,29.1,0.0,0.0
2024-12-19 16:2:49.405,0.0015,0.0024,-0.9712,29.1,0.0,0.0
2024-12-19 16:2:49.415,0.0015,0.0005,-0.9722,29.03,0.0,0.0
2024-12-19 16:2:49.425,0.001,0.002,-0.9707,29.22,0.0,0.0
2024-12-19 16:2:49.435,0.0,0.0,-0.9702,29.1,0.0,0.0
2024-12-19 16:2:49.445,-0.001,-0.0015,-0.9727,29.03,0.0,0.0
2024-12-19 16:2:49.455,-0.001,-0.0024,-0.9751,28.97,0.0,0.0
2024-12-19 16:2:49.465,-0.0015,0.0015,-0.9722,29.1,0.0,0.0
2024-12-19 16:2:49.475,0.001,-0.001,-0.9751,28.97,0.0,0.0
2024-12-19 16:2:49.485,0.0,-0.001,-0.9712,28.65,0.0,0.0
2024-12-19 16:2:49.454,0.0,-0.0015,-0.9727,28.78,108.8318485,34.126079
2024-12-19 16:2:49.464,0.0,0.002,-0.9727,28.91,108.8318485,34.126079
2024-12-19 16:2:49.474,0.001,-0.0005,-0.9736,29.03,108.8318485,34.126079
2024-12-19 16:2:49.484,0.0015,0.0,-0.9712,28.78,108.8318485,34.126079
2024-12-19 16:2:49.494,0.002,0.0005,-0.9727,29.03,108.8318485,34.126079
2024-12-19 16:2:49.555,-0.0005,0.0,-0.9692,29.03,108.8318485,34.126079
2024-12-19 16:2:49.565,0.001,-0.0005,-0.9712,29.03,108.8318485,34.126079
2024-12-19 16:2:49.575,-0.0015,0.0005,-0.9692,29.1,108.8318485,34.126079
2024-12-19 16:2:49.585,0.001,-0.0029,-0.9722,28.91,108.8318485,34.126079
2024-12-19 16:2:49.595,0.002,0.0005,-0.9702,29.1,108.8318485,34.126079
2024-12-19 16:2:49.605,0.0,-0.0005,-0.9717,29.1,108.8318485,34.126079
2024-12-19 16:2:49.615,0.0,-0.0015,-0.9712,29.03,108.8318485,34.126079
2024-12-19 16:2:49.625,-0.0015,0.002,-0.9717,28.97,108.8318485,34.126079
2024-12-19 16:2:49.635,-0.0024,0.0005,-0.9712,29.03,108.8318485,34.126079
